path, aesthetic score, technical score, overall/final score
000001, 50.921546, 11.462776,22.557139
000011, 6.026807, 0.658504,1.579518
000021, 4.865607, 0.241679,0.788643
000031, 5.622681, 0.745066,1.654603
000041, 8.549498, 67.316009,38.170890
000051, 1.091451, 0.189729,0.375754
000061, 5.190195, 1.451088,2.397116
000071, 3.202821, 0.369512,0.862508
000081, 1.762275, 2.556521,2.212366
000091, 14.269675, 48.854093,32.594932
000101, 12.534711, 0.408621,1.611631
000111, 2.266444, 1.290888,1.608459
000121, 55.878206, 64.487083,61.210684
000131, 1.022173, 0.654583,0.778860
000141, 25.682771, 45.910051,37.424633
000151, 5.571013, 2.287000,3.246467
000161, 3.770666, 8.550248,6.246508
000171, 7.570528, 6.180733,6.691346
000181, 0.901841, 0.112419,0.253443
000191, 24.443081, 2.771544,6.841638
000201, 31.417085, 2.642096,7.545527
000211, 13.490048, 1.828535,4.088130
000221, 3.121719, 0.792923,1.357214
000231, 13.314574, 9.721038,11.004987
000241, 1.854591, 0.306064,0.619343
000251, 7.191948, 0.769687,1.866078
000261, 9.406219, 0.972728,2.402465
000271, 5.160930, 4.402471,4.684423
000281, 27.388741, 0.899341,3.732344
000291, 3.249251, 0.314754,0.786948
000301, 1.095058, 0.119796,0.284309
000311, 2.033071, 0.083266,0.290764
000321, 3.407796, 1.249080,1.851371
000331, 6.697196, 11.143284,9.165652
000341, 42.139350, 16.318347,24.575839
000351, 30.560434, 11.421131,17.219858
000361, 0.960981, 2.361482,1.666209
000371, 7.053311, 3.972122,4.978733
000381, 12.336098, 0.408716,1.600625
000391, 7.767915, 5.277034,6.142326
000401, 7.328745, 13.762593,10.825510
000411, 36.305054, 14.710652,21.555212
000421, 5.813799, 1.182153,2.216892
000431, 3.859720, 0.991627,1.691172
000441, 0.932704, 0.126364,0.275781
000451, 2.482863, 48.953574,18.913735
000461, 16.734125, 6.101529,9.163917
000471, 16.706153, 6.201121,9.245384
000481, 9.837060, 15.406857,12.980547
000491, 9.249085, 13.009594,11.410132
000501, 5.833254, 0.511744,1.338085
000511, 0.622070, 0.803795,0.727453
000521, 3.662066, 0.781912,1.433944
000531, 2.318168, 0.044839,0.210091
000541, 4.884286, 33.080610,16.983428
000551, 17.802221, 8.249519,11.240417
000561, 14.669748, 8.176977,10.319092
000571, 33.303926, 11.369731,17.886831
000581, 6.934678, 0.602047,1.584797
000591, 22.653062, 7.441174,11.741535
000601, 7.794210, 0.499493,1.485843
000611, 6.888286, 2.892893,4.073087
000621, 43.934776, 40.394217,41.763877
000631, 18.218988, 0.164490,1.102262
000641, 25.816812, 83.666695,64.243380
000651, 6.560155, 0.094040,0.502484
000661, 6.082480, 21.383559,13.458043
000671, 18.938495, 2.350503,5.513308
000681, 24.453459, 13.119247,16.890687
000691, 4.331226, 0.052554,0.297455
000701, 5.037643, 0.405411,1.094687
000711, 1.105469, 1.599019,1.385142
000721, 0.658109, 0.366253,0.460285
000731, 29.971391, 49.864616,41.728137
000741, 16.786369, 49.064264,34.377002
000751, 20.740730, 42.544290,33.054666
000761, 5.037285, 5.834245,5.510577
000771, 7.429333, 8.905680,8.301377
000781, 35.090175, 15.754035,22.044794
000791, 2.037392, 0.058868,0.235594
000801, 0.170251, 0.683860,0.398173
000811, 34.555171, 66.290931,54.090511
000821, 13.553156, 12.508641,12.907129
000831, 5.735909, 0.542410,1.376580
000841, 5.282115, 1.526004,2.488640
000851, 22.881346, 16.257410,18.634449
000861, 33.198660, 38.272562,36.258039
000871, 18.917462, 5.881972,9.453769
000881, 3.893813, 1.643927,2.305521
000891, 7.310691, 0.093193,0.522788
000901, 0.510855, 1.927150,1.151491
000911, 2.835071, 2.572228,2.671685
000921, 19.539069, 15.840380,17.209042
000931, 0.359945, 0.074783,0.138002
000941, 14.566719, 2.702251,5.331818
000951, 64.207723, 44.592542,52.376508
000961, 2.864043, 0.797841,1.316598
000971, 14.099843, 12.892275,13.351910
000981, 24.723816, 54.537702,42.002247
000991, 2.550343, 0.401869,0.829024
Avg. scores: 12.713918786520512, 11.520647575191122,10.790508496265266
