path, aesthetic score, technical score, overall/final score
000001, 95.286721, 85.188126,90.371390
000011, 35.025262, 50.313798,44.199155
000021, 94.395388, 82.150079,88.411591
000031, 69.144590, 15.080193,32.287159
000041, 52.069672, 11.205547,22.597076
000051, 62.113879, 89.774888,82.034417
000061, 27.288611, 34.910016,31.819128
000071, 54.824811, 49.290377,51.452022
000081, 73.433283, 59.195245,65.094785
000091, 75.794863, 72.226277,73.654400
000101, 92.627654, 58.924464,76.963986
000111, 72.957163, 23.281507,41.550993
000121, 81.526187, 89.638592,86.937538
000131, 0.932840, 0.766787,0.827673
000141, 66.469636, 0.900311,6.894717
000151, 61.026522, 15.617590,29.838214
000161, 73.311669, 30.526795,47.295994
000171, 42.213643, 26.407960,32.127480
000181, 47.651152, 1.578585,7.180754
000191, 74.415958, 39.402518,53.823669
000201, 85.438964, 69.485876,76.704456
000211, 70.915982, 59.574276,64.197359
000221, 77.974121, 2.623721,15.271513
000231, 97.177946, 66.866469,85.904960
000241, 62.659439, 12.745613,27.437850
000251, 65.392081, 77.015158,72.829425
000261, 76.192912, 70.863087,73.021331
000271, 83.219228, 10.208522,33.107483
000281, 48.754761, 5.548229,14.809059
000291, 7.946483, 70.232802,39.402903
000301, 86.247855, 2.428698,17.667647
000311, 62.571347, 83.321799,76.532486
000321, 72.524028, 76.430178,74.955288
000331, 82.577506, 74.392908,77.854273
000341, 90.506468, 45.611233,68.374617
000351, 33.226308, 35.672668,34.709803
000361, 72.357341, 91.675815,86.286612
000371, 14.562142, 0.956740,2.870758
000381, 86.360568, 59.848703,72.365864
000391, 64.782809, 93.244963,86.291652
000401, 60.418277, 50.770262,54.576641
000411, 84.811302, 75.068362,79.296392
000421, 92.868192, 68.138360,81.213481
000431, 12.679082, 4.336289,6.659223
000441, 13.937956, 11.954494,12.696520
000451, 67.973806, 69.730574,69.052606
000461, 85.915840, 36.637397,59.149298
000471, 75.846716, 31.383581,49.208401
000481, 19.302990, 39.512205,30.635243
000491, 85.191237, 63.421733,73.450683
000501, 62.232183, 31.316756,42.927572
000511, 41.662190, 2.155317,7.870250
000521, 21.130022, 46.004856,35.185433
000531, 98.163973, 95.977614,97.030314
000541, 57.450962, 5.229109,16.090943
000551, 92.501384, 37.336562,65.988993
000561, 92.861936, 96.393718,95.280922
000571, 43.940461, 86.949355,74.320965
000581, 83.609494, 81.486085,82.337650
000591, 17.252550, 5.484565,8.718268
000601, 7.877876, 1.167294,2.490525
000611, 77.424601, 2.654738,15.207083
000621, 47.877051, 39.780076,42.893482
000631, 91.310592, 29.257665,59.326483
000641, 92.525715, 85.050718,88.508314
000651, 17.154837, 1.296820,3.704488
000661, 61.158709, 73.901510,69.258072
000671, 75.656771, 58.238389,65.583481
000681, 60.369845, 93.108989,85.235485
000691, 39.489699, 7.027762,14.898452
000701, 58.974116, 40.349558,47.571059
000711, 26.452938, 11.715939,16.367175
000721, 53.160407, 43.257266,47.095223
000731, 75.006560, 64.555688,68.871752
000741, 86.999903, 48.681319,67.004881
000751, 91.350688, 84.043169,87.352813
000761, 41.516046, 67.246195,57.580621
000771, 38.257274, 88.644018,74.418250
000781, 15.841363, 26.811140,22.034754
000791, 91.608504, 20.876167,52.945644
000801, 12.058132, 5.514407,7.527782
000811, 70.712139, 50.237504,58.642589
000821, 90.030291, 56.612683,73.492552
000831, 94.985062, 86.325439,90.641652
000841, 76.248448, 18.438273,38.859703
000851, 72.189569, 2.884798,14.494598
000861, 91.737475, 69.967544,81.062754
000871, 46.583470, 32.028257,37.457575
000881, 31.852779, 27.319149,29.037181
000891, 31.258816, 29.872459,30.408390
000901, 91.631888, 90.140348,90.747727
000911, 84.094650, 92.692458,90.019957
000921, 24.715162, 6.487147,11.277777
000931, 8.447799, 63.400225,35.593560
000941, 80.919612, 91.429539,88.161985
000951, 78.520095, 93.427136,89.332439
000961, 40.170443, 5.801936,13.510965
000971, 90.684691, 90.930824,90.835634
000981, 19.376508, 2.644854,5.972546
000991, 32.755536, 2.987692,8.282090
Avg. scores: 61.22634407454292, 45.91221399022245,50.81354772901276
