2025-03-27 15:46:33 Vid: 000241.mp4,  Current sd_score: 0.626314103603363, Current avg. sd_score: 0.626314103603363,  
2025-03-27 15:46:33 Vid: 000711.mp4,  Current sd_score: 0.6663047671318054, Current avg. sd_score: 0.6463094353675842,  
2025-03-27 15:46:33 Vid: 000201.mp4,  Current sd_score: 0.7146597504615784, Current avg. sd_score: 0.6690928737322489,  
2025-03-27 15:46:34 Vid: 000171.mp4,  Current sd_score: 0.6901950240135193, Current avg. sd_score: 0.6743684113025665,  
2025-03-27 15:46:34 Vid: 000301.mp4,  Current sd_score: 0.672757089138031, Current avg. sd_score: 0.6740461468696595,  
2025-03-27 15:46:34 Vid: 000211.mp4,  Current sd_score: 0.7371806502342224, Current avg. sd_score: 0.6845685640970866,  
2025-03-27 15:46:34 Vid: 000801.mp4,  Current sd_score: 0.745606541633606, Current avg. sd_score: 0.6932882751737323,  
2025-03-27 15:46:34 Vid: 000031.mp4,  Current sd_score: 0.6907971501350403, Current avg. sd_score: 0.6929768845438957,  
2025-03-27 15:46:35 Vid: 000971.mp4,  Current sd_score: 0.7789800763130188, Current avg. sd_score: 0.7025327947404649,  
2025-03-27 15:46:35 Vid: 000141.mp4,  Current sd_score: 0.6539584398269653, Current avg. sd_score: 0.697675359249115,  
2025-03-27 15:46:35 Vid: 000761.mp4,  Current sd_score: 0.7140822410583496, Current avg. sd_score: 0.6991668939590454,  
2025-03-27 15:46:35 Vid: 000961.mp4,  Current sd_score: 0.6860084533691406, Current avg. sd_score: 0.69807035724322,  
2025-03-27 15:46:35 Vid: 000121.mp4,  Current sd_score: 0.7316047549247742, Current avg. sd_score: 0.7006499262956473,  
2025-03-27 15:46:36 Vid: 000541.mp4,  Current sd_score: 0.7656382918357849, Current avg. sd_score: 0.7052919524056571,  
2025-03-27 15:46:36 Vid: 000551.mp4,  Current sd_score: 0.796035885810852, Current avg. sd_score: 0.7113415479660035,  
2025-03-27 15:46:36 Vid: 000081.mp4,  Current sd_score: 0.6934112906455994, Current avg. sd_score: 0.7102209068834782,  
2025-03-27 15:46:36 Vid: 000041.mp4,  Current sd_score: 0.7358906865119934, Current avg. sd_score: 0.7117308939204496,  
2025-03-27 15:46:36 Vid: 000951.mp4,  Current sd_score: 0.6857799887657166, Current avg. sd_score: 0.7102891769674089,  
2025-03-27 15:46:37 Vid: 000101.mp4,  Current sd_score: 0.6718422174453735, Current avg. sd_score: 0.7082656527820387,  
2025-03-27 15:46:37 Vid: 000641.mp4,  Current sd_score: 0.6246656775474548, Current avg. sd_score: 0.7040856540203094,  
2025-03-27 15:46:37 Vid: 000321.mp4,  Current sd_score: 0.6930326819419861, Current avg. sd_score: 0.7035593220165798,  
2025-03-27 15:46:37 Vid: 000941.mp4,  Current sd_score: 0.6240871548652649, Current avg. sd_score: 0.6999469507824291,  
2025-03-27 15:46:38 Vid: 000261.mp4,  Current sd_score: 0.7232468128204346, Current avg. sd_score: 0.7009599882623424,  
2025-03-27 15:46:38 Vid: 000431.mp4,  Current sd_score: 0.6908330321311951, Current avg. sd_score: 0.7005380317568779,  
2025-03-27 15:46:38 Vid: 000481.mp4,  Current sd_score: 0.6688984632492065, Current avg. sd_score: 0.699272449016571,  
2025-03-27 15:46:38 Vid: 000511.mp4,  Current sd_score: 0.6936101317405701, Current avg. sd_score: 0.6990546675828787,  
2025-03-27 15:46:39 Vid: 000731.mp4,  Current sd_score: 0.7829825282096863, Current avg. sd_score: 0.7021631068653531,  
2025-03-27 15:46:39 Vid: 000991.mp4,  Current sd_score: 0.5728926658630371, Current avg. sd_score: 0.6975463054009846,  
2025-03-27 15:46:39 Vid: 000771.mp4,  Current sd_score: 0.7025287747383118, Current avg. sd_score: 0.6977181146884787,  
2025-03-27 15:46:39 Vid: 000251.mp4,  Current sd_score: 0.6763745546340942, Current avg. sd_score: 0.6970066626866659,  
2025-03-27 15:46:39 Vid: 000561.mp4,  Current sd_score: 0.7473961710929871, Current avg. sd_score: 0.698632130699773,  
2025-03-27 15:46:40 Vid: 000521.mp4,  Current sd_score: 0.6568193435668945, Current avg. sd_score: 0.6973254811018705,  
2025-03-27 15:46:40 Vid: 000181.mp4,  Current sd_score: 0.6632061004638672, Current avg. sd_score: 0.6962915604764764,  
2025-03-27 15:46:40 Vid: 000881.mp4,  Current sd_score: 0.7324666380882263, Current avg. sd_score: 0.6973555333474103,  
2025-03-27 15:46:40 Vid: 000391.mp4,  Current sd_score: 0.6504500508308411, Current avg. sd_score: 0.6960153767040798,  
2025-03-27 15:46:41 Vid: 000911.mp4,  Current sd_score: 0.7418453693389893, Current avg. sd_score: 0.6972884320550494,  
2025-03-27 15:46:41 Vid: 000411.mp4,  Current sd_score: 0.688031792640686, Current avg. sd_score: 0.697038252611418,  
2025-03-27 15:46:41 Vid: 000811.mp4,  Current sd_score: 0.7127289175987244, Current avg. sd_score: 0.6974511648479261,  
2025-03-27 15:46:41 Vid: 000821.mp4,  Current sd_score: 0.7043258547782898, Current avg. sd_score: 0.6976274389487046,  
2025-03-27 15:46:42 Vid: 000681.mp4,  Current sd_score: 0.7094325423240662, Current avg. sd_score: 0.6979225665330887,  
2025-03-27 15:46:42 Vid: 000221.mp4,  Current sd_score: 0.6533259749412537, Current avg. sd_score: 0.6968348447869464,  
2025-03-27 15:46:42 Vid: 000131.mp4,  Current sd_score: 0.6970160603523254, Current avg. sd_score: 0.6968391594432649,  
2025-03-27 15:46:42 Vid: 000011.mp4,  Current sd_score: 0.7092688083648682, Current avg. sd_score: 0.6971282210460928,  
2025-03-27 15:46:42 Vid: 000001.mp4,  Current sd_score: 0.655441403388977, Current avg. sd_score: 0.6961807933720675,  
2025-03-27 15:46:43 Vid: 000671.mp4,  Current sd_score: 0.6687100529670715, Current avg. sd_score: 0.6955703324741788,  
2025-03-27 15:46:43 Vid: 000531.mp4,  Current sd_score: 0.693880558013916, Current avg. sd_score: 0.6955335982467817,  
2025-03-27 15:46:43 Vid: 000191.mp4,  Current sd_score: 0.6804882884025574, Current avg. sd_score: 0.6952134852713727,  
2025-03-27 15:46:43 Vid: 000091.mp4,  Current sd_score: 0.6518147587776184, Current avg. sd_score: 0.6943093451360861,  
2025-03-27 15:46:44 Vid: 000861.mp4,  Current sd_score: 0.7504006028175354, Current avg. sd_score: 0.6954540646806056,  
2025-03-27 15:46:44 Vid: 000331.mp4,  Current sd_score: 0.7398781180381775, Current avg. sd_score: 0.696342545747757,  
2025-03-27 15:46:44 Vid: 000491.mp4,  Current sd_score: 0.6664446592330933, Current avg. sd_score: 0.695756312678842,  
2025-03-27 15:46:44 Vid: 000741.mp4,  Current sd_score: 0.6477572917938232, Current avg. sd_score: 0.6948332545848993,  
2025-03-27 15:46:44 Vid: 000581.mp4,  Current sd_score: 0.705784022808075, Current avg. sd_score: 0.6950398728532611,  
2025-03-27 15:46:45 Vid: 000061.mp4,  Current sd_score: 0.7409955263137817, Current avg. sd_score: 0.6958909034729004,  
2025-03-27 15:46:45 Vid: 000051.mp4,  Current sd_score: 0.7145397067070007, Current avg. sd_score: 0.6962299726226113,  
2025-03-27 15:46:45 Vid: 000441.mp4,  Current sd_score: 0.6645222902297974, Current avg. sd_score: 0.6956637640084539,  
2025-03-27 15:46:45 Vid: 000631.mp4,  Current sd_score: 0.5983982086181641, Current avg. sd_score: 0.6939573507559927,  
2025-03-27 15:46:45 Vid: 000381.mp4,  Current sd_score: 0.6186752319335938, Current avg. sd_score: 0.6926593831900892,  
2025-03-27 15:46:45 Vid: 000981.mp4,  Current sd_score: 0.7466144561767578, Current avg. sd_score: 0.6935738759525751,  
2025-03-27 15:46:46 Vid: 000841.mp4,  Current sd_score: 0.7640228867530823, Current avg. sd_score: 0.6947480261325836,  
2025-03-27 15:46:46 Vid: 000891.mp4,  Current sd_score: 0.6685575842857361, Current avg. sd_score: 0.6943186746268976,  
2025-03-27 15:46:46 Vid: 000901.mp4,  Current sd_score: 0.7194806933403015, Current avg. sd_score: 0.6947245136384042,  
2025-03-27 15:46:46 Vid: 000661.mp4,  Current sd_score: 0.5898342728614807, Current avg. sd_score: 0.6930595891816276,  
2025-03-27 15:46:47 Vid: 000271.mp4,  Current sd_score: 0.7374798059463501, Current avg. sd_score: 0.6937536550685763,  
2025-03-27 15:46:47 Vid: 000371.mp4,  Current sd_score: 0.6901648640632629, Current avg. sd_score: 0.6936984428992639,  
2025-03-27 15:46:47 Vid: 000231.mp4,  Current sd_score: 0.6569165587425232, Current avg. sd_score: 0.6931411416241617,  
2025-03-27 15:46:47 Vid: 000601.mp4,  Current sd_score: 0.74332594871521, Current avg. sd_score: 0.6938901685956699,  
2025-03-27 15:46:47 Vid: 000691.mp4,  Current sd_score: 0.7504772543907166, Current avg. sd_score: 0.6947223316220676,  
2025-03-27 15:46:48 Vid: 000151.mp4,  Current sd_score: 0.7480724453926086, Current avg. sd_score: 0.6954955216767131,  
2025-03-27 15:46:48 Vid: 000571.mp4,  Current sd_score: 0.7454662322998047, Current avg. sd_score: 0.6962093889713288,  
2025-03-27 15:46:48 Vid: 000751.mp4,  Current sd_score: 0.6652955412864685, Current avg. sd_score: 0.6957739826659082,  
2025-03-27 15:46:48 Vid: 000611.mp4,  Current sd_score: 0.7476953864097595, Current avg. sd_score: 0.6964951132734617,  
2025-03-27 15:46:49 Vid: 000871.mp4,  Current sd_score: 0.7278079986572266, Current avg. sd_score: 0.6969240569088557,  
2025-03-27 15:46:49 Vid: 000071.mp4,  Current sd_score: 0.6667625904083252, Current avg. sd_score: 0.6965164695237134,  
2025-03-27 15:46:49 Vid: 000931.mp4,  Current sd_score: 0.7791146636009216, Current avg. sd_score: 0.6976177787780762,  
2025-03-27 15:46:49 Vid: 000831.mp4,  Current sd_score: 0.7333725094795227, Current avg. sd_score: 0.69808823576099,  
2025-03-27 15:46:49 Vid: 000501.mp4,  Current sd_score: 0.8422884345054626, Current avg. sd_score: 0.6999609656148142,  
2025-03-27 15:46:50 Vid: 000341.mp4,  Current sd_score: 0.757426917552948, Current avg. sd_score: 0.7006977085883801,  
2025-03-27 15:46:50 Vid: 000651.mp4,  Current sd_score: 0.7718064188957214, Current avg. sd_score: 0.701597818845435,  
2025-03-27 15:46:50 Vid: 000781.mp4,  Current sd_score: 0.6992663741111755, Current avg. sd_score: 0.7015686757862568,  
2025-03-27 15:46:50 Vid: 000421.mp4,  Current sd_score: 0.5856051445007324, Current avg. sd_score: 0.7001370272518675,  
2025-03-27 15:46:51 Vid: 000791.mp4,  Current sd_score: 0.7489708065986633, Current avg. sd_score: 0.7007325611463407,  
2025-03-27 15:46:51 Vid: 000291.mp4,  Current sd_score: 0.8173111081123352, Current avg. sd_score: 0.7021371219531599,  
2025-03-27 15:46:51 Vid: 000361.mp4,  Current sd_score: 0.7618259191513062, Current avg. sd_score: 0.7028477028721855,  
2025-03-27 15:46:51 Vid: 000921.mp4,  Current sd_score: 0.7008910179138184, Current avg. sd_score: 0.7028246830491459,  
2025-03-27 15:46:52 Vid: 000471.mp4,  Current sd_score: 0.6088698506355286, Current avg. sd_score: 0.7017321849978247,  
2025-03-27 15:46:52 Vid: 000621.mp4,  Current sd_score: 0.6833803653717041, Current avg. sd_score: 0.7015212445423521,  
2025-03-27 15:46:52 Vid: 000311.mp4,  Current sd_score: 0.7406832575798035, Current avg. sd_score: 0.7019662674177777,  
2025-03-27 15:46:52 Vid: 000451.mp4,  Current sd_score: 0.6895790100097656, Current avg. sd_score: 0.7018270847502719,  
2025-03-27 15:46:53 Vid: 000461.mp4,  Current sd_score: 0.6879618763923645, Current avg. sd_score: 0.7016730268796285,  
2025-03-27 15:46:53 Vid: 000401.mp4,  Current sd_score: 0.6669400334358215, Current avg. sd_score: 0.7012913456329932,  
2025-03-27 15:46:53 Vid: 000591.mp4,  Current sd_score: 0.7971210479736328, Current avg. sd_score: 0.7023329728323481,  
2025-03-27 15:46:53 Vid: 000721.mp4,  Current sd_score: 0.6917104125022888, Current avg. sd_score: 0.7022187517535302,  
2025-03-27 15:46:53 Vid: 000351.mp4,  Current sd_score: 0.7097445726394653, Current avg. sd_score: 0.7022988136778486,  
2025-03-27 15:46:54 Vid: 000161.mp4,  Current sd_score: 0.6359710693359375, Current avg. sd_score: 0.7016006268953022,  
2025-03-27 15:46:54 Vid: 000281.mp4,  Current sd_score: 0.7137048244476318, Current avg. sd_score: 0.7017267122864723,  
2025-03-27 15:46:54 Vid: 000851.mp4,  Current sd_score: 0.7359377145767212, Current avg. sd_score: 0.7020794030317327,  
2025-03-27 15:46:54 Vid: 000021.mp4,  Current sd_score: 0.7552852034568787, Current avg. sd_score: 0.7026223193626014,  
2025-03-27 15:46:55 Vid: 000701.mp4,  Current sd_score: 0.6236523985862732, Current avg. sd_score: 0.7018246433951638,  
2025-03-27 15:46:55 Vid: 000111.mp4,  Current sd_score: 0.7229599356651306, Current avg. sd_score: 0.7020359963178635,  
2025-03-27 15:46:55 Final average sd_score: 0.7020359963178635, Total videos: 100
