path, aesthetic score, technical score, overall/final score
000001, 92.674285, 98.391663,97.067992
000011, 61.269719, 92.974185,85.260676
000021, 15.474176, 17.690510,16.798718
000031, 45.286061, 69.733756,60.725551
000041, 25.572416, 35.673702,31.516563
000051, 14.395634, 60.028121,39.022368
000061, 83.894578, 95.111381,92.090809
000071, 15.348786, 6.743120,9.375171
000081, 8.826086, 41.601695,24.661408
000091, 78.311779, 93.257162,89.125900
000101, 84.384966, 97.936589,95.317740
000111, 0.168719, 0.148976,0.156378
000121, 61.638237, 80.733029,74.255876
000131, 37.313037, 46.880629,43.084847
000141, 21.630581, 64.558833,46.618085
000151, 69.909807, 61.261618,64.752907
000161, 88.559509, 83.503552,85.658796
000171, 5.817936, 4.931300,5.260381
000181, 81.162841, 95.765993,92.220930
000191, 54.875349, 70.769494,64.929563
000201, 84.789220, 89.769033,88.027915
000211, 9.372373, 37.413388,23.181975
000221, 10.046640, 8.506899,9.079556
000231, 31.006059, 23.124897,26.021090
000241, 10.856397, 31.680035,21.595400
000251, 77.538832, 60.252939,67.626215
000261, 87.480402, 71.793312,79.045733
000271, 42.327671, 94.104950,82.785091
000281, 19.522356, 33.273907,27.357350
000291, 57.856276, 61.583528,60.144933
000301, 35.899651, 81.509360,66.365836
000311, 21.538967, 44.227323,34.406574
000321, 19.485472, 51.829193,37.564591
000331, 67.155052, 94.562875,88.308307
000341, 95.693435, 93.812352,94.622507
000351, 72.354191, 95.537469,90.421655
000361, 70.172780, 59.391761,63.769707
000371, 20.873269, 47.026684,35.620913
000381, 88.741281, 98.464871,96.591729
000391, 63.724698, 96.470594,90.367866
000401, 77.511408, 76.979263,77.187630
000411, 55.994672, 50.369646,52.570181
000421, 76.292252, 91.306004,86.884209
000431, 9.965528, 16.333819,13.532424
000441, 22.388717, 0.577564,2.591027
000451, 93.014912, 91.858155,92.328256
000461, 27.315732, 3.490482,8.259714
000471, 32.574716, 52.753994,44.617982
000481, 21.262040, 34.162572,28.689287
000491, 28.824594, 62.907057,49.256704
000501, 4.846575, 10.279112,7.710050
000511, 16.312260, 14.027411,14.883992
000521, 61.111324, 77.681603,71.857258
000531, 1.661431, 27.481549,10.136563
000541, 48.716543, 85.968633,74.771424
000551, 93.236678, 99.136099,98.049075
000561, 43.225518, 10.362999,19.416339
000571, 57.568947, 92.201348,83.569931
000581, 75.662691, 69.787730,72.170734
000591, 50.191656, 18.346244,28.733169
000601, 12.875760, 20.134331,16.994840
000611, 67.612822, 96.562924,91.074727
000621, 8.759757, 19.185494,14.298484
000631, 73.200880, 42.717538,55.290198
000641, 40.019581, 90.713292,77.443465
000651, 22.973788, 70.790338,51.724446
000661, 76.661430, 89.976246,85.850455
000671, 14.055486, 33.042813,24.295636
000681, 24.397002, 20.867487,22.196135
000691, 67.592358, 85.816677,79.982559
000701, 80.584094, 95.413151,91.736409
000711, 50.569668, 82.919323,72.576910
000721, 51.045042, 80.197251,70.475310
000731, 54.873817, 75.402514,68.134579
000741, 31.903827, 31.673197,31.762944
000751, 71.081107, 98.603699,95.021728
000761, 18.100212, 63.794154,43.970140
000771, 68.845716, 97.434750,92.615153
000781, 70.802852, 92.225710,86.470049
000791, 1.943220, 0.168417,0.438584
000801, 40.282602, 56.379411,50.080656
000811, 60.830415, 96.245213,89.581396
000821, 89.783587, 97.499177,95.617729
000831, 82.632732, 68.081469,74.461488
000841, 42.381614, 59.469409,52.856230
000851, 86.214868, 97.860997,95.469270
000861, 74.351583, 93.425968,88.439121
000871, 22.207579, 20.491338,21.148025
000881, 17.978077, 18.738745,18.439482
000891, 63.364866, 96.973206,91.130524
000901, 97.881758, 98.363749,98.190332
000911, 3.831215, 0.035274,0.222008
000921, 51.506241, 86.714282,76.288236
000931, 49.730591, 74.494033,65.701773
000941, 96.756496, 97.099313,96.970144
000951, 95.979769, 96.510783,96.312454
000961, 12.075336, 75.085205,47.499365
000971, 64.766910, 67.645562,66.538399
000981, 73.728235, 94.664718,89.637079
000991, 66.885941, 57.817736,61.452123
Avg. scores: 49.31696553692339, 62.192768551007276,57.86410131070738
