path, aesthetic score, technical score, overall/final score
000001, 15.305281, 6.717078,9.342610
000011, 2.359127, 2.063892,2.174350
000021, 5.506862, 0.231315,0.807686
000031, 21.258510, 6.070462,10.136946
000041, 4.179163, 9.478885,6.928345
000051, 0.690860, 0.067593,0.167426
000061, 28.828676, 7.257885,12.929281
000071, 6.913666, 4.013486,4.970275
000081, 2.009506, 1.241974,1.498716
000091, 16.500974, 1.602000,4.128128
000101, 25.216993, 6.777578,11.674655
000111, 5.609131, 1.112514,2.106310
000121, 36.074788, 40.362056,38.670140
000131, 0.210380, 0.019889,0.049878
000141, 12.192558, 8.508517,9.805685
000151, 56.509484, 8.620289,20.766246
000161, 14.903537, 20.793574,18.315551
000171, 33.561866, 22.046464,26.173669
000181, 5.601112, 14.539358,10.141607
000191, 1.400427, 8.348857,4.229353
000201, 2.951638, 16.521036,8.709457
000211, 2.455533, 4.180565,3.401726
000221, 3.971551, 0.834060,1.540245
000231, 2.578294, 2.461436,2.506337
000241, 2.741686, 2.195470,2.394329
000251, 3.129403, 0.987518,1.552098
000261, 31.243116, 3.291533,8.543662
000271, 17.015778, 9.138379,11.718881
000281, 67.432376, 1.874149,10.598088
000291, 0.664819, 2.857169,1.625269
000301, 1.713328, 0.333008,0.631926
000311, 4.578968, 58.568557,27.451143
000321, 2.632014, 1.969426,2.205513
000331, 0.878240, 0.380692,0.527498
000341, 41.330135, 1.109911,5.330126
000351, 21.500636, 1.664477,4.768496
000361, 2.760876, 0.989214,1.478631
000371, 0.425370, 0.140641,0.216534
000381, 16.258387, 45.174811,31.934500
000391, 20.695914, 17.723485,18.839796
000401, 50.386841, 4.288476,13.130012
000411, 4.692204, 7.147200,6.074441
000421, 5.356280, 6.821683,6.211104
000431, 3.130881, 0.515255,1.045961
000441, 5.521359, 0.163705,0.655470
000451, 3.613509, 6.786801,5.322581
000461, 2.530856, 0.569665,1.021727
000471, 19.678634, 2.225366,5.432266
000481, 1.865301, 0.715635,1.040720
000491, 2.003003, 0.679032,1.036633
000501, 4.988152, 14.754983,9.808050
000511, 1.754492, 2.166791,1.995953
000521, 25.491319, 79.121520,59.756725
000531, 15.316327, 7.179360,9.721925
000541, 2.616945, 0.584697,1.051856
000551, 2.949174, 12.449138,7.230724
000561, 6.621805, 25.692124,15.719359
000571, 28.873730, 1.487138,5.162006
000581, 15.404929, 9.008402,11.153279
000591, 8.223141, 0.319402,1.159440
000601, 2.357160, 0.711660,1.137291
000611, 3.177034, 1.217968,1.773375
000621, 22.579115, 48.773698,37.518774
000631, 2.765364, 0.207672,0.573105
000641, 0.686226, 4.634105,2.222169
000651, 7.276883, 0.938344,2.113248
000661, 0.322262, 0.063175,0.119247
000671, 25.221889, 0.758838,3.235118
000681, 6.448459, 5.063775,5.566175
000691, 8.182527, 9.445610,8.933970
000701, 19.068592, 2.935557,6.305242
000711, 0.084058, 0.139337,0.114438
000721, 4.877881, 1.200949,2.085397
000731, 2.212085, 10.727091,5.899286
000741, 0.296384, 1.120671,0.668364
000751, 29.272231, 23.599770,25.716207
000761, 1.719217, 9.330183,4.906326
000771, 84.417262, 12.858895,37.525806
000781, 2.590612, 3.361265,3.037711
000791, 39.390731, 2.498631,8.283275
000801, 2.959981, 0.238057,0.639835
000811, 12.234426, 19.166472,16.162597
000821, 3.911635, 4.907196,4.493557
000831, 33.343657, 11.937319,18.396978
000841, 5.814694, 3.560922,4.316375
000851, 2.341611, 32.872586,13.132966
000861, 34.144529, 3.554137,9.357344
000871, 53.375458, 14.415053,26.219647
000881, 9.146844, 7.882031,8.354585
000891, 1.040872, 0.176110,0.352459
000901, 1.243008, 3.828623,2.478905
000911, 0.185650, 0.594505,0.377988
000921, 0.323153, 0.025209,0.068154
000931, 2.110155, 9.539562,5.375828
000941, 11.255220, 8.238069,9.314500
000951, 41.354958, 58.995515,52.147674
000961, 4.843299, 5.959482,5.498516
000971, 0.019064, 0.037677,0.028894
000981, 4.657442, 12.856811,8.751864
000991, 0.693601, 14.248722,4.610917
Avg. scores: 12.40755069984193, 8.775668213852855,8.52535451459135
