path, aesthetic score, technical score, overall/final score
000001, 95.403207, 77.446337,87.375811
000011, 85.293593, 80.900198,82.720990
000021, 55.998621, 52.335468,53.767825
000031, 82.610697, 66.614405,73.667727
000041, 80.974435, 95.368375,91.763499
000051, 14.961358, 6.398882,8.991802
000061, 5.528726, 4.841095,5.098774
000071, 65.172474, 58.553588,61.183995
000081, 72.004844, 9.178487,26.288998
000091, 85.945039, 75.009154,79.840454
000101, 96.747586, 90.446007,93.666291
000111, 1.597986, 16.317708,6.893640
000121, 90.132810, 97.762818,95.959286
000131, 19.340803, 70.559708,49.429841
000141, 97.098414, 55.812558,81.909710
000151, 86.918633, 87.428407,87.231852
000161, 99.205408, 72.725709,92.267754
000171, 89.963199, 81.186641,85.156960
000181, 39.819040, 61.555376,53.156234
000191, 48.473426, 34.459578,39.742365
000201, 83.008162, 89.461924,87.253049
000211, 98.045329, 91.767630,95.244533
000221, 8.604312, 2.476555,4.059239
000231, 82.880148, 26.477937,49.776872
000241, 17.668656, 29.318561,24.292536
000251, 76.570417, 81.786517,79.869520
000261, 97.726783, 54.839659,82.974398
000271, 60.453514, 34.121391,44.121557
000281, 93.526360, 50.703655,74.223359
000291, 34.650659, 6.263491,13.024843
000301, 37.306954, 1.406682,5.752502
000311, 64.284544, 4.038756,15.384329
000321, 51.305176, 12.502233,23.734075
000331, 76.463241, 16.199094,36.722493
000341, 75.075736, 86.475178,82.665284
000351, 69.526225, 34.209964,48.055600
000361, 45.384973, 35.177468,39.049515
000371, 52.818662, 57.652363,55.781337
000381, 92.412173, 75.648285,84.101133
000391, 84.006650, 18.200397,43.263992
000401, 46.558308, 12.234242,22.158175
000411, 39.776540, 33.350814,35.796283
000421, 75.872125, 90.056995,85.710114
000431, 42.708680, 2.931536,9.528248
000441, 95.312778, 75.653232,86.595404
000451, 75.993101, 15.606541,35.863435
000461, 85.189890, 7.341620,29.609768
000471, 72.148882, 14.036371,32.401810
000481, 3.231171, 0.117941,0.432295
000491, 74.897166, 50.367408,60.703271
000501, 42.766288, 28.690550,33.865984
000511, 84.479062, 42.715814,61.797913
000521, 96.229130, 76.547318,87.912153
000531, 34.622785, 9.378353,16.352682
000541, 34.312741, 50.193812,43.824948
000551, 92.540456, 57.652038,76.303356
000561, 44.931161, 80.220713,68.468448
000571, 32.534025, 47.963102,41.728954
000581, 76.345733, 23.188843,43.178856
000591, 26.603745, 7.109751,12.302698
000601, 75.727478, 2.821493,15.224595
000611, 56.288325, 32.450286,41.362527
000621, 28.535652, 1.878800,5.884782
000631, 90.078538, 94.032134,92.706629
000641, 40.433815, 12.393478,20.673990
000651, 54.444393, 19.074599,30.731817
000661, 58.920582, 30.817719,41.263554
000671, 78.249525, 9.073791,28.741516
000681, 43.971911, 78.236400,66.521095
000691, 60.457704, 35.562131,45.080459
000701, 91.726796, 96.948722,95.471511
000711, 1.851407, 0.248692,0.545479
000721, 44.664714, 18.247677,26.916697
000731, 17.147606, 80.562754,56.320892
000741, 92.476295, 28.603506,60.327271
000751, 96.545197, 66.027943,84.593901
000761, 12.295385, 2.247077,4.443005
000771, 97.092891, 95.007977,95.950452
000781, 84.191764, 35.016238,56.812513
000791, 93.424634, 7.145794,37.017998
000801, 97.963276, 8.079036,50.618346
000811, 99.037310, 70.157763,91.108884
000821, 93.358581, 1.836058,19.796974
000831, 53.577085, 2.089975,9.176227
000841, 15.934543, 12.041840,13.450376
000851, 72.924885, 92.196891,86.913654
000861, 92.932409, 62.219115,78.722027
000871, 93.900630, 68.960469,82.526754
000881, 78.955028, 70.931038,74.262080
000891, 70.658328, 18.049258,35.866923
000901, 78.851512, 4.370896,20.250970
000911, 84.956863, 93.970516,91.300078
000921, 65.911885, 57.454998,60.832548
000931, 6.962680, 22.009779,14.402822
000941, 98.728793, 80.250054,92.767272
000951, 96.381048, 74.880188,87.494580
000961, 98.248106, 71.264380,89.314175
000971, 96.877821, 14.082234,55.832093
000981, 74.058088, 17.417382,36.788576
000991, 89.483609, 62.847725,76.043421
Avg. scores: 65.70189831863573, 43.80492041035703,52.040582298192284
