path, aesthetic score, technical score, overall/final score
000001, 96.051510, 98.889785,98.172523
000011, 95.702483, 96.516606,96.218788
000021, 70.846763, 30.253356,45.911712
000031, 97.031983, 98.287797,97.876800
000041, 83.048869, 91.581349,88.854859
000051, 88.047739, 75.411121,81.184850
000061, 98.095250, 90.459227,94.827143
000071, 89.552582, 72.664524,80.749471
000081, 91.047636, 97.341459,95.694950
000091, 92.979593, 97.664041,96.391916
000101, 86.007543, 73.051465,78.854771
000111, 80.584263, 96.838045,93.358959
000121, 97.120514, 97.331317,97.251035
000131, 98.533408, 96.270436,97.400608
000141, 93.836722, 89.567588,91.476591
000151, 63.055588, 63.225905,63.159588
000161, 96.091405, 97.624529,97.113266
000171, 99.203900, 99.054229,99.115597
000181, 96.010080, 97.823067,97.239900
000191, 89.786080, 93.148723,91.981706
000201, 82.965271, 95.242997,92.027265
000211, 66.498715, 94.833630,88.527345
000221, 79.816793, 97.702616,94.399873
000231, 93.005389, 95.725530,94.812864
000241, 94.004958, 99.519914,98.698181
000251, 96.384781, 96.799019,96.643390
000261, 91.089325, 98.364934,96.790613
000271, 97.459447, 98.826466,98.412499
000281, 90.344841, 98.387775,96.709713
000291, 78.792721, 76.671296,77.514961
000301, 79.707886, 95.420159,91.579838
000311, 76.564347, 69.329121,72.293146
000321, 17.973520, 46.696384,33.799386
000331, 93.799849, 99.423112,98.524973
000341, 97.286267, 99.237011,98.745674
000351, 92.228511, 91.933411,92.049578
000361, 29.191497, 18.256406,22.092942
000371, 84.686597, 89.566754,87.853794
000381, 95.152235, 98.220685,97.361271
000391, 92.174559, 98.008451,96.574531
000401, 95.327907, 98.879056,98.034066
000411, 59.042350, 89.108381,80.619268
000421, 98.195550, 98.388750,98.316025
000431, 88.230865, 98.756289,96.938194
000441, 54.888425, 95.377309,87.258638
000451, 88.062224, 97.752407,95.611616
000461, 82.900670, 40.933480,59.656688
000471, 88.477276, 97.792701,95.723159
000481, 81.775497, 55.681473,67.352950
000491, 56.516117, 43.021127,48.265999
000501, 55.355421, 89.073646,79.650207
000511, 75.114078, 93.279543,88.452705
000521, 88.808214, 77.414064,82.619457
000531, 58.050662, 12.642545,25.859113
000541, 91.072051, 6.424227,32.514129
000551, 96.070079, 99.456977,98.817595
000561, 88.982250, 95.546652,93.615411
000571, 91.375891, 91.712663,91.582903
000581, 98.621710, 97.786279,98.158546
000591, 77.077265, 92.854500,88.471535
000601, 39.894316, 70.903712,59.483873
000611, 58.969490, 81.088264,73.689704
000621, 94.319875, 96.153333,95.518591
000631, 95.513652, 91.852708,93.524399
000641, 84.997068, 94.458849,91.734302
000651, 83.987180, 98.576022,96.202700
000661, 66.315144, 88.988423,82.337315
000671, 87.204506, 14.566902,41.773448
000681, 63.611188, 98.580037,94.299079
000691, 76.714977, 62.812602,68.664439
000701, 92.594046, 97.769166,96.413817
000711, 81.533412, 94.224174,90.744329
000721, 77.575389, 86.050423,83.119810
000731, 91.409019, 86.030662,88.400025
000741, 98.750348, 98.571898,98.644228
000751, 83.862344, 96.789207,93.826041
000761, 17.135057, 22.689929,20.386120
000771, 60.447711, 79.157395,72.706702
000781, 88.564455, 80.567831,84.098899
000791, 65.965822, 0.613527,5.480488
000801, 85.564126, 95.830584,93.129782
000811, 65.196454, 86.426546,79.810719
000821, 60.664008, 51.963327,55.397390
000831, 85.809148, 74.023076,79.253725
000841, 61.489123, 4.430179,15.544846
000851, 67.833944, 68.011219,67.942214
000861, 89.040156, 84.341833,86.342074
000871, 91.489250, 97.580136,96.014681
000881, 63.919308, 45.437891,52.774620
000891, 96.048595, 96.838649,96.550864
000901, 57.633915, 62.504330,60.630943
000911, 43.398527, 97.004574,88.280751
000921, 57.767154, 20.314783,32.910764
000931, 75.278902, 93.527596,88.735832
000941, 98.690873, 97.951444,98.278687
000951, 91.654830, 96.651070,95.194066
000961, 94.195039, 98.530074,97.472905
000971, 90.596780, 98.482440,96.861838
000981, 55.192892, 81.452694,72.798565
000991, 93.723509, 99.320029,98.362621
Avg. scores: 80.8025745431812, 81.74119847149672,81.99101270143905
