path, aesthetic score, technical score, overall/final score
000001, 63.308631, 62.889778,63.053197
000011, 53.533015, 77.287648,69.054355
000021, 34.728859, 12.384081,19.152861
000031, 51.353722, 43.086959,46.287463
000041, 17.482817, 88.918771,66.073324
000051, 6.099168, 33.214293,18.368619
000061, 26.475243, 20.456261,22.672860
000071, 10.423505, 1.166611,2.798209
000081, 24.936521, 59.237425,44.987430
000091, 95.609715, 94.715087,95.082459
000101, 58.985385, 90.932919,82.474403
000111, 3.584923, 31.421901,14.692416
000121, 30.577531, 27.364081,28.590827
000131, 9.156082, 45.287413,26.709146
000141, 37.433786, 33.747574,35.163221
000151, 4.346197, 8.420370,6.530352
000161, 17.140640, 51.980079,36.227146
000171, 62.851105, 98.777648,94.713997
000181, 25.740335, 76.287584,57.455857
000191, 34.025201, 68.585411,55.443907
000201, 43.466250, 57.935029,52.322968
000211, 2.544272, 32.793757,13.490286
000221, 21.022589, 16.120664,17.911138
000231, 56.630054, 5.168943,15.816031
000241, 4.583563, 27.496872,14.497672
000251, 53.091024, 78.324401,69.686127
000261, 76.089083, 57.307596,65.264779
000271, 31.495371, 45.231449,39.663000
000281, 74.455513, 74.405191,74.424804
000291, 28.633949, 23.651919,25.519459
000301, 18.975610, 51.739107,37.213639
000311, 22.173933, 89.918508,69.983515
000321, 0.462139, 1.667543,1.013373
000331, 25.804017, 21.854167,23.339305
000341, 15.664656, 85.520728,60.545449
000351, 61.094095, 82.028779,75.074394
000361, 79.328164, 72.117598,75.101012
000371, 1.280002, 11.333615,4.980099
000381, 35.926936, 16.267265,22.696594
000391, 17.000572, 23.903614,21.005895
000401, 13.136365, 56.766217,36.130298
000411, 0.413686, 3.854671,1.630513
000421, 18.435273, 67.157696,46.437268
000431, 2.372737, 48.189835,18.356126
000441, 28.767615, 30.602448,29.879817
000451, 11.420799, 84.291586,55.661710
000461, 0.953827, 0.900190,0.920722
000471, 5.083766, 2.180705,3.041368
000481, 0.408524, 2.371521,1.200212
000491, 40.183998, 68.493276,57.908349
000501, 17.260602, 2.816148,5.884629
000511, 5.407269, 0.859502,1.775604
000521, 0.964225, 28.169832,8.502438
000531, 38.419814, 71.662250,59.447834
000541, 47.911297, 76.857403,66.820544
000551, 0.373789, 0.057617,0.119455
000561, 4.335868, 1.237713,2.026060
000571, 26.499732, 0.382039,2.202172
000581, 0.784511, 0.553114,0.633857
000591, 34.564651, 51.172469,44.521518
000601, 7.808520, 1.992490,3.423416
000611, 24.390680, 21.252417,22.438849
000621, 24.404634, 72.509110,53.780539
000631, 51.963370, 12.186929,23.598245
000641, 26.216211, 60.844163,46.652537
000651, 21.073204, 10.480807,13.898745
000661, 13.099414, 7.107387,9.061762
000671, 55.709364, 80.774415,72.423040
000681, 21.805724, 73.859670,53.406873
000691, 48.444038, 83.708022,72.606775
000701, 52.999813, 86.722172,76.715046
000711, 10.255802, 44.339901,27.212240
000721, 5.337633, 5.879783,5.662679
000731, 46.698543, 91.329992,79.990949
000741, 64.284878, 58.233838,60.632067
000751, 18.265652, 48.900636,35.191247
000761, 18.929418, 8.608954,11.829370
000771, 74.384900, 5.343332,20.764218
000781, 16.771529, 11.519527,13.370974
000791, 53.757441, 23.713571,34.196408
000801, 0.231830, 0.189209,0.204795
000811, 40.053695, 90.509292,77.196486
000821, 0.060747, 0.035798,0.043988
000831, 13.096085, 57.779135,36.683394
000841, 50.782228, 72.715672,64.806225
000851, 4.796253, 9.955854,7.527262
000861, 87.725465, 84.697882,85.944352
000871, 20.368183, 24.756569,22.974710
000881, 25.322242, 16.170372,19.374927
000891, 2.890546, 10.291242,6.351297
000901, 0.045132, 7.188267,1.032791
000911, 0.194666, 0.705165,0.427415
000921, 22.150850, 30.606643,27.104153
000931, 22.739749, 40.822537,33.111384
000941, 1.373762, 15.742188,6.362349
000951, 38.231138, 11.747213,19.500100
000961, 0.418982, 22.846993,5.343865
000971, 26.443234, 50.834096,40.655728
000981, 4.281512, 5.686426,5.093809
000991, 0.148353, 1.151031,0.519378
Avg. scores: 26.531679441070136, 38.63263569419698,33.052964706276086
