path, aesthetic score, technical score, overall/final score
000001, 90.042918, 28.915099,57.660175
000011, 59.465538, 6.476655,18.535792
000021, 83.261922, 1.798942,13.986017
000031, 71.318376, 39.499354,52.363975
000041, 86.388671, 64.818127,74.893691
000051, 31.300783, 16.684447,21.621147
000061, 9.158452, 21.076326,15.448569
000071, 59.041171, 62.469414,61.146527
000081, 90.146063, 2.607443,20.628318
000091, 95.040258, 80.047029,88.063508
000101, 23.917027, 0.569628,2.654829
000111, 7.349453, 1.877710,3.222776
000121, 67.100033, 4.831026,17.629085
000131, 44.773430, 53.782173,50.269317
000141, 42.337606, 0.200932,1.965275
000151, 2.657641, 0.248031,0.628446
000161, 96.892567, 12.927549,54.385790
000171, 87.909196, 54.733746,70.865030
000181, 92.633502, 16.269114,49.657785
000191, 95.760230, 39.159876,72.022436
000201, 86.775649, 0.502401,7.619870
000211, 10.012440, 28.665812,19.592129
000221, 78.612111, 5.665090,22.976747
000231, 98.487000, 38.738719,79.366360
000241, 35.115191, 68.364058,55.752892
000251, 62.174333, 0.812405,6.069851
000261, 88.413874, 3.577603,22.812440
000271, 78.175984, 6.209333,23.864319
000281, 92.042907, 24.626715,56.734059
000291, 62.152940, 18.028474,32.494403
000301, 71.738328, 5.871883,20.905620
000311, 12.407816, 8.300139,9.728578
000321, 58.552091, 43.637614,49.460223
000331, 50.868027, 4.836763,14.123557
000341, 94.422998, 85.192439,89.754990
000351, 94.549869, 0.291668,7.946841
000361, 91.595722, 6.515754,33.287119
000371, 28.323644, 0.101844,1.028788
000381, 77.485774, 49.845427,61.721664
000391, 86.897477, 45.518661,65.189581
000401, 97.414931, 28.336572,70.006368
000411, 80.807763, 46.964749,61.913450
000421, 97.369087, 0.744697,17.087331
000431, 80.426391, 31.911548,52.198129
000441, 6.499271, 7.314446,6.986217
000451, 91.397494, 42.971157,67.872718
000461, 69.403175, 7.950895,23.580892
000471, 73.348399, 57.590462,64.134172
000481, 55.620942, 7.039118,18.432911
000491, 68.777241, 56.512698,61.481548
000501, 94.464360, 36.934629,68.540495
000511, 14.923867, 0.214576,1.180592
000521, 74.390194, 25.080295,43.720032
000531, 65.781635, 0.765721,6.211684
000541, 86.580089, 14.658467,41.363371
000551, 93.507376, 24.659932,58.843374
000561, 81.009055, 13.602683,36.278728
000571, 54.389054, 1.198329,6.757043
000581, 85.968541, 10.252813,35.023440
000591, 93.018145, 42.417150,69.471993
000601, 49.928989, 5.662751,15.211074
000611, 70.004775, 7.958913,23.793608
000621, 60.189692, 2.040956,9.958112
000631, 13.466018, 0.628249,2.154831
000641, 76.570333, 3.249983,16.658670
000651, 80.736392, 5.074723,22.627511
000661, 59.960100, 51.781981,55.004410
000671, 95.465240, 23.991353,61.850850
000681, 83.705404, 32.346811,54.665572
000691, 88.614659, 43.288400,65.352777
000701, 94.464193, 66.684963,82.184362
000711, 36.445539, 24.431927,28.784427
000721, 27.143502, 2.952562,7.470874
000731, 18.485932, 0.795248,2.863588
000741, 89.588071, 25.694528,54.744102
000751, 73.738481, 22.145974,40.971305
000761, 57.648754, 1.023225,6.473292
000771, 98.088687, 18.112323,64.870047
000781, 59.851524, 4.051433,14.477325
000791, 60.359575, 2.591083,11.405147
000801, 75.480129, 2.980719,15.606446
000811, 92.953205, 91.942771,92.351272
000821, 96.902987, 22.805868,64.502342
000831, 97.007175, 53.193258,80.741848
000841, 72.599829, 0.949702,7.892521
000851, 92.089750, 24.051892,56.327236
000861, 93.360914, 24.990175,58.879693
000871, 83.744520, 64.627124,73.234804
000881, 64.514050, 44.436508,52.410103
000891, 78.293898, 22.986729,44.072947
000901, 65.282040, 1.312887,8.388127
000911, 69.913977, 51.238561,58.874011
000921, 39.469601, 3.581601,10.187369
000931, 37.059898, 25.117711,29.460597
000941, 93.224932, 56.880514,76.683176
000951, 97.105762, 83.550463,91.378011
000961, 89.225046, 0.938950,11.710883
000971, 67.940624, 7.956320,23.114923
000981, 22.033893, 9.147274,13.082533
000991, 6.427486, 0.208972,0.809209
Avg. scores: 67.89481596815347, 23.48821743273531,37.503929407013956
