path, aesthetic score, technical score, overall/final score
000001, 97.522279, 4.125990,38.006964
000011, 73.655668, 43.433579,55.954344
000021, 84.321821, 48.039305,64.738281
000031, 63.071284, 6.415923,19.350792
000041, 16.058888, 21.920049,19.470053
000051, 41.470310, 1.032538,5.120503
000061, 75.326885, 31.814620,49.238333
000071, 86.678476, 15.013784,41.860846
000081, 78.597146, 4.115769,19.545670
000091, 68.354083, 2.788710,13.380919
000101, 95.137771, 24.840626,61.841153
000111, 5.890111, 0.559575,1.418044
000121, 93.609712, 0.459800,9.651020
000131, 33.426291, 0.218324,1.786343
000141, 88.163746, 0.077056,2.678438
000151, 74.810984, 15.023094,34.669608
000161, 96.237573, 20.009426,60.280191
000171, 83.674178, 71.871200,77.017197
000181, 95.747246, 0.889616,15.927051
000191, 36.458222, 1.601937,6.122935
000201, 10.674722, 36.992388,23.999023
000211, 76.375042, 2.393097,14.106836
000221, 33.584026, 1.230437,5.009106
000231, 94.824549, 62.226446,80.809674
000241, 16.245035, 25.298034,21.417935
000251, 79.920329, 1.550924,11.968494
000261, 99.615143, 0.554822,26.845096
000271, 67.325592, 4.008691,16.018621
000281, 88.520987, 3.485064,22.593229
000291, 30.009132, 12.587517,18.051653
000301, 38.661925, 0.265945,2.193179
000311, 22.871157, 6.831675,11.219893
000321, 52.505271, 8.008896,18.984827
000331, 69.509086, 14.332233,31.640716
000341, 94.299997, 57.035107,78.008119
000351, 37.633097, 8.592418,16.245609
000361, 86.422560, 19.853196,46.736566
000371, 92.405313, 0.449874,8.929149
000381, 83.882658, 2.107784,15.443899
000391, 72.671536, 9.109665,26.442847
000401, 94.610615, 0.385265,9.325545
000411, 88.357141, 65.907458,76.709127
000421, 90.439693, 18.482525,49.240742
000431, 32.097619, 1.403242,5.277503
000441, 6.799674, 33.116279,19.015651
000451, 80.439703, 63.428954,70.827520
000461, 62.881417, 1.947689,10.095123
000471, 77.231990, 4.380897,19.685685
000481, 84.737482, 2.441082,17.032462
000491, 66.294175, 18.876454,34.831344
000501, 47.875122, 30.678722,37.034862
000511, 73.173156, 5.052910,19.788188
000521, 60.538220, 29.040039,40.645746
000531, 96.831822, 75.625280,88.324071
000541, 23.567856, 0.351575,1.973772
000551, 73.731502, 9.388686,27.254838
000561, 93.104533, 27.295394,60.254315
000571, 6.125025, 0.295640,0.979078
000581, 74.054856, 4.487487,18.877945
000591, 53.022293, 4.109360,13.289888
000601, 1.287129, 4.167842,2.648041
000611, 49.200669, 32.511870,38.739837
000621, 24.119402, 49.037100,38.460418
000631, 4.975258, 0.100906,0.468096
000641, 40.680415, 1.591825,6.510747
000651, 34.232360, 0.555023,3.163452
000661, 8.235222, 0.963093,2.259232
000671, 88.122276, 16.978363,45.313265
000681, 57.470640, 8.116651,20.360760
000691, 8.240151, 4.754604,5.904613
000701, 70.975327, 10.859805,28.158687
000711, 4.195327, 11.578319,7.872962
000721, 31.063692, 0.634429,3.243866
000731, 76.210817, 35.341611,52.120833
000741, 84.537978, 58.430652,70.468024
000751, 77.525633, 0.037623,1.298943
000761, 10.445484, 4.872764,6.592978
000771, 97.741749, 41.320579,77.796149
000781, 71.405358, 3.038926,14.714732
000791, 9.210033, 0.229490,0.995631
000801, 61.047071, 18.516573,32.532504
000811, 53.792374, 29.535026,38.424886
000821, 89.462888, 6.115531,30.283764
000831, 94.786800, 14.656921,51.365349
000841, 40.958859, 17.704921,25.344469
000851, 89.011924, 6.086533,29.834170
000861, 82.661965, 59.918119,70.138746
000871, 80.096694, 67.069202,72.644235
000881, 21.945339, 59.701290,43.673154
000891, 18.656548, 0.218877,1.324653
000901, 51.939497, 43.973800,47.063032
000911, 0.892072, 0.647067,0.733365
000921, 59.526866, 16.989397,30.618366
000931, 11.894486, 0.213008,1.062577
000941, 92.094572, 17.805260,50.572613
000951, 72.405199, 9.233415,26.517971
000961, 42.897447, 3.965766,11.336828
000971, 83.758663, 8.632927,30.980617
000981, 48.722227, 6.342597,15.931539
000991, 64.078944, 6.909600,20.392436
Avg. scores: 59.325890811492364, 16.67217379622149,27.730530985198556
