path, aesthetic score, technical score, overall/final score
000001, 96.436378, 99.611260,99.071746
000011, 76.366856, 21.033241,41.324886
000021, 91.632510, 85.079375,88.028060
000031, 92.137128, 91.735406,91.894091
000041, 11.674499, 28.944026,20.806878
000051, 91.171805, 88.586592,89.664245
000061, 42.946231, 4.733361,12.530640
000071, 65.304148, 63.361123,64.123713
000081, 0.974690, 16.341563,5.747850
000091, 13.798169, 72.718502,47.118709
000101, 94.147086, 98.530490,97.464941
000111, 10.933293, 16.791839,14.256704
000121, 88.091037, 94.536534,92.551908
000131, 0.050882, 0.676503,0.247334
000141, 11.643589, 9.771559,10.466704
000151, 18.761106, 9.787509,12.711223
000161, 98.322005, 99.434920,99.135310
000171, 0.954839, 27.702845,8.363393
000181, 4.105126, 10.527028,7.351652
000191, 86.995779, 98.054532,95.824359
000201, 0.447100, 0.003434,0.022927
000211, 24.869298, 68.802599,51.300446
000221, 78.443714, 75.255705,76.534272
000231, 51.473609, 25.015214,34.363740
000241, 63.109170, 83.801196,77.071906
000251, 63.410105, 23.715348,37.779017
000261, 90.872705, 98.385130,96.782609
000271, 42.388223, 1.264891,5.845079
000281, 89.102274, 95.989208,94.029682
000291, 0.863627, 0.087292,0.213567
000301, 73.174490, 87.659718,83.029331
000311, 9.361265, 81.564568,50.580698
000321, 83.109209, 0.326596,5.359205
000331, 67.100839, 75.963272,72.711899
000341, 75.091296, 63.967369,68.573542
000351, 80.546521, 73.800655,76.597072
000361, 95.202881, 91.067039,92.965349
000371, 9.835158, 0.153812,0.803430
000381, 97.692088, 99.301220,98.884591
000391, 84.508886, 94.928998,92.050393
000401, 63.147890, 89.317093,81.847347
000411, 69.798510, 77.896936,74.937450
000421, 63.428781, 87.771279,80.496216
000431, 57.707319, 87.244152,78.494244
000441, 32.273170, 35.081702,33.973843
000451, 88.952298, 78.363053,83.176840
000461, 83.386037, 43.125826,61.292113
000471, 57.553139, 95.908949,88.535844
000481, 50.476346, 2.322734,9.323032
000491, 79.624966, 37.171812,55.247140
000501, 80.154011, 90.712964,87.380316
000511, 14.697267, 18.886600,17.154409
000521, 97.136834, 97.337745,97.261155
000531, 96.538856, 95.373626,95.866419
000541, 55.430079, 54.856594,55.080186
000551, 97.621860, 85.621857,92.665277
000561, 56.007604, 54.457455,55.062590
000571, 16.411276, 0.148853,0.988289
000581, 53.192411, 81.902287,72.539137
000591, 60.404840, 4.211106,14.898370
000601, 90.292407, 2.914735,21.907202
000611, 64.063594, 0.412176,4.211848
000621, 28.905936, 50.181813,41.430809
000631, 33.739342, 2.804741,8.113146
000641, 1.247361, 0.345817,0.570777
000651, 90.102726, 91.668974,91.087499
000661, 70.556052, 4.861346,18.620459
000671, 88.130802, 74.794004,80.922845
000681, 15.065406, 74.125946,49.216455
000691, 55.849911, 78.343162,70.608043
000701, 95.486933, 93.974406,94.613156
000711, 62.840470, 10.157509,24.492046
000721, 93.338456, 70.326658,82.566537
000731, 68.763243, 82.240930,77.608888
000741, 85.924502, 60.455649,72.390325
000751, 89.445851, 89.189773,89.290184
000761, 7.690934, 3.492987,4.769648
000771, 94.577831, 84.749715,89.666791
000781, 89.140449, 87.252097,88.019080
000791, 85.753618, 34.534020,57.662145
000801, 43.640443, 54.424636,50.216704
000811, 94.424406, 86.274299,90.242018
000821, 96.540002, 54.438002,80.305546
000831, 96.995565, 75.061411,88.352968
000841, 90.630840, 84.742264,87.332630
000851, 73.392235, 32.747337,48.900898
000861, 83.731502, 0.217025,4.294716
000871, 64.936889, 81.353430,75.755155
000881, 89.697921, 80.053896,84.440640
000891, 85.284345, 91.740828,89.605905
000901, 43.847962, 53.265080,49.586814
000911, 52.335174, 32.398033,39.829955
000921, 9.169698, 1.892428,3.545573
000931, 0.147165, 0.131098,0.137138
000941, 96.048376, 96.245989,96.170154
000951, 92.642801, 99.167616,98.025211
000961, 1.601937, 23.193781,8.825003
000971, 75.120699, 92.771513,87.956733
000981, 74.501731, 53.059255,62.070035
000991, 57.913005, 93.163153,84.796672
Avg. scores: 60.84511631995751, 55.798916273236266,56.485616623910126
