path, aesthetic score, technical score, overall/final score
000001, 16.694791, 8.889584,11.437951
000011, 8.601103, 13.192539,11.196974
000021, 1.926426, 0.846608,1.167460
000031, 14.542383, 46.825229,31.700219
000041, 4.877174, 1.105329,1.983193
000051, 1.852985, 2.799237,2.384760
000061, 1.942038, 0.994375,1.291610
000071, 2.635671, 3.627277,3.204186
000081, 2.632817, 4.369675,3.590897
000091, 4.180112, 14.571035,9.113436
000101, 2.808687, 0.469636,0.946927
000111, 0.867546, 1.233383,1.075556
000121, 1.870177, 0.055690,0.220157
000131, 0.876669, 2.833474,1.799077
000141, 0.321218, 0.085339,0.143077
000151, 7.027677, 2.345733,3.618684
000161, 9.643846, 0.850482,2.239333
000171, 2.826981, 4.960060,3.990374
000181, 5.706096, 4.775724,5.119704
000191, 2.458207, 3.887497,3.254416
000201, 0.834553, 1.396466,1.143084
000211, 0.768445, 1.619494,1.212207
000221, 3.834931, 7.001448,5.551234
000231, 1.320048, 16.484276,6.469010
000241, 0.666680, 0.833956,0.764335
000251, 1.943934, 18.459902,8.059433
000261, 31.710542, 67.938597,53.979469
000271, 0.292275, 0.623532,0.464287
000281, 21.439537, 3.632305,7.536728
000291, 36.058996, 9.949637,17.253397
000301, 1.793640, 0.417476,0.738315
000311, 10.545804, 64.818575,38.699419
000321, 2.869815, 41.944301,17.214342
000331, 2.458730, 1.299801,1.667663
000341, 11.613275, 2.647265,4.782957
000351, 6.603768, 6.318243,6.428088
000361, 11.160648, 14.326986,13.012712
000371, 0.240929, 0.106158,0.146110
000381, 10.824541, 15.139460,13.311027
000391, 4.237636, 5.707482,5.085118
000401, 13.648596, 32.559893,23.808675
000411, 14.177742, 4.384290,7.024334
000421, 2.197773, 0.316593,0.676078
000431, 0.606111, 1.309517,0.970630
000441, 0.107426, 0.606962,0.309465
000451, 9.605356, 14.991983,12.646146
000461, 0.732912, 2.686446,1.624593
000471, 4.355319, 1.616284,2.385663
000481, 8.111953, 9.997222,9.220334
000491, 0.530129, 7.354301,2.696700
000501, 2.089748, 13.265447,6.630181
000511, 0.530821, 1.076087,0.817491
000521, 8.932410, 14.859819,12.237214
000531, 2.121327, 0.153137,0.428538
000541, 7.093809, 4.085439,5.075608
000551, 0.495575, 39.067734,8.810027
000561, 1.855910, 1.190307,1.415676
000571, 4.466597, 4.725058,4.622713
000581, 26.139448, 27.124091,26.737718
000591, 3.823308, 0.113236,0.451235
000601, 8.118486, 0.871436,2.114540
000611, 20.562138, 2.939041,6.529725
000621, 6.580753, 6.170396,6.327349
000631, 0.807062, 0.179209,0.322423
000641, 0.796603, 16.352005,5.335337
000651, 10.544037, 0.581450,1.849747
000661, 3.157538, 2.682563,2.858736
000671, 25.933821, 33.887944,30.644848
000681, 4.686638, 3.198360,3.714291
000691, 1.671499, 7.348274,4.170845
000701, 8.687679, 0.817924,2.093549
000711, 11.069014, 0.993135,2.606065
000721, 0.421103, 0.346526,0.373873
000731, 5.614398, 12.490524,9.213968
000741, 4.647890, 5.697481,5.264399
000751, 22.750849, 9.739067,13.760194
000761, 0.015094, 0.669481,0.153191
000771, 12.614325, 10.443643,11.247126
000781, 4.412262, 4.786289,4.637115
000791, 15.967889, 1.151293,3.341035
000801, 0.432632, 4.744286,1.889302
000811, 4.738193, 47.562270,22.640099
000821, 2.060381, 3.375511,2.787157
000831, 11.612268, 56.508539,34.729730
000841, 1.125431, 0.476047,0.666053
000851, 1.309691, 10.610907,4.811910
000861, 3.837480, 6.155412,5.127544
000871, 16.306990, 0.867468,2.847952
000881, 0.110021, 0.907814,0.399747
000891, 5.968459, 0.386036,1.138722
000901, 3.244494, 0.411180,0.925092
000911, 0.519455, 1.737695,1.087519
000921, 0.953136, 0.964246,0.959902
000931, 0.435149, 0.567834,0.511928
000941, 2.460393, 42.550304,16.562462
000951, 67.936490, 27.361899,42.472073
000961, 4.921259, 14.600731,9.693191
000971, 0.064195, 0.129768,0.098652
000981, 0.542475, 17.249490,4.799489
000991, 2.871748, 1.482475,1.920144
Avg. scores: 6.676430167714829, 9.408630635798582,7.042129675837869
