path, aesthetic score, technical score, overall/final score
000001, 94.931996, 98.404691,97.485655
000011, 79.510496, 91.066329,87.495416
000021, 12.167560, 2.014602,4.144175
000031, 58.545859, 48.192546,52.257182
000041, 21.361698, 76.683024,55.451507
000051, 74.187309, 66.118028,69.410879
000061, 13.666162, 18.522683,16.488073
000071, 76.627181, 83.569750,81.083627
000081, 67.342855, 83.113252,77.812028
000091, 47.466465, 89.251000,77.772896
000101, 8.275380, 1.154899,2.525418
000111, 10.196339, 22.602240,16.812711
000121, 8.197477, 5.864501,6.688460
000131, 6.663677, 2.640523,3.803976
000141, 46.577908, 68.337421,60.256898
000151, 70.602300, 95.324693,89.859399
000161, 80.618368, 98.035465,94.988616
000171, 15.546507, 41.735915,29.671515
000181, 25.401333, 16.018866,19.293510
000191, 80.753928, 97.544130,94.300514
000201, 62.941606, 87.838850,80.428497
000211, 34.882755, 17.495003,23.327985
000221, 0.176601, 4.155911,1.231493
000231, 6.028503, 47.686570,24.479675
000241, 3.538541, 40.234648,17.809189
000251, 32.372887, 69.645940,55.475950
000261, 89.859620, 86.537775,87.929455
000271, 9.206065, 25.548713,17.587518
000281, 42.648181, 36.653541,38.951232
000291, 9.535790, 1.099058,2.600397
000301, 10.234612, 26.382690,18.658383
000311, 33.318536, 41.592280,38.282826
000321, 23.238835, 73.517493,53.934828
000331, 15.418038, 53.867367,36.157012
000341, 88.015826, 95.717037,93.542635
000351, 48.913111, 92.072018,81.455224
000361, 25.551285, 31.248979,28.947184
000371, 4.559733, 2.170852,2.904788
000381, 15.536506, 39.672911,28.588210
000391, 67.227465, 68.993912,68.311910
000401, 51.666992, 88.852787,78.466317
000411, 20.069808, 31.475741,26.633923
000421, 48.077180, 77.751044,67.563044
000431, 16.781418, 76.027142,52.015840
000441, 5.966319, 8.707198,7.524891
000451, 48.252547, 89.232513,77.964147
000461, 57.005358, 29.789669,39.809183
000471, 53.481502, 94.628576,85.881710
000481, 1.749423, 3.478791,2.665382
000491, 12.775906, 69.178458,43.661862
000501, 33.857730, 69.599315,56.087057
000511, 1.697513, 12.885680,6.020650
000521, 81.990246, 93.429970,90.122733
000531, 90.685578, 91.586518,91.245323
000541, 23.044231, 82.255683,61.453744
000551, 58.040734, 66.211163,63.112160
000561, 13.508717, 3.087802,5.588125
000571, 81.733985, 89.416440,86.834253
000581, 90.783719, 97.860919,96.175978
000591, 56.581953, 60.188188,58.794045
000601, 1.466012, 0.806594,1.018472
000611, 28.008176, 8.708860,14.159940
000621, 28.870348, 58.499137,46.462193
000631, 6.194418, 55.011747,28.171138
000641, 17.918898, 71.624926,49.306930
000651, 76.843925, 93.216549,88.763906
000661, 26.025775, 65.665286,49.720103
000671, 83.391359, 85.632836,84.791055
000681, 73.022753, 98.025496,94.111684
000691, 40.275286, 95.014000,83.829300
000701, 74.335647, 92.780482,87.792864
000711, 21.070812, 53.067727,39.185196
000721, 57.260545, 56.043610,56.518676
000731, 18.939696, 75.576433,53.072448
000741, 42.459862, 32.691330,36.372639
000751, 78.929104, 98.411501,95.405443
000761, 6.004925, 43.181239,22.457723
000771, 77.637264, 97.197863,93.398746
000781, 68.143464, 87.522986,81.537307
000791, 41.142638, 48.466813,45.587736
000801, 3.239697, 19.595864,10.109588
000811, 48.036732, 98.083781,91.463573
000821, 9.583078, 81.032916,50.299037
000831, 56.740194, 86.893349,77.907632
000841, 28.396989, 89.452127,72.002334
000851, 34.832767, 53.966142,46.331515
000861, 84.206152, 86.557982,85.678987
000871, 12.712590, 2.968858,5.320226
000881, 7.664752, 7.098035,7.314075
000891, 42.844149, 61.662244,54.433247
000901, 72.456223, 82.460147,78.945188
000911, 0.132770, 0.016391,0.037040
000921, 18.215498, 90.496693,68.794622
000931, 4.236495, 26.331973,13.672050
000941, 84.301975, 76.510723,79.829636
000951, 94.437856, 96.732674,95.974191
000961, 5.805334, 2.917515,3.823563
000971, 40.676717, 7.677515,15.908208
000981, 5.562567, 37.166781,19.406633
000991, 5.461868, 12.692018,9.212423
Avg. scores: 38.97081463102975, 56.21428846684123,49.73954481551508
