path, aesthetic score, technical score, overall/final score
000001, 98.635895, 95.299133,97.082159
000011, 90.476850, 94.445508,93.128836
000021, 70.022306, 71.135050,70.704447
000031, 98.029007, 97.364355,97.645918
000041, 92.041544, 97.868667,96.407271
000051, 88.496252, 93.663415,91.974797
000061, 98.407821, 99.312191,99.045303
000071, 93.120181, 95.178592,94.457256
000081, 94.881180, 92.455715,93.505964
000091, 98.148845, 98.375776,98.290813
000101, 78.630573, 87.815284,84.724351
000111, 64.631762, 85.001910,78.478607
000121, 98.219602, 98.643176,98.491472
000131, 90.099855, 97.413671,95.586467
000141, 96.435189, 98.885025,98.240741
000151, 89.101751, 96.499002,94.495575
000161, 96.935695, 97.620291,97.373388
000171, 49.787722, 82.638988,72.092835
000181, 99.186815, 97.964188,98.574193
000191, 95.565073, 97.373150,96.774886
000201, 95.806006, 95.429675,95.579972
000211, 92.497632, 97.716791,96.344240
000221, 84.916473, 91.289707,89.162119
000231, 93.429589, 94.731108,94.255823
000241, 22.727938, 78.392060,57.684402
000251, 72.249455, 95.680516,90.582928
000261, 85.656499, 97.905138,95.447604
000271, 56.842578, 90.854366,81.887958
000281, 93.261560, 99.306862,98.294622
000291, 68.502401, 87.906858,81.958170
000301, 66.770003, 71.548918,69.736283
000311, 28.451949, 67.898036,52.447389
000321, 45.199895, 48.775589,47.378976
000331, 51.407756, 86.417756,75.977505
000341, 77.536335, 97.483914,93.789884
000351, 90.440762, 36.053981,62.848700
000361, 69.761663, 78.987430,75.657036
000371, 71.755748, 96.963702,92.254903
000381, 95.520350, 99.401480,98.678035
000391, 96.454856, 97.048430,96.829590
000401, 95.558889, 91.849669,93.547888
000411, 89.626324, 98.350193,96.562229
000421, 92.199342, 95.562139,94.458519
000431, 76.291286, 76.078680,76.161666
000441, 71.745319, 37.941775,51.567607
000451, 95.105812, 92.449212,93.613434
000461, 87.629385, 97.078642,94.790946
000471, 81.239356, 74.041236,77.043709
000481, 91.601596, 98.723105,97.300831
000491, 89.079097, 94.259815,92.594136
000501, 87.375683, 97.953439,95.750508
000511, 27.385945, 27.557594,27.490641
000521, 94.776565, 98.416579,97.466544
000531, 69.130542, 6.846339,21.765844
000541, 92.902426, 97.413796,96.146819
000551, 95.487141, 98.194513,97.412631
000561, 89.974022, 78.537451,83.845357
000571, 67.457213, 36.060453,48.360410
000581, 92.539508, 96.541182,95.316093
000591, 87.714562, 86.707311,87.107801
000601, 60.208666, 38.039944,46.594629
000611, 87.213250, 98.366003,96.264532
000621, 95.995519, 98.318142,97.636278
000631, 62.216652, 91.401636,83.714156
000641, 68.776356, 93.791616,87.707345
000651, 89.867491, 12.977430,42.281497
000661, 47.822749, 77.458527,67.250072
000671, 96.706421, 99.041638,98.444676
000681, 91.373594, 97.763291,96.177603
000691, 87.768299, 81.884302,84.403713
000701, 96.140491, 99.060067,98.362860
000711, 78.053402, 82.013419,80.540907
000721, 61.592033, 82.432350,75.540021
000731, 75.207002, 80.757570,78.715316
000741, 83.236601, 85.761688,84.817856
000751, 95.303380, 98.887263,98.038678
000761, 69.320284, 98.215445,94.070233
000771, 96.410636, 99.416016,98.808273
000781, 89.421754, 99.232771,97.811142
000791, 72.006053, 40.493546,53.322858
000801, 92.711552, 97.855808,96.520970
000811, 85.545247, 98.203629,95.831741
000821, 97.084474, 96.655140,96.829224
000831, 96.441995, 97.037313,96.817820
000841, 58.214560, 37.573515,45.494564
000851, 95.027478, 93.844595,94.333858
000861, 91.949435, 93.134174,92.693122
000871, 84.588314, 93.042211,90.432609
000881, 22.210906, 4.708072,8.913754
000891, 59.750581, 78.568851,72.049401
000901, 93.540907, 88.135378,90.597140
000911, 40.886028, 72.229162,60.821567
000921, 92.959400, 95.919010,94.942908
000931, 89.222789, 96.365955,94.397342
000941, 94.629152, 84.392269,89.547541
000951, 96.198265, 93.295937,94.613993
000961, 93.244982, 99.172055,98.099469
000971, 86.212384, 77.398094,81.237427
000981, 83.868875, 90.109417,87.983835
000991, 72.641523, 90.707987,85.461166
Avg. scores: 81.46432861529671, 84.9896976423427,84.40297124377535
