path, aesthetic score, technical score, overall/final score
000001, 96.180294, 97.861932,97.316452
000011, 41.350293, 74.476158,62.656071
000021, 51.105801, 58.655984,55.742802
000031, 63.365823, 69.503654,67.179379
000041, 3.091922, 6.325522,4.800153
000051, 20.671345, 87.083207,65.495558
000061, 0.045605, 0.006410,0.013768
000071, 2.048039, 0.167145,0.445737
000081, 27.150911, 15.407956,19.403345
000091, 0.665463, 0.372910,0.467392
000101, 24.803023, 31.035928,28.506163
000111, 0.357970, 0.840009,0.602808
000121, 64.209080, 79.670750,74.296023
000131, 1.440974, 0.425956,0.685765
000141, 67.728337, 93.119334,86.749737
000151, 0.155017, 0.043948,0.071827
000161, 49.502759, 90.586366,79.807152
000171, 39.133596, 29.206790,32.904419
000181, 41.585556, 50.930071,47.260774
000191, 0.052563, 0.013231,0.022648
000201, 94.105098, 95.067422,94.711615
000211, 1.051158, 2.189060,1.646570
000221, 11.372482, 25.692896,19.028113
000231, 27.174626, 58.992972,45.957019
000241, 11.480604, 9.331800,10.122409
000251, 11.600386, 30.632631,21.583217
000261, 42.174904, 81.840073,68.912477
000271, 0.542182, 0.211551,0.305358
000281, 71.070617, 91.437420,85.763209
000291, 76.902324, 73.723146,74.994489
000301, 0.526469, 1.025832,0.791378
000311, 1.187428, 38.952580,11.953431
000321, 2.278460, 8.786994,5.251813
000331, 15.012690, 7.804811,10.132459
000341, 92.188017, 57.414305,75.840813
000351, 57.879925, 24.639754,36.388425
000361, 2.774047, 1.146025,1.619915
000371, 7.983938, 1.451546,2.855348
000381, 15.822621, 22.068348,19.445081
000391, 6.224087, 16.175767,11.294384
000401, 23.936064, 37.161426,31.624280
000411, 4.665932, 1.716884,2.543267
000421, 79.774501, 80.499824,80.219607
000431, 0.533027, 1.537412,1.018878
000441, 12.685877, 25.676404,19.776619
000451, 71.010731, 65.107785,67.476144
000461, 23.381231, 32.144902,28.527138
000471, 13.217677, 36.912783,25.724868
000481, 0.076517, 0.087699,0.083160
000491, 4.648950, 14.812210,9.579986
000501, 43.190838, 48.574651,46.466199
000511, 0.366735, 0.197214,0.251162
000521, 5.994229, 5.363805,5.601617
000531, 0.308464, 1.844428,0.921958
000541, 2.466408, 0.515455,0.951726
000551, 71.693207, 65.018129,67.708355
000561, 61.411387, 40.741693,48.808580
000571, 15.790235, 0.345080,1.613501
000581, 58.534748, 38.715475,46.355748
000591, 3.122731, 3.583185,3.396492
000601, 0.374528, 1.632481,0.921992
000611, 43.492350, 55.073204,50.557509
000621, 14.454029, 19.698615,17.501438
000631, 4.286568, 11.114089,7.733248
000641, 6.453004, 2.754420,3.852193
000651, 31.636878, 4.157791,9.837123
000661, 35.226489, 3.009646,8.650346
000671, 85.813701, 93.764190,91.338746
000681, 26.113912, 18.310408,21.114575
000691, 37.403868, 35.003793,35.930630
000701, 57.884986, 46.535062,50.979324
000711, 7.474943, 20.853366,14.254058
000721, 69.048624, 62.078235,64.872978
000731, 47.313082, 79.999526,69.088557
000741, 48.997192, 57.022977,53.916569
000751, 31.316117, 8.679169,14.899154
000761, 3.380200, 3.217786,3.280146
000771, 9.572722, 11.466452,10.692646
000781, 86.035124, 90.370059,88.845761
000791, 81.863602, 95.039323,91.602595
000801, 1.740355, 0.291950,0.586903
000811, 0.361402, 0.118533,0.183061
000821, 77.134209, 68.070950,71.825258
000831, 11.399642, 40.048159,26.015423
000841, 23.576589, 72.146890,53.065422
000851, 78.138970, 89.557764,85.912372
000861, 85.483714, 91.047436,89.153998
000871, 60.488428, 90.032522,81.895881
000881, 43.046327, 47.285517,45.625836
000891, 7.507738, 6.268416,6.726771
000901, 58.180520, 78.600776,71.560988
000911, 0.244427, 2.704148,1.067468
000921, 43.802112, 63.285214,55.854487
000931, 11.536377, 20.354614,16.432369
000941, 85.708086, 95.437369,92.783085
000951, 92.830747, 97.302344,96.031579
000961, 30.238092, 54.253058,44.482417
000971, 49.762987, 20.584540,30.410476
000981, 50.131068, 84.772480,74.077835
000991, 1.719670, 0.262387,0.547393
Avg. scores: 31.819793015726336, 36.7708029694786,34.65783391782704
