path, aesthetic score, technical score, overall/final score
000001, 98.862529, 86.592267,94.675625
000011, 82.760559, 14.442529,38.349906
000021, 97.805183, 39.517395,77.197004
000031, 97.334375, 94.056011,95.636562
000041, 71.513093, 77.519288,75.291076
000051, 94.055029, 92.945335,93.398780
000061, 40.159947, 7.364771,15.434987
000071, 98.499169, 97.923344,98.169720
000081, 95.157333, 54.832436,78.221354
000091, 99.017523, 94.371544,97.120064
000101, 99.529957, 98.604437,99.085565
000111, 56.680870, 86.598335,77.620520
000121, 92.661610, 88.053495,90.089767
000131, 95.201247, 86.550420,90.891128
000141, 81.848562, 17.220910,40.816062
000151, 94.597334, 71.776256,84.357387
000161, 97.885077, 84.849029,92.727946
000171, 52.864342, 11.664452,23.305744
000181, 99.477789, 98.207286,98.889174
000191, 94.161864, 51.504185,75.399993
000201, 94.206113, 90.390994,92.090066
000211, 87.041217, 82.639066,84.480429
000221, 97.700062, 98.150446,97.986305
000231, 89.809507, 87.416115,88.401128
000241, 53.492787, 45.772309,48.776495
000251, 88.526367, 3.049275,21.156689
000261, 96.458683, 64.611741,83.955881
000271, 93.207912, 79.748454,86.495083
000281, 86.195839, 85.474968,85.759466
000291, 22.734452, 26.454355,24.959962
000301, 85.707908, 40.872609,61.597201
000311, 68.080628, 38.701649,50.360217
000321, 82.817006, 59.320937,69.909704
000331, 84.745674, 85.771650,85.378948
000341, 2.913544, 92.625514,54.453488
000351, 96.481591, 67.719491,85.098545
000361, 86.719657, 69.416702,77.405869
000371, 99.039202, 45.342129,84.447859
000381, 85.245624, 97.413259,94.775900
000391, 68.711908, 67.545164,68.002426
000401, 95.006814, 89.253530,91.981755
000411, 95.685035, 98.065534,97.349788
000421, 92.566618, 92.196583,92.342713
000431, 92.267960, 88.189647,89.963376
000441, 87.882799, 80.775227,83.864169
000451, 96.285396, 92.871377,94.454448
000461, 85.306437, 42.529311,62.280333
000471, 89.194112, 79.668322,83.969444
000481, 84.625401, 78.843645,81.267208
000491, 95.998740, 89.950095,92.929110
000501, 97.674870, 35.340713,74.791693
000511, 86.855287, 58.028996,71.776446
000521, 97.471565, 96.591465,96.964910
000531, 75.093689, 71.482597,72.926351
000541, 94.206126, 55.198156,77.097941
000551, 92.975110, 93.152917,93.084145
000561, 90.656671, 93.007114,92.164542
000571, 93.258217, 60.403444,78.266624
000581, 91.622063, 81.944181,86.473924
000591, 85.017708, 83.694355,84.220795
000601, 61.440899, 50.448218,54.796510
000611, 94.528736, 75.283889,85.692655
000621, 92.934588, 82.258043,87.437263
000631, 76.399874, 0.774072,7.551569
000641, 78.353541, 65.209062,70.778610
000651, 85.087348, 91.645576,89.477468
000661, 65.479930, 14.257658,30.034266
000671, 63.040064, 48.707566,54.400047
000681, 80.401852, 92.404986,88.846531
000691, 98.263811, 73.309452,89.927069
000701, 97.433814, 97.007014,97.180916
000711, 90.097714, 96.885812,95.066728
000721, 46.697983, 39.432999,42.226430
000731, 87.986762, 97.862571,95.729960
000741, 97.629704, 74.294510,89.055622
000751, 98.104741, 98.693746,98.489516
000761, 88.705927, 63.599149,75.833863
000771, 93.024265, 80.582078,86.736704
000781, 78.088740, 7.196329,25.623698
000791, 95.191588, 77.122425,87.044973
000801, 92.399520, 78.162016,85.214530
000811, 85.865715, 91.763669,89.792482
000821, 89.588010, 80.584297,84.648008
000831, 98.631381, 60.523659,87.296046
000841, 68.927117, 31.239016,45.730755
000851, 78.157038, 60.762661,68.214232
000861, 98.472655, 93.730870,96.353212
000871, 73.442881, 97.297142,92.980181
000881, 91.429185, 93.788777,92.951788
000891, 92.779139, 14.698996,48.036351
000901, 57.225382, 20.305445,32.712587
000911, 41.260574, 19.644950,26.944529
000921, 92.649777, 76.173371,84.510267
000931, 97.970377, 59.268647,85.060543
000941, 96.551513, 11.749464,51.684578
000951, 96.537744, 98.954612,98.327659
000961, 97.597307, 95.190592,96.322296
000971, 88.404131, 8.740596,34.514495
000981, 95.142070, 73.953409,85.765497
000991, 93.706253, 72.861014,83.956262
Avg. scores: 85.25189343308884, 68.10586116065389,76.03286435237597
