2025-03-26 13:48:26 Vid: 000241.mp4,  Current sd_score: 0.614120602607727, Current avg. sd_score: 0.614120602607727,  
2025-03-26 13:48:27 Vid: 000711.mp4,  Current sd_score: 0.6196891665458679, Current avg. sd_score: 0.6169048845767975,  
2025-03-26 13:48:27 Vid: 000201.mp4,  Current sd_score: 0.7226672768592834, Current avg. sd_score: 0.6521590153376261,  
2025-03-26 13:48:28 Vid: 000171.mp4,  Current sd_score: 0.6637043356895447, Current avg. sd_score: 0.6550453454256058,  
2025-03-26 13:48:28 Vid: 000301.mp4,  Current sd_score: 0.6611491441726685, Current avg. sd_score: 0.6562661051750183,  
2025-03-26 13:48:29 Vid: 000211.mp4,  Current sd_score: 0.7459239959716797, Current avg. sd_score: 0.6712090869744619,  
2025-03-26 13:48:29 Vid: 000801.mp4,  Current sd_score: 0.7535400986671448, Current avg. sd_score: 0.6829706600734166,  
2025-03-26 13:48:29 Vid: 000031.mp4,  Current sd_score: 0.6951375007629395, Current avg. sd_score: 0.6844915151596069,  
2025-03-26 13:48:30 Vid: 000971.mp4,  Current sd_score: 0.7558940052986145, Current avg. sd_score: 0.6924251251750522,  
2025-03-26 13:48:30 Vid: 000141.mp4,  Current sd_score: 0.6554338335990906, Current avg. sd_score: 0.6887259960174561,  
2025-03-26 13:48:31 Vid: 000761.mp4,  Current sd_score: 0.700520396232605, Current avg. sd_score: 0.6897982142188332,  
2025-03-26 13:48:31 Vid: 000961.mp4,  Current sd_score: 0.67680823802948, Current avg. sd_score: 0.6887157162030538,  
2025-03-26 13:48:32 Vid: 000121.mp4,  Current sd_score: 0.7319998145103455, Current avg. sd_score: 0.6920452622266916,  
2025-03-26 13:48:32 Vid: 000541.mp4,  Current sd_score: 0.7745361924171448, Current avg. sd_score: 0.6979374715260097,  
2025-03-26 13:48:33 Vid: 000551.mp4,  Current sd_score: 0.795192539691925, Current avg. sd_score: 0.7044211427370707,  
2025-03-26 13:48:33 Vid: 000081.mp4,  Current sd_score: 0.6703135371208191, Current avg. sd_score: 0.702289417386055,  
2025-03-26 13:48:33 Vid: 000041.mp4,  Current sd_score: 0.7291470766067505, Current avg. sd_score: 0.7038692796931547,  
2025-03-26 13:48:34 Vid: 000951.mp4,  Current sd_score: 0.6826843619346619, Current avg. sd_score: 0.7026923398176829,  
2025-03-26 13:48:34 Vid: 000101.mp4,  Current sd_score: 0.6623112559318542, Current avg. sd_score: 0.7005670196131656,  
2025-03-26 13:48:34 Vid: 000641.mp4,  Current sd_score: 0.6107258796691895, Current avg. sd_score: 0.6960749626159668,  
2025-03-26 13:48:35 Vid: 000321.mp4,  Current sd_score: 0.6624367237091064, Current avg. sd_score: 0.6944731417156401,  
2025-03-26 13:48:35 Vid: 000941.mp4,  Current sd_score: 0.6201210021972656, Current avg. sd_score: 0.6910934990102594,  
2025-03-26 13:48:36 Vid: 000261.mp4,  Current sd_score: 0.7348807454109192, Current avg. sd_score: 0.6929972923320272,  
2025-03-26 13:48:36 Vid: 000431.mp4,  Current sd_score: 0.7338734269142151, Current avg. sd_score: 0.6947004646062851,  
2025-03-26 13:48:37 Vid: 000481.mp4,  Current sd_score: 0.7100955843925476, Current avg. sd_score: 0.6953162693977356,  
2025-03-26 13:48:37 Vid: 000511.mp4,  Current sd_score: 0.6903026103973389, Current avg. sd_score: 0.6951234363592588,  
2025-03-26 13:48:37 Vid: 000731.mp4,  Current sd_score: 0.797407329082489, Current avg. sd_score: 0.6989117286823414,  
2025-03-26 13:48:38 Vid: 000991.mp4,  Current sd_score: 0.5395523905754089, Current avg. sd_score: 0.6932203237499509,  
2025-03-26 13:48:38 Vid: 000771.mp4,  Current sd_score: 0.6904007792472839, Current avg. sd_score: 0.6931230980774452,  
2025-03-26 13:48:39 Vid: 000251.mp4,  Current sd_score: 0.6854621171951294, Current avg. sd_score: 0.6928677320480346,  
2025-03-26 13:48:39 Vid: 000561.mp4,  Current sd_score: 0.7517895698547363, Current avg. sd_score: 0.6947684364934121,  
2025-03-26 13:48:39 Vid: 000521.mp4,  Current sd_score: 0.6435055732727051, Current avg. sd_score: 0.693166472017765,  
2025-03-26 13:48:40 Vid: 000181.mp4,  Current sd_score: 0.6609145402908325, Current avg. sd_score: 0.6921891407533125,  
2025-03-26 13:48:40 Vid: 000881.mp4,  Current sd_score: 0.7326982021331787, Current avg. sd_score: 0.6933805837350733,  
2025-03-26 13:48:40 Vid: 000391.mp4,  Current sd_score: 0.639447808265686, Current avg. sd_score: 0.6918396472930908,  
2025-03-26 13:48:41 Vid: 000911.mp4,  Current sd_score: 0.7568539381027222, Current avg. sd_score: 0.6936455998155806,  
2025-03-26 13:48:41 Vid: 000411.mp4,  Current sd_score: 0.6747519969940186, Current avg. sd_score: 0.6931349619014843,  
2025-03-26 13:48:42 Vid: 000811.mp4,  Current sd_score: 0.6928090453147888, Current avg. sd_score: 0.6931263851492029,  
2025-03-26 13:48:42 Vid: 000821.mp4,  Current sd_score: 0.7110573649406433, Current avg. sd_score: 0.6935861538618039,  
2025-03-26 13:48:43 Vid: 000681.mp4,  Current sd_score: 0.7138198018074036, Current avg. sd_score: 0.6940919950604438,  
