path, aesthetic score, technical score, overall/final score
000001, 99.212725, 99.762137,99.620546
000011, 98.861754, 97.643973,98.223516
000021, 90.618024, 98.116965,96.431331
000031, 99.372947, 99.832378,99.719553
000041, 96.829301, 99.129764,98.555052
000051, 97.760783, 99.574278,99.184503
000061, 94.372402, 99.384483,98.525436
000071, 41.995328, 73.449767,62.135262
000081, 98.334442, 99.198122,98.933145
000091, 99.601063, 99.709342,99.671165
000101, 99.469680, 99.421813,99.440952
000111, 88.161164, 99.434960,98.088948
000121, 99.752910, 99.842330,99.812163
000131, 98.603979, 99.616913,99.365072
000141, 99.070100, 99.686704,99.520972
000151, 97.477806, 92.565574,95.087879
000161, 96.747833, 98.579739,98.035209
000171, 99.833841, 99.555644,99.697005
000181, 99.889612, 99.780897,99.832238
000191, 99.689629, 99.587002,99.630490
000201, 99.564697, 99.633838,99.608307
000211, 95.379236, 99.315467,98.547986
000221, 97.551090, 99.481934,99.048032
000231, 95.024594, 98.988267,98.105046
000241, 93.944304, 99.256038,98.296227
000251, 98.322759, 99.546798,99.244084
000261, 98.382337, 99.536840,99.244833
000271, 96.953178, 99.095376,98.543841
000281, 92.112968, 99.762529,99.047891
000291, 92.179144, 92.469141,92.357352
000301, 87.748344, 96.974107,94.702227
000311, 58.974842, 88.906173,80.404274
000321, 97.042391, 99.640363,99.178082
000331, 97.844858, 99.124143,98.754458
000341, 98.926313, 99.831072,99.652160
000351, 97.121147, 95.176025,96.049896
000361, 97.697347, 99.202849,98.792706
000371, 96.066863, 97.563281,97.061063
000381, 96.497954, 99.187437,98.558113
000391, 95.484410, 99.425144,98.705801
000401, 98.061681, 99.484167,99.134229
000411, 87.851817, 98.898498,97.114066
000421, 92.440563, 99.290968,98.187212
000431, 96.084354, 99.160538,98.462446
000441, 94.995670, 97.104504,96.411560
000451, 97.756585, 99.035686,98.658399
000461, 98.277941, 99.425983,99.118078
000471, 97.974545, 99.525750,99.162994
000481, 95.673396, 97.429573,96.847989
000491, 95.227012, 99.162724,98.338112
000501, 78.656033, 96.494825,92.634053
000511, 92.816814, 97.846479,96.532375
000521, 99.535137, 99.782715,99.707715
000531, 82.451172, 95.199326,91.880301
000541, 95.784977, 98.705285,97.941267
000551, 96.065384, 96.746182,96.495650
000561, 97.443697, 95.390958,96.331144
000571, 99.047333, 99.454035,99.321616
000581, 98.713775, 99.723345,99.495712
000591, 94.395279, 98.466483,97.443820
000601, 96.861071, 99.404369,98.856653
000611, 97.032217, 95.695759,96.273861
000621, 89.545737, 98.916685,97.320186
000631, 98.840468, 99.743423,99.537542
000641, 95.328685, 98.174211,97.359060
000651, 98.248829, 99.713169,99.417961
000661, 96.990336, 99.149269,98.603935
000671, 98.240836, 99.131412,98.855698
000681, 95.763192, 99.362823,98.657348
000691, 97.203578, 98.521861,98.103205
000701, 93.859082, 98.302584,97.180329
000711, 97.485570, 98.264465,97.994091
000721, 86.199803, 95.261337,92.726872
000731, 83.571397, 61.875696,71.694447
000741, 98.843717, 98.263647,98.517585
000751, 98.319551, 99.684394,99.393032
000761, 98.320774, 99.578178,99.276044
000771, 97.804577, 99.789347,99.472552
000781, 94.930875, 99.636029,98.971988
000791, 96.831593, 98.438765,97.940312
000801, 99.046056, 99.152075,99.112235
000811, 87.890336, 99.253923,97.718924
000821, 97.558162, 94.429733,95.947282
000831, 94.522972, 98.643914,97.648733
000841, 92.819615, 98.302770,96.996079
000851, 91.413257, 98.507981,97.008580
000861, 94.262678, 98.663229,97.624997
000871, 95.971668, 99.256352,98.555046
000881, 88.105295, 94.116749,92.218700
000891, 81.574925, 98.332617,95.556659
000901, 92.642709, 98.747810,97.473902
000911, 76.953631, 93.020036,88.600167
000921, 91.448157, 96.767991,95.248755
000931, 96.334995, 98.997725,98.332556
000941, 99.171765, 99.529450,99.413358
000951, 98.857999, 99.615688,99.412022
000961, 98.241218, 99.748605,99.461930
000971, 94.021363, 98.603699,97.520780
000981, 84.002834, 98.301942,95.785062
000991, 97.008682, 99.580895,99.093932
Avg. scores: 94.2979746616029, 97.80798237518884,97.07513947454149
