path, aesthetic score, technical score, overall/final score
000001, 93.321222, 90.143833,91.516708
000011, 81.753530, 91.812354,88.692489
000021, 94.965534, 94.455247,94.659601
000031, 74.119565, 94.758684,89.815551
000041, 59.669360, 77.514713,71.259977
000051, 83.627389, 89.270201,87.309041
000061, 91.653483, 96.916253,95.426272
000071, 82.772663, 23.124496,46.959904
000081, 87.780578, 87.370577,87.531695
000091, 94.602832, 99.051990,98.117403
000101, 94.554653, 91.962531,93.084796
000111, 56.153200, 74.933822,68.239939
000121, 85.481841, 95.482962,92.778214
000131, 36.943077, 2.506174,7.995216
000141, 92.045597, 95.587849,94.434688
000151, 80.509695, 18.042595,40.825437
000161, 95.602915, 92.387231,93.838977
000171, 97.607599, 99.218281,98.788851
000181, 96.044063, 97.624352,97.099415
000191, 88.453516, 93.144015,91.573897
000201, 88.147556, 98.266091,96.253244
000211, 85.563038, 44.551647,63.638798
000221, 81.688531, 67.097132,73.449746
000231, 29.182573, 18.864976,22.515925
000241, 60.209351, 32.567300,42.974503
000251, 88.144520, 59.190697,73.274422
000261, 96.932481, 95.557562,96.151988
000271, 46.159488, 6.925636,16.166507
000281, 76.224424, 94.024911,89.436568
000291, 30.915688, 23.990532,26.557789
000301, 45.927556, 34.242027,38.653318
000311, 95.971266, 99.290153,98.595162
000321, 66.088339, 86.544035,80.155625
000331, 71.863507, 84.776498,80.431642
000341, 94.900864, 93.494076,94.080654
000351, 90.479688, 84.685111,87.226274
000361, 84.810940, 96.261876,93.419139
000371, 75.179093, 80.111699,78.282640
000381, 93.089033, 98.565632,97.327650
000391, 94.811907, 61.930166,80.674633
000401, 97.500340, 95.164980,96.253644
000411, 81.139482, 47.540620,62.442387
000421, 70.611966, 90.562380,84.836659
000431, 48.335695, 22.957153,31.756668
000441, 90.003437, 97.276368,95.429336
000451, 96.478675, 97.426009,97.090708
000461, 82.553540, 39.504558,58.551042
000471, 84.159100, 76.676280,79.852912
000481, 36.962678, 32.539325,34.231033
000491, 56.630330, 65.546182,62.163856
000501, 86.811920, 91.224984,89.691221
000511, 45.057821, 39.934475,41.910851
000521, 95.863565, 95.661176,95.741127
000531, 88.692888, 95.919748,93.875810
000541, 74.070240, 77.845771,76.423203
000551, 96.011654, 98.445026,97.749635
000561, 61.450168, 3.380001,13.412649
000571, 86.796123, 74.125453,79.836107
000581, 90.352102, 71.021497,80.513532
000591, 43.546098, 61.878448,54.848000
000601, 15.225542, 4.237680,7.095650
000611, 24.994307, 15.272193,18.633491
000621, 71.219883, 71.703435,71.515629
000631, 97.309620, 97.647442,97.521052
000641, 52.407665, 78.900944,69.902226
000651, 77.504178, 41.655265,56.863081
000661, 33.045297, 94.795763,81.704044
000671, 94.307196, 92.560844,93.293231
000681, 59.677648, 15.189317,28.965907
000691, 49.204452, 68.564302,61.386976
000701, 90.564172, 96.202823,94.552679
000711, 33.617570, 30.112137,31.453285
000721, 60.916799, 21.667796,35.170945
000731, 96.920589, 95.600371,96.169078
000741, 52.560995, 25.351216,34.994825
000751, 90.873144, 89.175500,89.867640
000761, 77.108281, 93.050255,88.663161
000771, 88.411421, 87.615610,87.931094
000781, 90.436163, 94.829035,93.407017
000791, 75.010337, 26.784515,45.373925
000801, 64.320050, 31.005217,43.569327
000811, 88.914846, 97.190795,95.139927
000821, 60.934592, 39.586466,47.880524
000831, 66.495249, 76.026632,72.542552
000841, 92.534317, 95.874104,94.789057
000851, 52.377277, 73.302411,65.781940
000861, 89.035674, 85.023189,86.713784
000871, 85.211810, 70.627438,77.168496
000881, 58.101444, 26.803524,38.087385
000891, 88.299828, 94.372257,92.473420
000901, 81.981636, 75.246831,78.056116
000911, 62.795946, 84.963002,77.919408
000921, 83.952015, 92.046108,89.466457
000931, 48.625162, 85.577151,74.373070
000941, 91.928077, 96.241703,94.917529
000951, 96.834475, 98.137290,97.707933
000961, 95.708640, 97.332116,96.786374
000971, 83.574878, 93.830295,90.848383
000981, 60.988087, 72.614844,68.337388
000991, 88.963736, 86.148193,87.310670
Avg. scores: 75.49872977730122, 71.53742361655048,73.40159354129854
