path, aesthetic score, technical score, overall/final score
000001, 99.252150, 99.775733,99.641202
000011, 95.146413, 96.572156,96.072374
000021, 95.597226, 67.574151,83.853278
000031, 98.823731, 99.550529,99.345629
000041, 96.984699, 99.225141,98.679921
000051, 97.798701, 98.566042,98.304775
000061, 31.667244, 79.246431,62.672607
000071, 82.939580, 96.914306,93.820663
000081, 95.053225, 96.743212,96.163916
000091, 98.017293, 98.841292,98.570817
000101, 99.606413, 99.176664,99.382178
000111, 23.734314, 66.072521,48.801927
000121, 98.842012, 99.703712,99.495439
000131, 86.328993, 97.323440,94.841035
000141, 97.813918, 99.209842,98.823474
000151, 96.163136, 97.787797,97.255504
000161, 95.590940, 99.034797,98.245466
000171, 96.675679, 99.210274,98.611881
000181, 99.498803, 99.239566,99.353483
000191, 97.439678, 99.204275,98.742500
000201, 99.599887, 99.624630,99.615177
000211, 78.860739, 96.562419,92.749755
000221, 23.443668, 2.271553,5.968006
000231, 83.261596, 98.282219,95.669434
000241, 87.501613, 97.392765,95.111265
000251, 97.688555, 99.757873,99.414083
000261, 97.690133, 99.373950,98.956323
000271, 86.842367, 89.577608,88.577295
000281, 94.074490, 99.073791,98.072116
000291, 96.601559, 98.844817,98.236275
000301, 93.775641, 99.536094,98.705165
000311, 26.855702, 89.903597,71.997012
000321, 67.593231, 97.485575,92.546631
000331, 88.224411, 99.372889,97.969922
000341, 92.064738, 94.650972,93.754561
000351, 95.596741, 98.682686,97.883029
000361, 98.657227, 71.691891,90.389566
000371, 84.893417, 89.786694,88.073485
000381, 96.618452, 99.714424,99.246281
000391, 96.790158, 99.738203,99.299811
000401, 95.367069, 99.701073,99.120400
000411, 97.063699, 99.673039,99.226532
000421, 95.174379, 99.216788,98.396864
000431, 35.133279, 86.757009,71.268016
000441, 48.125293, 41.760888,44.219800
000451, 96.346176, 99.125057,98.466280
000461, 96.512437, 50.642401,78.740274
000471, 78.886928, 98.443364,95.455931
000481, 90.790295, 93.359990,92.449300
000491, 92.283224, 99.238393,98.091036
000501, 2.397999, 7.148638,4.701764
000511, 77.783800, 98.602447,95.632419
000521, 90.719645, 99.188728,97.858317
000531, 94.232210, 98.793255,97.762566
000541, 95.376939, 98.510504,97.674857
000551, 94.455441, 98.911659,97.931167
000561, 0.990064, 1.203205,1.115248
000571, 76.746075, 97.654300,93.941917
000581, 5.392166, 0.103071,0.490042
000591, 82.124716, 99.012000,96.790314
000601, 29.676856, 11.591707,17.132639
000611, 52.590870, 83.224412,73.459038
000621, 97.392355, 99.387384,98.919434
000631, 97.459658, 99.030219,98.586274
000641, 69.182567, 85.014777,79.811676
000651, 87.715117, 80.901349,83.848892
000661, 92.767093, 90.414643,91.403169
000671, 95.908975, 98.410979,97.696791
000681, 77.340695, 94.775755,90.442219
000691, 96.100267, 99.002260,98.295528
000701, 98.907995, 99.605369,99.412841
000711, 64.722821, 94.496552,87.781738
000721, 87.107111, 98.665894,96.679093
000731, 90.342290, 90.195660,90.253022
000741, 97.299183, 97.818625,97.629010
000751, 97.289884, 99.436323,98.956928
000761, 61.209022, 97.004978,90.892299
000771, 96.476134, 99.001969,98.362598
000781, 93.404164, 98.852076,97.707588
000791, 95.927900, 98.854270,98.114310
000801, 69.301486, 87.687366,81.988086
000811, 93.411752, 98.503470,97.311212
000821, 98.870970, 98.377715,98.591067
000831, 89.779392, 86.616004,87.936783
000841, 48.839234, 97.114825,89.361990
000851, 93.797401, 98.705823,97.596363
000861, 94.036325, 97.301962,96.313668
000871, 80.521935, 75.834018,77.747123
000881, 49.440964, 6.281480,15.997227
000891, 86.877922, 93.056616,91.057440
000901, 78.622320, 97.456140,93.893037
000911, 67.494276, 87.699489,81.512262
000921, 65.747853, 86.996085,80.442495
000931, 88.045697, 99.250941,97.726191
000941, 98.760313, 99.519056,99.303919
000951, 66.353894, 98.524050,94.421607
000961, 38.245768, 67.204265,56.248548
000971, 91.172835, 97.863585,96.246152
000981, 91.950223, 96.203186,94.891881
000991, 93.781803, 98.887638,97.804038
Avg. scores: 81.79383627331994, 88.62111257241855,87.34022476145837
