path, aesthetic score, technical score, overall/final score
000001, 99.099633, 99.831963,99.676409
000011, 98.601779, 97.682570,98.095575
000021, 88.877756, 90.164734,89.679895
000031, 98.108487, 98.184501,98.155249
000041, 96.339750, 92.780790,94.442175
000051, 98.675116, 97.971407,98.281017
000061, 81.520611, 94.435777,90.942466
000071, 86.552145, 82.861793,84.387062
000081, 80.554839, 94.318846,90.625047
000091, 99.320366, 98.693340,98.986609
000101, 99.882879, 99.629023,99.763178
000111, 85.856647, 98.318083,96.029991
000121, 99.513602, 99.758122,99.682397
000131, 99.564601, 98.580453,99.102989
000141, 93.541912, 98.611740,97.451006
000151, 88.991682, 96.823614,94.784882
000161, 98.680242, 98.606648,98.635789
000171, 98.654977, 99.524668,99.286430
000181, 99.667083, 99.276383,99.465059
000191, 99.769755, 99.491440,99.626426
000201, 99.823178, 99.175604,99.546924
000211, 89.415218, 96.458981,94.524359
000221, 96.928770, 94.924434,95.821374
000231, 97.372153, 96.760712,97.013771
000241, 74.753341, 98.247856,94.688811
000251, 95.135499, 98.903236,98.028179
000261, 99.889116, 99.603849,99.758673
000271, 90.123191, 94.869470,93.352343
000281, 99.696509, 99.786799,99.755346
000291, 94.322665, 97.937990,96.927323
000301, 95.079978, 98.271816,97.392065
000311, 97.343022, 99.449651,98.980015
000321, 94.124074, 96.892860,96.008884
000331, 97.915287, 98.793655,98.506255
000341, 97.684816, 99.634158,99.246425
000351, 97.701636, 99.111939,98.711733
000361, 98.526029, 99.627522,99.362373
000371, 97.788168, 99.373785,98.973862
000381, 99.632441, 99.510458,99.562158
000391, 98.808239, 99.638237,99.423732
000401, 95.448076, 98.871287,98.046322
000411, 96.820906, 99.522436,98.995090
000421, 86.004971, 97.414857,94.895531
000431, 89.417600, 95.294169,93.508993
000441, 74.726660, 73.131322,73.760375
000451, 96.838078, 97.747626,97.428455
000461, 97.668896, 99.552310,99.145695
000471, 98.444965, 99.646628,99.369354
000481, 93.514061, 98.271592,97.085745
000491, 93.979903, 98.512212,97.416755
000501, 87.070666, 97.044155,94.655584
000511, 78.302187, 89.476236,85.893354
000521, 99.354852, 98.637030,98.980897
000531, 95.619467, 98.774492,97.977806
000541, 96.006902, 96.758131,96.483237
000551, 98.722792, 99.386344,99.183054
000561, 96.131553, 98.372617,97.714498
000571, 95.158862, 98.050383,97.212728
000581, 99.241424, 98.852703,99.023306
000591, 93.275152, 97.428247,96.242310
000601, 41.949985, 41.681333,41.785942
000611, 86.267096, 98.685892,96.617470
000621, 95.619204, 96.544482,96.208820
000631, 99.483941, 99.612679,99.566843
000641, 97.366677, 96.478767,96.854646
000651, 96.118691, 97.988813,97.397883
000661, 94.009190, 98.966110,97.930481
000671, 95.353774, 94.190315,94.672988
000681, 96.806486, 98.442685,97.937048
000691, 94.092087, 93.910517,93.981869
000701, 99.649668, 99.734398,99.704136
000711, 89.580533, 95.231527,93.498553
000721, 90.531181, 98.624606,97.033229
000731, 91.794607, 99.409453,98.320395
000741, 91.572769, 94.451025,93.460112
000751, 99.663560, 99.371484,99.507199
000761, 77.224952, 95.539807,91.263200
000771, 98.885267, 99.545683,99.355054
000781, 90.403175, 95.100954,93.608772
000791, 96.735259, 98.970438,98.381211
000801, 41.913611, 61.075126,53.689111
000811, 95.837911, 94.840697,95.253581
000821, 90.051561, 88.708515,89.249635
000831, 96.684961, 98.957325,98.358819
000841, 91.571775, 99.054420,97.743998
000851, 88.520902, 97.877707,95.829033
000861, 96.921780, 95.763397,96.257401
000871, 94.608352, 98.823864,97.856179
000881, 91.406903, 95.394182,94.109361
000891, 96.699301, 99.295867,98.708883
000901, 95.256800, 98.535589,97.674940
000911, 85.873328, 39.705304,61.020003
000921, 97.214466, 98.516953,98.102292
000931, 97.493724, 96.401466,96.872961
000941, 98.982222, 99.718879,99.535441
000951, 99.014285, 99.591002,99.423484
000961, 97.549459, 99.023111,98.599977
000971, 96.612140, 34.374996,71.313435
000981, 97.892885, 97.104854,97.441140
000991, 92.136622, 93.348029,92.898169
Avg. scores: 93.3093625517068, 95.11855932065924,95.02727034642723
