path, aesthetic score, technical score, overall/final score
000000, 32.652746, 33.241434,33.011445
000001, 50.921546, 9.611274,20.527348
000002, 30.258775, 33.543663,32.242562
000003, 6.011623, 0.106973,0.524150
000004, 30.771483, 0.964648,4.137012
000005, 21.931224, 22.091223,22.028788
000006, 2.370071, 1.338444,1.673345
000007, 4.504093, 46.717301,21.923295
000008, 5.553783, 2.603966,3.507141
000009, 11.167091, 11.107649,11.130775
000010, 10.494051, 15.054642,13.109692
000011, 6.026807, 0.749255,1.707759
000012, 39.158188, 68.292114,57.361907
000013, 24.631655, 0.294404,1.814041
000014, 3.879787, 0.780844,1.466155
000015, 16.395915, 80.885290,56.115853
000016, 5.272812, 5.750059,5.559482
000017, 5.012844, 73.468448,37.182493
000018, 4.242657, 5.875849,5.179173
000019, 5.448932, 2.139087,3.090420
000020, 33.690934, 79.433389,63.668519
000021, 4.865607, 0.160004,0.613903
000022, 5.310341, 0.331752,0.990382
000023, 44.017436, 3.513876,10.757630
000024, 20.408974, 37.246151,29.971714
000025, 30.599185, 62.819090,50.026982
000026, 55.566306, 75.050246,68.120959
000027, 9.827821, 8.227954,8.820959
000028, 59.446087, 81.829002,74.412702
000029, 1.613090, 10.400534,5.136621
000030, 18.275924, 12.401946,14.469833
000031, 5.622681, 0.531486,1.348731
000032, 52.750997, 79.069937,70.145283
000033, 6.157397, 32.984851,18.332943
000034, 75.909866, 30.552990,48.649350
000035, 9.966807, 12.690227,11.560612
000036, 13.865367, 14.651734,14.341062
000037, 17.106423, 29.625088,24.177795
000038, 52.670053, 13.469221,25.091259
000039, 3.760099, 3.295924,3.469792
000040, 31.431081, 53.177698,44.368668
000041, 8.549498, 72.411559,41.719333
000042, 3.175170, 3.336912,3.272973
000043, 7.774710, 2.976993,4.351019
000044, 14.116183, 2.771065,5.339353
000045, 30.477962, 30.044406,30.212901
000046, 2.031738, 1.070838,1.375313
000047, 27.848719, 14.163932,18.684033
000048, 65.590880, 10.317436,25.566614
000049, 3.765634, 23.107252,11.957030
000050, 6.988681, 27.219457,16.675659
