path, aesthetic score, technical score, overall/final score
000000, 93.951735, 62.458838,79.889667
000001, 95.286721, 84.038474,89.891861
000002, 78.804448, 92.846889,88.857985
000003, 95.092462, 56.835631,78.963969
000004, 80.201130, 76.413090,77.945934
000005, 80.637852, 41.644148,58.658699
000006, 63.117973, 52.375203,56.644502
000007, 7.351995, 0.188113,0.802742
000008, 71.134989, 30.897188,46.507446
000009, 93.308416, 23.691449,57.753249
000010, 85.789143, 29.460771,54.177997
000011, 35.025262, 60.568044,50.530804
000012, 80.971418, 74.159413,76.989663
000013, 57.373316, 17.909109,30.712495
000014, 6.532074, 0.004254,0.076082
000015, 61.632641, 23.442813,36.871623
000016, 8.434545, 38.693072,22.969892
000017, 92.238353, 81.438210,86.610535
000018, 18.813691, 18.722673,18.758093
000019, 75.411099, 94.822896,90.127825
000020, 11.026818, 49.339576,30.372702
000021, 94.395388, 83.817192,89.130204
000022, 95.933754, 80.680450,89.129077
000023, 94.952409, 94.823119,94.873858
000024, 78.567366, 57.109566,66.393465
000025, 94.196384, 42.929932,71.340704
000026, 92.386979, 84.690021,88.252645
000027, 61.415118, 81.810380,75.004515
000028, 85.023013, 91.324696,89.219395
000029, 72.105265, 7.463426,23.744517
000030, 95.748776, 83.080137,89.887235
000031, 69.144590, 17.150177,34.365926
000032, 85.385466, 39.449498,60.496023
000033, 4.500248, 9.445017,7.109329
000034, 7.389805, 16.471708,12.174221
000035, 49.956941, 90.239748,79.526375
000036, 57.717223, 87.755075,78.974335
000037, 20.978367, 2.020393,5.285265
000038, 11.443100, 14.192845,13.061247
000039, 99.058501, 69.042004,90.917201
000040, 83.446218, 51.423669,66.037861
000041, 52.069672, 29.468621,37.743652
000042, 92.555054, 84.294660,88.158880
000043, 1.272317, 0.661754,0.854093
000044, 95.417714, 18.312585,56.712073
000045, 94.526013, 52.776997,76.455055
000046, 38.737978, 33.244061,35.340168
000047, 87.771327, 15.870917,43.777883
000048, 36.101067, 26.264739,29.889997
000049, 74.852613, 75.880337,75.483370
000050, 88.542958, 69.982870,78.807808
000051, 62.113879, 92.291236,84.657488
000052, 73.678793, 55.239473,62.934998
000053, 68.089201, 11.554204,27.946759
000054, 76.528990, 56.804981,65.195811
000055, 69.479692, 29.007189,44.378174
000056, 83.587661, 51.331242,66.076979
000057, 32.922400, 74.432591,59.266210
000058, 49.939122, 3.641067,11.915054
000059, 96.609864, 88.057039,92.584638
000060, 45.698627, 1.330617,6.322984
000061, 27.288611, 30.439689,29.187763
000062, 87.693495, 91.082902,89.875912
000063, 71.128562, 8.708488,25.293572
000064, 14.891507, 12.919346,13.659832
000065, 76.369909, 48.079573,60.111545
000066, 96.856472, 88.236203,92.860489
