path, aesthetic score, technical score, overall/final score
000000, 96.506700, 91.999509,94.179185
000001, 95.403207, 89.441237,92.313728
000002, 27.239249, 60.097171,46.684357
000003, 73.600994, 34.955321,50.510201
000004, 91.656583, 38.714680,65.776186
000005, 85.060251, 39.886384,60.521866
000006, 76.948312, 3.199573,16.636398
000007, 91.395667, 86.992831,88.899899
000008, 95.884696, 77.508788,87.887902
000009, 41.338788, 10.962461,19.546492
000010, 80.294997, 37.909074,56.122781
000011, 85.293593, 78.887903,81.599770
000012, 82.834823, 67.439861,74.224661
000013, 81.423677, 4.024690,20.420318
000014, 54.495294, 30.251430,39.182308
000015, 0.536265, 0.293130,0.370966
000016, 50.934674, 40.404257,44.456293
000017, 85.397069, 94.634664,91.982385
000018, 4.595493, 64.580568,30.681805
000019, 47.353844, 33.948166,38.994069
000020, 48.189549, 6.803855,16.440988
000021, 55.998621, 49.686586,52.155726
000022, 90.086555, 36.471674,62.739527
000023, 66.935148, 88.679568,82.218569
000024, 77.529683, 16.280265,37.354543
000025, 34.301964, 40.262845,37.895029
000026, 94.846570, 32.781970,66.739859
000027, 88.451894, 33.286757,59.117487
000028, 81.270111, 73.391372,76.693658
000029, 62.911161, 81.802970,75.460633
000030, 69.609686, 83.929140,79.114856
000031, 82.610697, 73.813456,77.550519
000032, 81.874480, 86.115644,84.571763
000033, 27.401282, 8.432073,13.759183
000034, 23.206347, 5.438542,9.891169
000035, 71.358798, 59.852339,64.551869
000036, 76.870288, 33.822513,51.454622
000037, 94.401159, 16.690268,52.977805
000038, 11.938700, 23.257623,18.135030
000039, 57.865096, 65.297979,62.468182
000040, 87.885293, 94.271110,92.283858
000041, 80.974435, 91.738057,88.428809
000042, 66.196456, 81.815364,76.491334
000043, 0.064481, 8.703136,1.343095
000044, 98.843106, 89.140240,95.337371
000045, 99.680089, 94.118714,98.072463
000046, 74.142641, 24.044328,42.758524
000047, 98.672351, 29.971719,76.143042
000048, 90.838169, 39.112289,65.103588
000049, 50.686656, 62.286527,57.858226
000050, 78.495284, 37.933181,55.079639
000051, 14.961358, 2.434788,5.070176
000052, 78.016439, 63.516396,69.675740
000053, 99.425658, 90.666633,96.757228
000054, 3.885472, 6.943304,5.550363
000055, 64.557356, 27.375252,41.049302
000056, 69.942287, 76.705406,74.201765
000057, 77.196778, 61.634168,68.232118
000058, 60.590889, 16.794777,30.806049
000059, 94.032437, 88.661677,91.130040
000060, 89.533681, 91.536668,90.801357
000061, 5.528726, 4.928631,5.154710
000062, 99.217728, 97.209819,98.294600
000063, 39.639155, 49.976447,45.898960
000064, 95.761400, 68.584166,84.438151
000065, 44.893534, 53.343200,50.047299
000066, 7.849270, 0.440840,1.381827
000067, 2.723972, 0.584206,1.068142
000068, 97.920940, 91.625856,95.079279
000069, 99.523017, 95.213636,98.027669
000070, 55.614905, 63.175439,60.284585
000071, 65.172474, 67.973825,66.896396
000072, 86.381991, 77.780728,81.525619
000073, 97.474840, 95.148686,96.231170
000074, 3.169857, 0.208139,0.606026
000075, 86.304165, 96.672225,94.123362
000076, 88.057144, 90.552325,89.641070
000077, 99.191888, 80.870266,94.013736
000078, 77.593537, 80.351567,79.308652
000079, 12.115962, 2.410256,4.604028
000080, 66.142676, 9.035015,24.071956
000081, 72.004844, 5.941488,21.117739
000082, 66.690575, 63.243119,64.604733
000083, 98.604455, 96.785588,97.673292
000084, 94.558712, 92.084113,93.151555
000085, 78.948720, 64.251546,70.534140
000086, 95.593298, 81.115993,88.977917
