path, aesthetic score, technical score, overall/final score
000000, 97.512267, 98.191320,97.951616
000001, 96.051510, 99.327798,98.651707
000002, 92.750109, 96.629492,95.441209
000003, 97.697767, 99.430640,99.016120
000004, 91.252847, 95.984022,94.536644
000005, 98.192813, 99.181472,98.884583
000006, 97.081718, 98.719181,98.231906
000007, 76.129794, 52.264391,62.414673
000008, 91.908239, 99.504269,98.497646
000009, 70.261661, 82.328745,78.146869
000010, 94.623486, 92.873703,93.610528
000011, 95.702483, 96.489308,96.200783
000012, 84.381218, 80.520143,82.104441
000013, 97.716356, 97.823003,97.782045
000014, 18.794714, 7.594777,10.954835
000015, 83.576833, 98.231347,95.630946
000016, 88.895498, 98.954572,97.308727
000017, 83.287408, 93.306465,90.326143
000018, 65.188671, 83.639383,77.562741
000019, 79.623894, 59.643944,68.340391
000020, 87.431710, 92.941365,91.126168
000021, 70.846763, 19.355465,37.165095
000022, 9.097543, 3.601857,5.199648
000023, 76.640137, 58.499306,66.204876
000024, 95.415665, 98.826628,97.994206
000025, 91.161707, 97.372249,95.747325
000026, 85.935334, 97.047450,94.464223
000027, 87.571641, 86.223246,86.762631
000028, 94.970785, 92.391323,93.515886
000029, 87.768797, 83.864856,85.493659
000030, 95.539793, 96.315122,96.029799
000031, 97.031983, 98.331701,97.910059
000032, 89.942435, 80.971095,85.036843
000033, 65.528382, 91.710705,84.780152
000034, 50.348688, 51.607065,51.116955
000035, 86.283908, 91.764837,89.917262
000036, 98.693126, 93.977707,96.649256
000037, 86.186179, 89.779804,88.490181
000038, 95.271295, 93.111159,94.044282
000039, 91.724018, 93.469878,92.834623
000040, 56.330115, 6.930071,18.447446
000041, 83.048869, 90.187247,87.794410
000042, 89.766149, 90.433337,90.178154
000043, 41.030240, 4.499228,11.855084
000044, 92.467109, 99.016302,97.794568
000045, 94.388713, 98.194720,97.177741
000046, 62.053608, 73.775364,69.486580
000047, 74.845388, 76.174598,75.662539
000048, 92.231335, 75.084886,83.716837
000049, 76.613742, 88.912535,84.980393
000050, 91.539848, 93.989310,93.125809
000051, 88.047739, 74.560320,80.758241
000052, 93.457107, 97.190001,96.079425
000053, 78.377263, 72.394825,74.842471
000054, 82.975699, 94.771622,91.572600
000055, 90.026496, 97.067364,95.226979
000056, 80.887526, 80.670297,80.755152
000057, 88.106567, 97.513278,95.345929
000058, 95.068211, 96.985580,96.344078
000059, 95.450260, 81.457942,88.984717
000060, 97.503107, 95.932234,96.633393
000061, 98.095250, 78.408638,91.075102
000062, 99.028505, 99.320567,99.218907
000063, 90.857552, 96.824239,95.169062
000064, 78.281194, 61.183859,68.509322
000065, 29.355150, 5.334528,10.931600
000066, 93.466436, 97.183782,96.076434
000067, 97.147443, 96.619572,96.835598
000068, 95.859394, 96.578363,96.313811
000069, 98.387081, 90.142702,95.038239
000070, 26.416884, 13.009130,17.379541
000071, 89.552582, 94.054546,92.570487
000072, 94.243823, 97.795066,96.782666
000073, 94.467123, 98.322948,97.315803
000074, 63.859752, 17.346666,32.493197
000075, 92.897518, 97.415180,96.146988
000076, 98.826623, 98.663939,98.729811
000077, 93.157047, 52.457328,74.598617
000078, 59.537783, 93.722169,85.821960
000079, 81.339620, 98.941149,96.588060
000080, 8.642586, 1.275027,2.729007
000081, 91.047636, 98.760694,97.277680
000082, 94.636014, 98.558707,97.580907
000083, 95.789391, 87.802808,91.850335
000084, 98.174228, 90.274899,94.846175
000085, 81.821431, 97.189939,93.985698
000086, 96.918857, 98.040116,97.660932
000087, 94.111785, 97.419402,96.429661
000088, 86.885741, 94.580336,92.287595
000089, 92.732669, 97.081037,95.815696
000090, 76.369799, 75.473996,75.825707
000091, 92.979593, 97.351312,96.108174
000092, 85.311300, 93.720915,91.176398
000093, 96.616812, 74.209718,87.556041
000094, 81.765725, 96.757509,93.446887
000095, 98.136016, 73.718139,89.787026
000096, 79.395834, 94.519048,90.582400
000097, 90.194859, 88.669490,89.286973
000098, 86.459934, 65.416913,75.239153
000099, 77.724348, 80.269033,79.304574
000100, 96.554482, 83.841807,90.917278
000101, 86.007543, 78.676438,81.822642
000102, 95.297697, 99.006044,98.167307
000103, 95.394350, 95.248710,95.305965
000104, 88.331621, 81.408748,84.423310
000105, 89.387486, 93.342536,91.997452
000106, 65.421471, 74.491312,71.147512
000107, 31.419842, 34.070932,33.025014
000108, 93.846138, 92.166221,92.865578
000109, 95.858661, 97.292680,96.802725
000110, 95.278378, 52.308741,77.329697
000111, 80.584263, 95.328686,91.647477
000112, 96.998131, 96.656097,96.793612
000113, 97.714214, 97.412665,97.534497
000114, 90.810344, 94.157045,93.016329
000115, 52.493889, 86.829056,76.675315
000116, 93.831373, 95.115516,94.648510
000117, 91.413162, 95.357044,94.082532
000118, 97.747734, 99.223250,98.821897
000119, 96.355843, 98.696578,98.049039
000120, 85.487795, 25.799116,51.151342
000121, 97.120514, 97.706876,97.493751
000122, 94.589972, 93.069193,93.703810
000123, 91.423521, 87.491327,89.180188
000124, 94.078791, 92.762583,93.304734
000125, 80.161493, 89.197013,86.207286
000126, 88.493504, 82.863602,85.280539
000127, 91.570086, 96.814626,95.317427
000128, 94.944601, 52.853210,77.071855
000129, 96.746570, 99.168919,98.580426
000130, 71.889291, 80.425945,77.353859
000131, 98.533408, 97.072620,97.760897
000132, 97.396318, 98.223564,97.937460
000133, 97.574990, 96.508570,96.969303
000134, 89.175545, 73.926761,81.118460
000135, 93.236208, 85.716930,89.244455
000136, 95.607343, 96.840321,96.405788
000137, 96.873222, 86.650415,92.268092
000138, 96.267536, 90.852511,93.508477
000139, 80.162224, 96.596155,92.997055
000140, 58.536055, 86.869272,78.375105
000141, 93.836722, 88.339915,90.862270
000142, 94.577184, 95.871923,95.407006
000143, 77.064297, 63.901020,69.439668
000144, 94.112284, 95.021488,94.684261
000145, 96.234350, 98.832042,98.150701
000146, 95.643815, 95.901607,95.802955
000147, 81.426328, 86.447239,84.642697
000148, 97.422072, 97.002024,97.173032
000149, 94.319089, 94.984678,94.734632
000150, 89.755800, 83.381732,86.177494
000151, 63.055588, 43.236980,51.053268
000152, 87.077190, 86.200006,86.547557
000153, 88.070882, 79.607365,83.343865
000154, 66.783601, 93.599374,87.097174
000155, 95.530174, 97.833489,97.121536
000156, 96.445444, 87.406668,92.190835
000157, 94.368890, 96.211178,95.574735
000158, 81.457936, 75.366568,77.889024
000159, 80.482644, 75.736040,77.673781
000160, 96.026646, 92.736457,94.243249
000161, 96.091405, 97.599353,97.094727
000162, 96.918251, 81.961923,90.614857
000163, 89.949143, 88.454228,89.058375
000164, 37.308850, 92.588669,79.235132
000165, 96.022433, 89.801018,92.879071
000166, 93.945205, 98.868809,97.805521
000167, 98.592332, 97.431011,97.966014
000168, 93.210267, 75.771870,84.768032
000169, 95.911111, 97.459039,96.938902
000170, 90.550640, 98.797071,97.265014
000171, 99.203900, 98.914796,99.038077
000172, 98.036555, 96.201284,97.058127
000173, 66.211595, 73.673063,70.893712
000174, 94.254394, 98.127168,97.086901
000175, 90.458569, 50.297049,70.755940
000176, 42.631145, 33.947298,37.238759
000177, 93.918488, 98.414660,97.304792
000178, 97.749730, 99.030209,98.652155
000179, 97.706066, 98.449364,98.193158
000180, 33.992905, 30.636264,31.922207
000181, 96.010080, 98.545505,97.838582
000182, 96.200040, 97.777457,97.258182
000183, 82.854176, 92.206791,89.301477
000184, 65.522327, 94.293870,87.677623
000185, 70.431909, 83.862000,79.316177
000186, 80.721273, 98.373101,95.529026
000187, 94.383531, 98.751147,97.740116
000188, 51.474171, 91.067081,80.849171
000189, 89.318272, 93.217115,91.885966
000190, 89.467132, 97.374904,95.431176
000191, 89.786080, 75.273662,82.147895
000192, 71.209605, 96.379681,91.340887
000193, 85.997524, 87.424341,86.883862
000194, 79.924352, 59.249920,68.281476
000195, 88.555724, 87.978633,88.206398
000196, 97.700572, 99.220874,98.810033
000197, 56.722883, 73.806573,67.650257
000198, 90.623102, 88.065971,89.127138
000199, 89.685366, 94.134729,92.668708
000200, 96.706288, 99.443157,98.881215
000201, 82.965271, 93.787147,90.667335
000202, 96.542456, 98.966573,98.340189
000203, 89.806577, 98.116975,96.305995
000204, 83.551779, 91.801923,89.165521
000205, 37.389502, 40.398709,39.216339
000206, 35.456054, 69.951267,57.013059
000207, 91.384941, 65.785493,78.903460
000208, 75.315979, 69.476237,71.842334
000209, 65.069702, 91.047276,83.998904
000210, 86.478766, 97.535085,95.110926
000211, 66.498715, 87.973470,81.483777
000212, 98.368049, 98.335693,98.348373
000213, 77.644268, 95.726928,91.551469
000214, 93.809794, 95.646594,95.002683
000215, 96.246412, 71.708720,86.195793
000216, 88.877644, 87.838147,88.252741
000217, 95.314316, 98.707609,97.854749
000218, 95.179909, 95.955859,95.668900
000219, 96.806620, 97.838947,97.482636
000220, 76.252360, 92.181268,87.658638
000221, 79.816793, 91.194424,87.680657
000222, 65.191839, 34.991600,46.664467
000223, 93.351756, 98.310765,97.096844
000224, 86.215147, 97.080312,94.547991
000225, 96.826502, 97.958865,97.574480
000226, 98.355613, 94.721435,96.631182
000227, 65.701016, 82.120452,76.563258
000228, 92.810907, 96.643205,95.467726
000229, 89.563078, 81.739461,85.224842
000230, 89.419152, 96.433361,94.501537
000231, 93.005389, 95.526578,94.668175
000232, 86.275693, 92.510327,90.470686
000233, 89.570902, 96.986320,95.058180
000234, 85.035063, 96.875900,94.120811
000235, 89.729445, 97.741049,95.867556
000236, 79.478148, 95.688309,91.831067
000237, 89.562421, 82.749908,85.748602
000238, 98.196478, 95.924233,97.026569
000239, 86.635282, 50.052295,67.468981
000240, 91.068221, 98.229163,96.629829
000241, 94.004958, 99.565251,98.774066
000242, 97.304258, 97.157421,97.215530
000243, 97.555075, 98.673749,98.315509
000244, 96.544327, 95.969574,96.203651
000245, 69.320862, 38.517056,50.803148
000246, 97.773315, 98.202009,98.045579
000247, 93.372320, 93.300937,93.328832
000248, 93.187307, 94.939892,94.314576
000249, 89.923497, 89.783209,89.838070
000250, 95.197155, 77.084286,87.035446
000251, 96.384781, 97.590497,97.176202
000252, 67.256882, 87.377484,81.174963
000253, 84.870651, 70.144932,76.732560
000254, 87.918098, 73.261712,80.035035
000255, 94.575336, 96.030988,95.514708
000256, 86.604853, 97.335828,94.899890
000257, 95.786498, 96.388385,96.164415
000258, 89.488123, 90.452857,90.086786
000259, 97.303211, 97.488895,97.418081
000260, 96.763982, 94.667853,95.604855
000261, 91.089325, 98.670980,97.166371
000262, 98.888010, 98.371127,98.595889
000263, 90.839416, 85.159656,87.656450
000264, 95.868232, 98.214534,97.518478
000265, 77.666628, 86.343834,83.358379
000266, 93.440560, 96.475535,95.500208
000267, 87.834488, 98.428714,96.428005
000268, 70.738383, 96.247498,91.087350
000269, 63.348417, 93.782278,86.640633
000270, 69.315660, 61.014488,64.357239
000271, 97.459447, 98.113986,97.881374
000272, 51.572624, 39.981629,44.436944
000273, 88.417536, 90.072466,89.454294
000274, 87.920109, 94.595257,92.556501
000275, 96.054713, 96.606805,96.401180
000276, 79.971700, 58.389248,67.834985
000277, 97.493477, 97.466172,97.476845
000278, 77.764133, 62.679903,69.088644
000279, 93.245552, 97.178431,96.019238
000280, 87.229613, 98.715156,96.766378
000281, 90.344841, 97.520581,95.741005
000282, 96.310056, 97.893339,97.376430
000283, 96.731855, 98.416085,97.896655
000284, 93.943541, 96.571639,95.712948
000285, 97.418926, 92.744197,95.119523
000286, 96.381818, 98.822141,98.170466
000287, 98.534742, 94.974423,96.873800
000288, 68.992274, 95.118436,89.323929
000289, 99.097456, 85.616506,94.879814
000290, 71.129264, 94.533280,89.003489
000291, 78.792721, 71.950158,74.769035
000292, 86.161709, 93.884231,91.525955
000293, 92.842848, 98.178154,96.869249
000294, 28.318512, 7.951444,13.509109
000295, 54.782528, 88.400203,78.825062
000296, 98.933558, 98.409158,98.638340
000297, 77.289156, 20.139058,41.005082
000298, 90.040712, 88.317048,89.017432
000299, 92.214420, 96.813183,95.464372
000300, 93.197560, 84.395266,88.595484
000301, 79.707886, 94.930451,91.063658
000302, 67.912539, 46.620788,55.217732
000303, 54.447392, 51.568465,52.692393
000304, 75.352541, 97.062588,92.893561
