2025-03-27 15:40:56 Vid: 000968.mp4,  Current sd_score: 0.769381582736969, Current avg. sd_score: 0.769381582736969,  
2025-03-27 15:40:58 Vid: 000419.mp4,  Current sd_score: 0.6757794618606567, Current avg. sd_score: 0.7225805222988129,  
2025-03-27 15:41:00 Vid: 000256.mp4,  Current sd_score: 0.6766475439071655, Current avg. sd_score: 0.707269529501597,  
2025-03-27 15:41:02 Vid: 000117.mp4,  Current sd_score: 0.6424953937530518, Current avg. sd_score: 0.6910759955644608,  
2025-03-27 15:41:04 Vid: 000446.mp4,  Current sd_score: 0.7468018531799316, Current avg. sd_score: 0.7022211670875549,  
2025-03-27 15:41:06 Vid: 000572.mp4,  Current sd_score: 0.718125581741333, Current avg. sd_score: 0.7048719028631846,  
2025-03-27 15:41:08 Vid: 000241.mp4,  Current sd_score: 0.6232576966285706, Current avg. sd_score: 0.693212730543954,  
2025-03-27 15:41:10 Vid: 000935.mp4,  Current sd_score: 0.714170515537262, Current avg. sd_score: 0.6958324536681175,  
2025-03-27 15:41:13 Vid: 000886.mp4,  Current sd_score: 0.6119325757026672, Current avg. sd_score: 0.6865102450052897,  
2025-03-27 15:41:15 Vid: 000711.mp4,  Current sd_score: 0.6534883975982666, Current avg. sd_score: 0.6832080602645874,  
2025-03-27 15:41:17 Vid: 000447.mp4,  Current sd_score: 0.6603041291236877, Current avg. sd_score: 0.6811258847063238,  
2025-03-27 15:41:19 Vid: 000418.mp4,  Current sd_score: 0.6959372758865356, Current avg. sd_score: 0.6823601673046747,  
2025-03-27 15:41:20 Vid: 000482.mp4,  Current sd_score: 0.6009498238563538, Current avg. sd_score: 0.6760978331932654,  
2025-03-27 15:41:23 Vid: 000009.mp4,  Current sd_score: 0.7116351127624512, Current avg. sd_score: 0.6786362103053502,  
2025-03-27 15:41:25 Vid: 000568.mp4,  Current sd_score: 0.8116363883018494, Current avg. sd_score: 0.6875028888384501,  
2025-03-27 15:41:26 Vid: 000245.mp4,  Current sd_score: 0.6528985500335693, Current avg. sd_score: 0.6853401176631451,  
2025-03-27 15:41:28 Vid: 000628.mp4,  Current sd_score: 0.7093727588653564, Current avg. sd_score: 0.6867538024397457,  
2025-03-27 15:41:30 Vid: 000153.mp4,  Current sd_score: 0.6947910189628601, Current avg. sd_score: 0.6872003144688077,  
2025-03-27 15:41:32 Vid: 000992.mp4,  Current sd_score: 0.6830171942710876, Current avg. sd_score: 0.6869801502478751,  
2025-03-27 15:41:34 Vid: 000036.mp4,  Current sd_score: 0.6685947179794312, Current avg. sd_score: 0.6860608786344529,  
2025-03-27 15:41:36 Vid: 000518.mp4,  Current sd_score: 0.6149529218673706, Current avg. sd_score: 0.682674785455068,  
2025-03-27 15:41:38 Vid: 000993.mp4,  Current sd_score: 0.802870512008667, Current avg. sd_score: 0.6881382275711406,  
2025-03-27 15:41:40 Vid: 000503.mp4,  Current sd_score: 0.7115546464920044, Current avg. sd_score: 0.6891563327416129,  
2025-03-27 15:41:42 Vid: 000475.mp4,  Current sd_score: 0.6508619785308838, Current avg. sd_score: 0.6875607346494993,  
2025-03-27 15:41:44 Vid: 000964.mp4,  Current sd_score: 0.7105411291122437, Current avg. sd_score: 0.688479950428009,  
2025-03-27 15:41:46 Vid: 000609.mp4,  Current sd_score: 0.7089405059814453, Current avg. sd_score: 0.6892668948723719,  
2025-03-27 15:41:48 Vid: 000303.mp4,  Current sd_score: 0.7419846057891846, Current avg. sd_score: 0.6912194026841058,  
2025-03-27 15:41:51 Vid: 000680.mp4,  Current sd_score: 0.5890429019927979, Current avg. sd_score: 0.6875702419451305,  
2025-03-27 15:41:53 Vid: 000030.mp4,  Current sd_score: 0.7043666839599609, Current avg. sd_score: 0.6881494296008143,  
