path, aesthetic score, technical score, overall/final score
000000, 64.595484, 77.954569,73.208295
000001, 63.308631, 65.558768,64.689738
000002, 57.207625, 72.445825,66.889156
000003, 13.851343, 0.268919,1.308540
000004, 75.329245, 4.892547,20.159657
000005, 61.315878, 86.177114,78.525104
000006, 45.094208, 72.549617,62.633914
000007, 2.423624, 3.409393,2.986169
000008, 39.377732, 52.501475,47.328286
000009, 14.787964, 37.811024,27.169519
000010, 10.097821, 29.305900,19.951565
000011, 53.533015, 75.626691,67.837608
000012, 51.335414, 80.029677,70.435913
000013, 6.903649, 16.580344,11.922602
000014, 0.493485, 0.452299,0.467922
000015, 1.770362, 41.900497,14.626549
000016, 23.458995, 42.790564,34.570077
000017, 34.445591, 72.343027,58.327138
000018, 7.652085, 14.176492,11.209839
000019, 19.855295, 72.656963,51.322260
000020, 26.997658, 1.013376,3.976392
000021, 34.728859, 9.699229,16.690921
000022, 25.603956, 10.950110,15.513589
000023, 66.412976, 53.751290,58.840479
000024, 8.223445, 8.563905,8.429769
000025, 18.989800, 62.686333,43.818865
000026, 87.451706, 75.142334,80.715743
000027, 5.613803, 30.171376,16.634809
000028, 5.706452, 5.591615,5.636095
000029, 0.842751, 7.244538,3.186450
000030, 72.524635, 16.075613,34.737566
000031, 51.353722, 49.678399,50.331226
000032, 48.915886, 54.582378,52.380716
000033, 9.812940, 1.923668,3.682708
000034, 7.769779, 17.044466,12.676899
000035, 38.285536, 12.720154,20.398008
000036, 20.626821, 0.981285,3.417392
000037, 17.652057, 2.841092,5.974569
000038, 2.172857, 11.392374,6.091843
000039, 15.352927, 4.718154,7.588423
000040, 41.314597, 35.732464,37.870660
000041, 17.482817, 85.836619,62.133854
000042, 60.458914, 82.155914,74.978795
000043, 19.269578, 2.062479,5.143960
000044, 46.028507, 75.396210,65.056826
000045, 58.986246, 85.747033,77.502454
000046, 9.005834, 36.086185,22.269410
000047, 73.395081, 59.586098,65.301933
000048, 43.763163, 16.671950,25.353015
000049, 12.157156, 18.811657,15.935031
000050, 8.984926, 60.234182,34.329337
000051, 6.099168, 19.605275,12.713114
000052, 10.425695, 69.059951,41.390505
000053, 32.791557, 84.481566,68.021019
000054, 3.853703, 4.460874,4.214171
000055, 38.848039, 11.874447,19.777914
000056, 8.485705, 4.041716,5.417703
000057, 16.558768, 40.669469,29.721673
000058, 36.138276, 46.279115,42.242094
000059, 61.474764, 53.385688,56.582985
000060, 49.639922, 58.925232,55.346155
000061, 26.475243, 18.607565,21.438085
000062, 27.789562, 51.201056,41.515187
000063, 3.253512, 31.061573,14.084374
000064, 0.965046, 45.524204,12.855091
000065, 58.842618, 56.594254,57.473982
000066, 16.872188, 47.436115,33.537919
000067, 2.085890, 22.932237,9.626593
000068, 49.775656, 89.325792,78.470085
000069, 29.016084, 41.715481,36.523954
000070, 0.184809, 28.586029,4.697017
000071, 10.423505, 1.264454,2.936791
000072, 13.532003, 2.606683,5.056247
000073, 65.095046, 91.755708,84.730671
000074, 18.020088, 42.703364,31.654947
000075, 55.287099, 46.905397,50.176219
000076, 8.435746, 36.160403,21.823486
000077, 12.957217, 1.572857,3.672215
000078, 48.743838, 13.628694,24.109778
000079, 1.110651, 22.252129,7.498190
000080, 74.588692, 9.965203,28.413740
000081, 24.936521, 54.685618,42.199264
000082, 1.331143, 1.470793,1.414747
