path, aesthetic score, technical score, overall/final score
000000, 93.101987, 76.887936,85.165193
000001, 90.042918, 59.052898,74.675877
000002, 56.750247, 1.743038,8.664826
000003, 75.348677, 7.564695,25.113970
000004, 95.256529, 26.219843,63.116555
000005, 95.637794, 21.526644,60.190104
000006, 62.242601, 5.273043,17.245472
000007, 53.417623, 23.096191,33.606063
000008, 94.255160, 35.675677,67.484336
000009, 94.515559, 46.533251,73.581950
000010, 78.201811, 42.905199,58.012759
000011, 59.465538, 6.581990,18.695405
000012, 84.760915, 3.039371,19.076269
000013, 95.169922, 20.610866,58.374580
000014, 61.266639, 2.224454,10.615826
000015, 1.448463, 5.104584,3.142814
000016, 42.213746, 3.483617,10.434371
000017, 96.657163, 80.567705,89.833303
000018, 36.162585, 1.242966,5.254973
000019, 88.432557, 14.099405,42.297705
000020, 80.686582, 1.200074,10.571663
000021, 83.261922, 0.827562,9.142009
000022, 76.379506, 5.260807,21.293292
000023, 83.448665, 41.317513,60.255428
000024, 92.982412, 64.067669,79.571396
000025, 91.595285, 85.388374,88.165419
000026, 96.903302, 5.231523,39.493208
000027, 87.305448, 6.231877,28.830262
000028, 89.110757, 16.050367,45.241499
000029, 80.346608, 86.922205,84.615448
000030, 94.327863, 30.160340,64.169086
000031, 71.318376, 10.690338,28.072812
000032, 92.316880, 4.708942,29.585033
000033, 63.902794, 3.933911,15.084942
000034, 7.971249, 4.541052,5.667600
000035, 65.998564, 3.864517,15.402389
000036, 90.035089, 2.506484,20.148220
000037, 81.592906, 1.553839,12.430285
000038, 41.574197, 27.572286,32.693444
000039, 78.512301, 34.823239,53.051804
000040, 59.133289, 0.136551,2.020224
000041, 86.388671, 61.725768,73.335038
000042, 69.310846, 33.406966,47.410530
000043, 10.488227, 1.047356,2.629641
000044, 92.945887, 44.328641,70.380365
000045, 91.166161, 40.748540,66.392780
000046, 82.716852, 22.306554,46.214286
000047, 96.613085, 8.929816,47.202366
000048, 29.735839, 2.560573,7.200665
000049, 92.573634, 24.911268,57.675424
000050, 93.578052, 15.472656,50.182692
000051, 31.300783, 26.037464,28.018711
000052, 95.852339, 85.827840,91.074914
000053, 90.365920, 8.875163,36.598915
000054, 2.469274, 0.049614,0.229143
000055, 35.666639, 4.177947,10.508172
000056, 95.266141, 30.468081,66.058640
000057, 82.362353, 12.961080,36.307588
000058, 59.960325, 36.637276,45.585085
000059, 99.116236, 54.844351,87.626307
000060, 95.110500, 0.293532,8.308898
000061, 9.158452, 34.807274,21.806937
000062, 94.052288, 46.977854,73.140175
000063, 55.182335, 24.782431,35.511189
000064, 47.534007, 5.251405,14.134246
000065, 86.433257, 7.777264,31.258146
000066, 98.430609, 78.393117,91.675566
000067, 8.960602, 0.211486,0.936572
000068, 42.806665, 2.873865,9.434439
000069, 13.712262, 5.828235,8.203526
000070, 33.561767, 55.322043,46.614813
000071, 59.041171, 63.566544,61.827022
000072, 95.045680, 65.996195,82.573370
000073, 93.137545, 0.668684,11.542658
000074, 78.296391, 55.690822,65.462178
000075, 92.521754, 82.806992,87.430515
000076, 12.031821, 2.443898,4.628614
000077, 92.104627, 26.851098,58.549512
000078, 93.395587, 16.006547,50.505148
000079, 32.729129, 0.512847,2.942166
