path, aesthetic score, technical score, overall/final score
000000, 28.069783, 9.402605,14.811804
000001, 97.522279, 2.353233,30.086429
000002, 59.509287, 14.796570,28.524829
000003, 62.191401, 3.649387,14.133956
000004, 90.808792, 0.380891,7.547575
000005, 36.098046, 12.057595,19.226459
000006, 62.733371, 0.852596,6.296109
000007, 22.935331, 1.503155,4.630233
000008, 70.111395, 3.597788,15.776570
000009, 46.362877, 9.837968,19.638607
000010, 91.835614, 53.347771,73.590241
000011, 73.655668, 43.458172,55.969400
000012, 30.894055, 5.202657,11.052517
000013, 47.598707, 0.066169,1.092615
000014, 65.182683, 0.394642,4.181415
000015, 63.807306, 2.951321,12.884660
000016, 33.146720, 0.268364,2.012213
000017, 77.762124, 91.589045,87.492478
000018, 46.228513, 0.731762,4.495797
000019, 58.144716, 0.142531,2.040745
000020, 14.145448, 2.620988,5.170148
000021, 84.321821, 45.348355,63.217238
000022, 51.559036, 1.103079,6.180127
000023, 97.275770, 14.022975,57.103443
000024, 56.513376, 11.694229,24.379824
000025, 26.480985, 23.483128,24.622476
000026, 53.582434, 27.216162,36.713777
000027, 49.371160, 0.586814,4.138481
000028, 70.445471, 22.220949,39.500443
000029, 22.738379, 42.452576,34.023806
000030, 69.198759, 20.716923,37.663664
000031, 63.071284, 18.946831,33.656185
000032, 59.017769, 42.894390,49.185428
000033, 21.011264, 3.783694,7.648314
000034, 80.139859, 42.169820,58.679868
000035, 79.311946, 16.736054,38.798280
000036, 78.498803, 4.123357,19.528358
000037, 56.447079, 28.792835,38.896538
000038, 3.464826, 0.597543,1.191531
000039, 56.238350, 18.730505,31.043084
000040, 97.154024, 89.363187,93.551162
000041, 16.058888, 47.087363,32.837659
000042, 31.191967, 0.265846,1.933548
000043, 1.017382, 2.199772,1.630757
000044, 84.010905, 1.116884,11.004291
000045, 81.205495, 80.070049,80.518439
000046, 91.093299, 57.688415,74.933571
000047, 97.971979, 0.210511,9.533880
000048, 13.325248, 9.743049,11.023507
000049, 28.470798, 47.451567,39.623287
000050, 76.910072, 45.278755,58.738465
000051, 41.470310, 3.825430,10.885694
000052, 93.125193, 6.694549,35.598775
000053, 83.815024, 22.581454,47.218778
000054, 80.103401, 4.741666,21.607268
000055, 81.465819, 0.595126,7.260737
000056, 90.434206, 4.723157,27.715424
000057, 61.646801, 56.825713,58.724825
000058, 55.597195, 29.798488,39.282200
000059, 91.392530, 52.242344,72.616048
000060, 93.577373, 0.813880,13.147367
000061, 75.326885, 77.261059,76.520456
000062, 89.486841, 2.340251,19.104578
000063, 60.868694, 57.455789,58.795840
000064, 23.120996, 0.217126,1.462887
000065, 35.107061, 1.412583,5.568163
000066, 78.104683, 0.593201,6.719207
000067, 28.074343, 11.504871,16.633182
000068, 84.839813, 0.081352,2.481814
000069, 97.276300, 23.153103,65.942915
000070, 55.057235, 42.449303,47.335118
000071, 86.678476, 11.958319,38.014334
000072, 59.150296, 13.846388,27.455097
000073, 89.193349, 1.661185,15.860204
000074, 75.769158, 6.313203,23.107142
000075, 97.202091, 6.113515,42.920642
000076, 28.202282, 25.928776,26.800217
000077, 91.984562, 2.680866,22.413207
000078, 77.969590, 4.417017,20.032255
000079, 31.376849, 0.382295,2.411570
000080, 88.403905, 4.610298,25.770304
000081, 78.597146, 3.349106,17.571974
000082, 53.805605, 16.621254,28.394479
000083, 88.301101, 0.128028,3.635430
000084, 95.190910, 66.596998,82.981082
000085, 88.424722, 8.997036,34.971373
000086, 76.546459, 4.552058,19.835628
000087, 48.813177, 52.169467,50.862516
000088, 70.603321, 8.670475,25.051793
000089, 67.277940, 10.115421,25.872986
000090, 7.101832, 0.475631,1.387899
000091, 68.354083, 1.623077,9.927126
000092, 71.467498, 16.754936,34.959965
000093, 50.830784, 3.963132,12.643851
000094, 58.800657, 12.666287,26.115710
000095, 64.851156, 0.482198,4.676885
000096, 86.637875, 13.239246,39.669656
000097, 22.711701, 22.151501,22.368572
000098, 80.997922, 72.337353,75.980724
000099, 96.317931, 13.090328,52.902728
000100, 13.052454, 18.143825,15.996900
000101, 95.137771, 21.633682,59.216723
000102, 54.385509, 10.135557,22.036731
000103, 69.945882, 0.144232,2.501493
000104, 63.060675, 7.665619,21.236658
000105, 97.161924, 4.891762,39.298448
000106, 86.466482, 68.802413,76.946831
000107, 30.281355, 3.855701,9.211088
000108, 75.739431, 0.854067,7.881851
000109, 87.113777, 9.152147,34.153951
000110, 85.025752, 1.477888,13.159961
000111, 5.890111, 0.205523,0.772784
000112, 88.745854, 3.060565,21.337682
000113, 88.681036, 5.055435,27.127141
000114, 84.115485, 2.943890,18.478107
000115, 95.508637, 0.435447,10.671185
000116, 82.675856, 29.063574,51.604904
000117, 72.023468, 0.779779,6.980846
000118, 85.752496, 17.410015,43.757485
000119, 89.661005, 27.985585,56.577760
000120, 93.008678, 1.442376,17.218084
000121, 93.609712, 0.916852,14.033175
000122, 81.726344, 0.850940,8.942155
000123, 91.942971, 17.117499,49.643295
000124, 27.619948, 23.255593,24.896956
000125, 88.859705, 12.788826,41.027677
000126, 51.140811, 41.961770,45.507214
000127, 70.169337, 1.355570,9.248078
000128, 50.647782, 23.879029,33.235448
000129, 95.882776, 7.617194,42.633187
000130, 40.554152, 0.621531,3.745388
000131, 33.426291, 0.450032,2.754427
000132, 90.308102, 3.306623,23.309547
000133, 96.803355, 5.997573,41.313075
000134, 95.340428, 27.146702,63.955592
000135, 78.637666, 0.371656,5.189934
000136, 26.073671, 5.506348,10.516009
000137, 21.704905, 0.216356,1.414807
000138, 93.745725, 0.471834,9.869354
000139, 72.958383, 27.288036,44.731024
000140, 51.041669, 6.409466,16.515795
000141, 88.163746, 0.088738,2.912634
000142, 86.560329, 9.532099,34.345828
000143, 2.466603, 0.319145,0.711164
000144, 60.194778, 0.569000,4.785381
000145, 70.552304, 59.120001,63.774785
000146, 63.726659, 7.311354,20.903413
000147, 21.746090, 0.179289,1.264308
000148, 94.830610, 49.356727,75.357500
000149, 97.018661, 1.400202,22.441443
000150, 62.281368, 12.233045,26.748260
000151, 74.810984, 16.957605,36.688560
000152, 20.042314, 0.097136,0.838653
000153, 85.343836, 23.713927,49.330028
000154, 67.382323, 9.672366,25.330324
000155, 88.348403, 48.166691,67.797626
000156, 95.618756, 0.172483,6.407135
000157, 6.013816, 4.657090,5.147085
000158, 90.699845, 67.403693,79.096957
000159, 95.821715, 0.241866,7.904115
000160, 47.237185, 2.897728,10.094891
000161, 96.237573, 17.818399,58.172766
000162, 83.316342, 0.585146,7.530184
000163, 95.644055, 0.799325,14.940074
000164, 18.963167, 2.333954,5.493595
000165, 98.004661, 0.161449,8.272146
000166, 96.316033, 0.315034,9.598877
000167, 96.792283, 39.647411,74.476679
000168, 57.753927, 33.397317,42.567476
000169, 32.553889, 0.656924,3.398526
000170, 53.004108, 7.997797,19.090833
000171, 83.674178, 31.110458,53.778624
000172, 42.245892, 10.191424,18.998077
000173, 42.509315, 1.195968,5.667716
000174, 86.280253, 92.832501,90.718714
000175, 12.853837, 40.928844,27.495362
000176, 82.998702, 2.643901,17.030729
000177, 52.267244, 4.694066,14.155539
000178, 37.015926, 10.369283,17.892806
000179, 98.554855, 2.279767,34.324733
000180, 79.096858, 15.287168,37.128923
000181, 95.747246, 4.208179,33.307298
000182, 91.474809, 12.137063,42.953225
000183, 34.936292, 0.340336,2.391399
000184, 84.684440, 32.845917,55.717515
000185, 23.449858, 2.331648,6.060983
000186, 88.322432, 3.725428,23.205433
000187, 77.392093, 30.413818,49.355704
000188, 93.981626, 0.521143,10.575149
000189, 70.581648, 5.662989,20.164439
000190, 61.364460, 6.086385,18.392191
000191, 36.458222, 3.177432,9.095302
000192, 23.241368, 2.650590,6.506691
000193, 85.566887, 44.399021,63.554268
000194, 83.735702, 16.126975,40.902456
000195, 90.529979, 9.326759,37.548968
000196, 97.396684, 86.074750,92.573751
000197, 25.022969, 17.238075,20.018048
000198, 66.325569, 0.208826,2.926457
000199, 65.072556, 10.261069,25.326752
000200, 56.785207, 35.438413,43.542883
000201, 10.674722, 39.510507,25.206298
000202, 75.451133, 14.330708,34.208882
000203, 91.641086, 0.468759,8.804916
000204, 86.384273, 0.344892,6.071919
000205, 85.970757, 1.231337,12.237634
000206, 75.498501, 47.574212,59.367360
000207, 98.374136, 18.759544,66.902023
000208, 98.999013, 0.712056,22.722377
000209, 81.963778, 6.099322,25.368459
000210, 70.195412, 12.322846,29.650610
000211, 76.375042, 1.560230,11.177544
000212, 93.128171, 15.103536,49.041436
000213, 20.671138, 4.212251,8.084415
000214, 93.152684, 0.075451,3.321507
000215, 39.302023, 41.228575,40.474441
000216, 76.503915, 6.148496,23.081357
000217, 71.343722, 11.138916,28.654861
000218, 89.353637, 34.925321,61.039252
000219, 88.671771, 1.624312,15.404177
000220, 8.909862, 0.436532,1.448598
000221, 33.584026, 1.029184,4.509736
000222, 38.914918, 0.076864,1.043282
000223, 85.840577, 8.728138,32.504475
000224, 68.554316, 23.360341,39.614341
000225, 69.960646, 17.784206,35.316237
000226, 65.391986, 0.924352,6.878945
000227, 89.779611, 0.078478,2.882252
000228, 36.365198, 8.605301,15.972727
000229, 89.966605, 0.529696,8.778067
000230, 54.442871, 32.041360,40.383245
000231, 94.824549, 67.902619,83.066805
000232, 76.278434, 1.086032,9.121423
000233, 84.258536, 61.153898,71.719306
000234, 9.187627, 0.216602,0.960380
000235, 21.344995, 17.345275,18.828592
000236, 21.899153, 3.720904,7.718655
000237, 82.558837, 1.942203,14.330291
000238, 94.794919, 9.161756,43.299719
000239, 82.958766, 8.258516,29.879233
000240, 63.874934, 15.233930,30.457121
000241, 16.245035, 20.479475,18.739143
000242, 29.321053, 0.185944,1.507499
000243, 37.720352, 17.733998,24.379179
000244, 6.424760, 0.546611,1.448676
000245, 68.303380, 2.706885,13.155322
000246, 96.040466, 8.801243,45.390371
000247, 92.607726, 2.527133,22.363724
000248, 21.736702, 8.747698,12.670672
000249, 82.763140, 0.384235,5.834654
000250, 76.799019, 52.866162,63.097624
000251, 79.920329, 5.607885,23.412402
000252, 58.760795, 0.387195,3.733266
000253, 92.926119, 0.411768,8.732778
000254, 97.032696, 0.436029,12.386807
000255, 61.869334, 2.353873,11.052917
000256, 34.636644, 11.111373,17.994941
000257, 96.351548, 23.131376,63.237044
000258, 68.811152, 0.104422,2.021021
000259, 85.509437, 6.986387,29.139832
000260, 95.281649, 0.093892,4.379321
000261, 99.615143, 0.461484,24.684599
000262, 99.322466, 2.245230,41.090064
000263, 55.807861, 37.345292,44.400576
000264, 91.340601, 13.402805,44.497175
000265, 74.248245, 42.509944,55.682542
000266, 52.768142, 23.181344,33.444760
000267, 27.488208, 1.910129,5.829919
000268, 12.550154, 0.036941,0.375662
000269, 92.812029, 54.711737,75.251037
000270, 25.223184, 0.166157,1.301005
000271, 67.325592, 2.676779,12.878271
000272, 27.033410, 34.018590,31.190806
000273, 25.909854, 4.469613,9.292195
000274, 35.302301, 15.386168,21.814380
000275, 10.785314, 5.069353,6.839547
000276, 55.987133, 4.771421,15.013252
000277, 87.270981, 17.290659,44.884330
000278, 90.957492, 13.096926,43.640719
000279, 71.967046, 16.863532,35.286627
