path, aesthetic score, technical score, overall/final score
000000, 93.375294, 98.714293,97.540980
000001, 96.436378, 99.770476,99.325972
000002, 96.543802, 93.233861,94.777175
000003, 56.373924, 85.860364,76.868089
000004, 68.635214, 0.471872,4.919839
000005, 88.273675, 37.569831,61.691132
000006, 21.861812, 1.288978,4.131348
000007, 69.947774, 87.205920,81.767486
000008, 77.592552, 84.425014,81.989115
000009, 60.680299, 10.943117,24.774075
000010, 73.686453, 54.898613,62.742229
000011, 76.366856, 25.992920,45.469398
000012, 83.342562, 22.840488,47.109017
000013, 47.991122, 39.200215,42.574567
000014, 50.081211, 64.401114,58.979569
000015, 49.668066, 16.324508,26.840371
000016, 45.015721, 19.491987,28.015423
000017, 11.804893, 30.421996,21.611131
000018, 0.004971, 0.068630,0.024684
000019, 82.937829, 88.241406,86.369239
000020, 0.253866, 0.001398,0.010617
000021, 91.632510, 79.411457,85.276637
000022, 74.331615, 23.569063,42.461556
000023, 76.663333, 91.627436,87.257676
000024, 92.757136, 89.169168,90.723021
000025, 71.287041, 80.427122,77.151937
000026, 90.086032, 61.787370,76.007569
000027, 84.792254, 83.563092,84.051207
000028, 84.769387, 96.456391,93.616715
000029, 74.492464, 15.099515,34.603690
000030, 75.563116, 35.272457,51.730440
000031, 92.137128, 78.249437,85.072855
000032, 97.206513, 73.861254,88.256719
000033, 74.397148, 83.719153,80.457044
000034, 80.584857, 84.395266,82.988576
000035, 73.374690, 96.559579,91.911355
000036, 82.822480, 98.232970,95.544665
000037, 68.180296, 19.116439,35.811009
000038, 56.727657, 74.051325,67.821311
000039, 91.294510, 93.358490,92.614767
000040, 93.047579, 96.720856,95.590764
000041, 11.674499, 18.366697,15.460432
000042, 27.052358, 58.416903,45.537192
000043, 68.500207, 21.312049,37.879827
000044, 90.411213, 99.394847,98.180155
000045, 21.009880, 1.473722,4.389009
000046, 72.246533, 49.907933,59.157776
000047, 93.339977, 82.774282,87.939848
000048, 97.097120, 97.954914,97.655052
000049, 14.202503, 34.316428,25.030050
000050, 13.307583, 2.139813,4.463508
000051, 91.171805, 88.467610,89.597788
000052, 43.806783, 95.307653,85.081521
000053, 79.759414, 95.777241,91.980157
000054, 32.612087, 20.908718,25.070359
000055, 36.670121, 32.741194,34.246896
000056, 95.841619, 98.784805,98.029461
000057, 37.915702, 73.429849,60.548550
000058, 20.215563, 41.681853,32.303177
000059, 90.513769, 8.940592,36.868129
000060, 95.882038, 94.504322,95.086321
000061, 42.946231, 7.298479,15.947638
000062, 94.902558, 97.545909,96.729807
000063, 55.544925, 84.430288,75.374944
000064, 8.019637, 12.200509,10.384890
000065, 83.957766, 96.633442,93.666907
000066, 84.156757, 95.652247,92.672185
000067, 12.326827, 5.479603,7.567480
000068, 81.420176, 96.501718,93.089538
000069, 98.205584, 96.965695,97.525276
000070, 90.543473, 37.668299,63.939202
000071, 65.304148, 62.341160,63.507970
000072, 74.506974, 95.012817,90.174590
000073, 79.412111, 71.730205,74.918947
000074, 89.092369, 48.835448,68.778911
000075, 78.516957, 91.049745,87.223886
000076, 64.056787, 94.396656,87.533525
000077, 96.295490, 97.764197,97.275685
000078, 89.893481, 54.084091,72.139445
000079, 39.740654, 45.751867,43.385080
000080, 86.099631, 39.291366,60.942528
000081, 0.974690, 14.009492,5.176354
000082, 31.914094, 59.677526,48.602777
000083, 49.866608, 90.758748,80.097460
000084, 79.376042, 98.869526,96.282657
000085, 67.535888, 94.784186,88.650166
000086, 91.456593, 94.049481,93.140916
000087, 64.138924, 11.884350,26.965390
000088, 77.753501, 87.795281,84.448196
000089, 46.879991, 87.871946,76.135558
000090, 47.676418, 6.587781,16.044795
000091, 13.798169, 69.354464,44.638998
000092, 93.231201, 93.242273,93.237961
