path, aesthetic score, technical score, overall/final score
000000, 28.830041, 35.688057,32.925741
000001, 16.694791, 9.949089,12.229276
000002, 7.223731, 2.391881,3.702339
000003, 25.702488, 13.754342,17.738639
000004, 0.228442, 2.830862,1.069937
000005, 3.105556, 6.165719,4.732564
000006, 4.322961, 0.316091,0.884794
000007, 0.392598, 0.280748,0.319944
000008, 2.561831, 0.335024,0.743561
000009, 8.547301, 17.636760,13.421975
000010, 2.445943, 2.584091,2.529388
000011, 8.601103, 13.341306,11.275684
000012, 1.307307, 6.819022,3.623796
000013, 17.567088, 0.808010,2.823712
000014, 3.340118, 0.092647,0.378234
000015, 6.376058, 9.106537,7.935837
000016, 5.834768, 10.099699,8.180918
000017, 1.263539, 20.675924,7.454981
000018, 5.983356, 7.784600,7.030290
000019, 1.742647, 8.472080,4.637055
000020, 5.396972, 54.853347,26.955472
000021, 1.926426, 1.147440,1.404770
000022, 6.275992, 6.118612,6.179484
000023, 3.316280, 3.634188,3.506986
000024, 5.552984, 7.434244,6.640122
000025, 2.511162, 4.302037,3.492273
000026, 6.593937, 0.110342,0.554939
000027, 0.773268, 10.852605,4.004969
000028, 11.923754, 14.672027,13.543705
000029, 6.038696, 0.514239,1.361145
000030, 28.604657, 6.697724,12.301397
000031, 14.542383, 45.364574,30.928420
000032, 4.803910, 67.182697,32.602550
000033, 9.528521, 3.102567,4.845114
000034, 0.448411, 0.112404,0.192802
000035, 1.487710, 23.545173,8.686829
000036, 4.042246, 0.478711,1.107829
000037, 3.207943, 0.566422,1.118612
000038, 1.719576, 6.856539,4.036000
000039, 29.133238, 66.896047,52.075922
000040, 4.537197, 0.204847,0.693362
000041, 4.877174, 1.132099,2.012113
000042, 0.164497, 9.852055,2.087731
000043, 7.391053, 0.383853,1.239417
000044, 4.013459, 2.963105,3.336213
000045, 1.414975, 0.464159,0.717435
000046, 2.388245, 0.325171,0.710151
000047, 7.525358, 1.385918,2.710290
000048, 1.000503, 0.567477,0.707978
000049, 1.918471, 16.321044,7.374679
000050, 4.685021, 28.435818,14.967415
000051, 1.852985, 2.894332,2.434112
000052, 9.181060, 12.373349,11.029428
000053, 12.538125, 3.123572,5.451799
000054, 9.884699, 12.338224,11.325473
000055, 1.817141, 0.448208,0.774884
000056, 8.566332, 36.019181,21.871355
000057, 1.645607, 3.307187,2.523374
000058, 4.059175, 1.022856,1.758213
000059, 5.313873, 43.572849,21.756004
000060, 9.401406, 45.589240,27.078499
000061, 1.942038, 0.953679,1.259179
000062, 3.919968, 5.226869,4.674797
000063, 1.567816, 2.022500,1.831735
000064, 3.692744, 2.185467,2.683537
000065, 4.402219, 13.528805,8.854828
000066, 7.925603, 13.071855,10.793886
000067, 0.542280, 0.323760,0.395868
000068, 15.817523, 33.427502,25.504721
000069, 2.776990, 2.116265,2.353089
000070, 1.698906, 1.082912,1.291017
000071, 2.635671, 3.684267,3.234961
000072, 11.169972, 5.140322,6.995879
000073, 17.729029, 5.163055,8.512919
000074, 0.402041, 2.719858,1.298335
000075, 8.341922, 42.042249,24.420825
000076, 3.827870, 8.230876,6.134623
000077, 5.001463, 19.795985,11.909370
000078, 3.698784, 3.565223,3.616697
000079, 1.403078, 11.343155,5.157315
000080, 2.073174, 5.231763,3.661132
000081, 2.632817, 4.376733,3.594465
000082, 9.196367, 38.103155,23.356482
000083, 0.948213, 0.408080,0.567058
000084, 3.242057, 1.494249,2.023818
000085, 10.611570, 5.537235,7.163882
000086, 9.114315, 36.690950,22.636401
000087, 4.031045, 4.430328,4.270469
000088, 0.279193, 1.180968,0.674376
000089, 1.620672, 11.027596,5.344564
000090, 3.279650, 28.295997,13.170050
000091, 4.180112, 18.374917,10.616974
000092, 3.680692, 1.047956,1.716027
000093, 4.734965, 3.632111,4.028844
000094, 17.945851, 25.947138,22.577260
000095, 8.381718, 17.932191,13.468608
000096, 6.375034, 0.284382,0.972179
000097, 6.486188, 18.287068,12.418290
000098, 3.793647, 2.241165,2.753939
000099, 13.027551, 1.285624,3.262827
000100, 7.431775, 2.285244,3.643719
000101, 2.808687, 0.423132,0.888801
000102, 3.918294, 6.657884,5.425466
000103, 5.248769, 4.206256,4.586531
000104, 7.269521, 0.345828,1.155589
000105, 6.558129, 47.262598,24.937882
000106, 8.391503, 18.960965,13.968626
000107, 0.555410, 0.210597,0.307398
000108, 4.444674, 0.802239,1.573709
000109, 5.760672, 20.974133,13.027446
000110, 2.779230, 4.494974,3.730999
000111, 0.867546, 1.165686,1.039074
000112, 4.164094, 20.443455,11.392569
000113, 32.556523, 3.415056,8.916713
000114, 3.272353, 38.617526,16.767325
000115, 39.272488, 0.133900,1.466814
000116, 3.948933, 3.628304,3.750129
000117, 2.305249, 6.140283,4.211931
000118, 24.958285, 5.373867,10.158380
000119, 21.248621, 41.303832,32.631846
000120, 2.553705, 42.212447,16.651513
000121, 1.870177, 0.063898,0.239396
000122, 12.542303, 9.506057,10.601873
000123, 24.702430, 28.052564,26.714898
000124, 10.848644, 17.794806,14.745348
000125, 6.109827, 9.911064,8.228354
000126, 1.271717, 0.203901,0.416901
000127, 1.546219, 4.501589,2.980309
000128, 22.932677, 6.006812,10.423399
000129, 31.339187, 2.169677,6.720921
000130, 6.868193, 14.147165,10.751719
000131, 0.876669, 1.843543,1.381229
000132, 2.084668, 19.681244,8.641692
000133, 4.261753, 2.243431,2.885059
000134, 23.438954, 6.091163,10.612906
000135, 4.052804, 73.529557,35.223590
000136, 15.098149, 2.513674,5.187584
000137, 3.036197, 1.632875,2.081367
000138, 12.029827, 4.518179,6.677134
000139, 1.517585, 1.360667,1.419804
000140, 0.187482, 1.967264,0.791141
000141, 0.321218, 0.072315,0.129330
000142, 21.036686, 7.955537,11.817412
000143, 0.047944, 0.035361,0.039814
000144, 3.084478, 0.459145,0.969460
000145, 3.222325, 0.080771,0.342955
000146, 5.908539, 13.694257,9.956575
000147, 9.440857, 3.566357,5.247348
000148, 3.111331, 25.630975,12.027109
000149, 1.038318, 3.571002,2.215447
000150, 3.999878, 2.221690,2.797144
000151, 7.027677, 1.948655,3.236170
000152, 1.311545, 9.901357,4.603282
000153, 17.373057, 9.018647,11.728428
000154, 7.309932, 22.837435,15.023427
000155, 1.894220, 28.823775,11.010974
000156, 8.122750, 24.449515,16.331957
000157, 1.022754, 9.173409,3.989342
000158, 13.828132, 21.169158,18.014637
000159, 10.148913, 1.235211,2.863418
000160, 14.818648, 4.366833,7.140145
000161, 9.643846, 0.991885,2.456427
000162, 0.681309, 30.973202,8.090057
000163, 14.856676, 4.002773,6.788501
000164, 3.473313, 4.453087,4.043417
000165, 9.205120, 23.874421,16.804607
000166, 1.682534, 0.438426,0.741740
000167, 12.920439, 18.757238,16.272055
000168, 2.439571, 4.886364,3.735759
000169, 10.252938, 1.047618,2.604897
000170, 3.628694, 5.451832,4.656613
000171, 2.826981, 5.193148,4.105058
000172, 3.845268, 12.301190,7.921050
000173, 0.300883, 0.281151,0.288680
000174, 2.870516, 3.371081,3.166756
000175, 4.504704, 5.725029,5.216464
000176, 1.858998, 5.922360,3.793207
000177, 2.293923, 7.152929,4.624819
000178, 34.861752, 81.752143,66.191405
000179, 0.512273, 1.432824,0.960867
000180, 5.456301, 4.256821,4.690826
000181, 5.706096, 4.710775,5.077249
000182, 43.351685, 19.424055,27.435596
000183, 3.404335, 2.607940,2.894007
000184, 2.805322, 8.288119,5.475859
000185, 4.403805, 5.021853,4.771852
000186, 7.212792, 13.303944,10.533376
000187, 1.411484, 1.392620,1.399940
000188, 3.361642, 6.095873,4.844227
000189, 0.990297, 8.314115,3.699385
000190, 4.796823, 39.259202,19.301383
000191, 2.458207, 3.335307,2.962447
000192, 0.222482, 0.570234,0.395343
000193, 4.749493, 1.159240,2.019561
000194, 4.983980, 10.943809,8.104973
000195, 19.160366, 48.912802,35.722555
000196, 22.578558, 17.540985,19.390345
000197, 0.279252, 30.052176,5.701428
000198, 7.097780, 0.813095,1.918474
000199, 2.979629, 14.974495,8.188199
000200, 0.902196, 11.850648,4.497625
000201, 0.834553, 1.468254,1.178701
000202, 1.269841, 17.563895,6.661361
000203, 15.305867, 71.193599,47.147140
000204, 7.893349, 7.883612,7.887405
000205, 0.367791, 0.419087,0.398305
000206, 2.915553, 57.242823,23.367810
000207, 8.966819, 2.744450,4.390896
000208, 5.478685, 0.486961,1.265699
000209, 9.744885, 57.605104,33.624537
000210, 6.805579, 19.751374,13.293132
000211, 0.768445, 1.781925,1.285378
000212, 0.334808, 1.173721,0.720904
000213, 2.886939, 0.011908,0.102191
000214, 3.837686, 26.895794,13.408466
000215, 4.787110, 7.588136,6.351987
000216, 6.229222, 12.289525,9.482841
000217, 0.634835, 2.464416,1.457256
000218, 9.718989, 57.065690,33.299278
000219, 3.510443, 10.060008,6.734910
000220, 7.874024, 24.832906,16.324213
000221, 3.834931, 5.952536,5.021360
000222, 1.986900, 8.668495,4.944262
000223, 5.222709, 5.588293,5.443083
000224, 1.277120, 12.136065,5.204392
000225, 4.298939, 2.707592,3.244831
000226, 2.790948, 15.270818,8.097310
000227, 7.953370, 0.082622,0.503385
000228, 26.986430, 22.704349,24.313597
000229, 1.765134, 0.825191,1.110629
000230, 0.613349, 0.651027,0.636082
000231, 1.320048, 17.090991,6.631292
000232, 1.628620, 19.018700,7.712252
000233, 5.081924, 1.359490,2.285050
000234, 2.696991, 0.260224,0.650848
000235, 0.764301, 16.770336,5.346588
000236, 0.479556, 0.290287,0.353031
000237, 0.956323, 9.518690,3.983416
000238, 10.560677, 10.384317,10.452715
000239, 3.727332, 9.579045,6.679061
000240, 23.725320, 8.775012,13.190978
000241, 0.666680, 0.807170,0.749245
000242, 1.691915, 6.475885,3.869800
000243, 0.250963, 5.260200,1.635964
000244, 2.682047, 2.559609,2.606650
000245, 2.924550, 1.269738,1.760275
000246, 12.859599, 5.793784,7.960726
000247, 11.680685, 20.024157,16.335933
000248, 9.817939, 32.580619,21.284240
000249, 11.088639, 3.989038,5.993623
000250, 6.689255, 24.245004,15.158935
000251, 1.943934, 16.052165,7.327958
000252, 0.452514, 2.156606,1.177527
000253, 1.551341, 1.899381,1.755503
000254, 1.275789, 4.130501,2.624367
000255, 0.234069, 0.232245,0.232954
000256, 5.275024, 14.062036,9.708195
000257, 2.433055, 0.206301,0.542461
000258, 15.730849, 17.149906,16.585324
000259, 3.818366, 11.829403,7.705053
000260, 9.596181, 7.791286,8.454244
000261, 31.710542, 69.638834,55.177966
000262, 4.959104, 6.175337,5.671464
000263, 0.353715, 17.432607,4.120848
000264, 2.547766, 5.711082,4.183474
000265, 0.941048, 4.449454,2.445449
000266, 10.200224, 0.301387,1.226468
000267, 12.448315, 0.070977,0.556716
000268, 3.398406, 0.722208,1.326432
000269, 7.015266, 22.705758,14.746769
000270, 0.553946, 20.784663,5.526161
000271, 0.292275, 0.748767,0.519279
000272, 0.195981, 0.623409,0.397408
000273, 4.960504, 3.550642,4.047016
000274, 5.850619, 5.049943,5.348745
000275, 5.089549, 2.219259,3.075180
000276, 4.748391, 8.575056,6.831219
000277, 8.467991, 23.804539,16.279775
000278, 16.750932, 18.288432,17.676767
000279, 5.216424, 15.074011,10.110376
000280, 4.618618, 69.674821,33.808083
000281, 21.439537, 4.804869,8.876698
000282, 40.165381, 0.737697,4.119149
000283, 2.988306, 26.021751,11.987378
000284, 10.035582, 15.114293,12.922296
000285, 7.178601, 1.876457,3.190814
000286, 4.139201, 71.486835,34.001458
000287, 3.429463, 46.055504,19.830158
000288, 2.204021, 0.839121,1.224262
000289, 4.237462, 0.541913,1.217192
000290, 1.265584, 6.737721,3.552344
000291, 36.058996, 10.001635,17.303913
000292, 29.459611, 4.631362,10.096179
000293, 5.475679, 7.425155,6.599403
000294, 1.369205, 1.181039,1.251102
000295, 1.766829, 2.934795,2.410094
000296, 1.100167, 0.279598,0.477367
000297, 5.507188, 6.759901,6.243153
000298, 0.540810, 21.796174,5.671226
000299, 2.330857, 0.452264,0.859564
000300, 1.183970, 0.028974,0.123407
000301, 1.793640, 0.279709,0.578641
000302, 1.135862, 27.872154,8.944198
000303, 6.224569, 6.615241,6.460397
000304, 5.172723, 0.365794,1.039644
000305, 2.817590, 0.082480,0.329180
000306, 3.968871, 1.722927,2.390074
000307, 4.948996, 15.662695,10.165298
000308, 2.925399, 31.853974,13.840493
000309, 6.177673, 36.979681,20.016091
000310, 12.655853, 57.009601,35.885819
000311, 10.545804, 68.442552,41.086233
000312, 1.038764, 0.332419,0.518637
000313, 1.247053, 0.409927,0.633005
000314, 0.280135, 2.600700,1.098321
000315, 6.747493, 5.882561,6.206436
000316, 9.058701, 2.417070,4.085721
000317, 11.746278, 4.386940,6.496385
000318, 1.209741, 0.040417,0.152465
