path, aesthetic score, technical score, overall/final score
000000, 88.563377, 82.332282,85.029182
000001, 98.862529, 89.265609,95.401925
000002, 98.295411, 96.808336,97.497397
000003, 92.101706, 88.146957,89.859162
000004, 96.185584, 97.560270,97.094112
000005, 98.872923, 98.491130,98.653058
000006, 79.777949, 9.153962,29.605818
000007, 74.830247, 71.049613,72.562031
000008, 95.944191, 64.866713,83.297129
000009, 86.837826, 89.625155,88.607211
000010, 91.001916, 96.482600,94.896735
000011, 82.760559, 46.190373,62.667745
000012, 90.769548, 29.390389,58.796015
000013, 97.247934, 91.410229,94.439937
000014, 90.656858, 85.121093,87.544221
000015, 45.625415, 38.018614,40.934197
000016, 44.396011, 1.348882,6.251883
000017, 77.162239, 83.726083,81.368935
000018, 22.810726, 21.959585,22.288451
000019, 83.258683, 85.345991,84.559627
000020, 87.106295, 51.456491,68.564987
000021, 97.805183, 32.671355,73.844299
000022, 97.981518, 48.370168,81.348075
000023, 95.357557, 98.190411,97.379741
000024, 96.400694, 89.405019,92.974475
000025, 93.371049, 39.969129,68.616771
000026, 98.200013, 96.399303,97.247395
000027, 73.964641, 85.074682,81.293224
000028, 93.892410, 78.677019,86.547693
000029, 97.447711, 30.191397,71.247038
000030, 96.391074, 67.659364,84.946497
000031, 97.334375, 96.336923,96.762323
000032, 67.807886, 15.423771,32.114629
000033, 92.456158, 79.492873,85.855825
000034, 44.627859, 46.373798,45.692283
000035, 85.714525, 38.885962,60.398810
000036, 96.693526, 67.167275,85.221231
000037, 85.810717, 40.308848,61.336889
000038, 97.444695, 85.936802,92.576831
000039, 96.944909, 87.483453,92.648018
000040, 80.653079, 92.789045,89.241093
000041, 71.513093, 80.135959,77.029825
000042, 68.251700, 79.408959,75.437359
000043, 74.682332, 30.512343,47.978009
000044, 96.793279, 97.973321,97.575042
000045, 99.392318, 97.750832,98.645640
000046, 93.295120, 96.812546,95.727980
000047, 99.463577, 98.924958,99.179656
000048, 94.730159, 74.656392,85.631618
000049, 97.392386, 87.314054,93.008173
000050, 98.229192, 66.874952,88.010334
000051, 94.055029, 95.121490,94.729480
000052, 86.674395, 70.042263,77.694208
000053, 91.028892, 22.352141,53.560481
000054, 7.921059, 10.594823,9.469547
000055, 76.254312, 73.187563,74.411641
000056, 59.436258, 56.134422,57.428978
000057, 83.095621, 4.124494,21.416885
000058, 98.071204, 67.554456,87.850080
000059, 98.825777, 82.635113,93.578896
000060, 98.129267, 93.434533,95.944428
000061, 40.159947, 10.995303,19.280970
000062, 97.724288, 77.443220,90.183434
000063, 98.795921, 98.112163,98.414978
000064, 97.394772, 86.928877,92.873085
000065, 97.974670, 61.982319,85.931489
000066, 65.850752, 3.967478,15.587542
000067, 97.103165, 78.055338,89.500049
000068, 96.069327, 95.694351,95.844340
000069, 96.179683, 97.352337,96.944184
000070, 90.326288, 55.253896,73.088694
000071, 98.499169, 94.782871,96.770575
000072, 93.567024, 64.429379,80.308065
