2025-03-25 17:56:58 Vid: 000968.mp4,  Current sd_score: 0.707733154296875, Current avg. sd_score: 0.707733154296875,  
2025-03-25 17:56:59 Vid: 000419.mp4,  Current sd_score: 0.6838929057121277, Current avg. sd_score: 0.6958130300045013,  
2025-03-25 17:56:59 Vid: 000256.mp4,  Current sd_score: 0.6629205942153931, Current avg. sd_score: 0.6848488847414652,  
2025-03-25 17:57:00 Vid: 000117.mp4,  Current sd_score: 0.6625871062278748, Current avg. sd_score: 0.6792834401130676,  
2025-03-25 17:57:00 Vid: 000446.mp4,  Current sd_score: 0.7511082291603088, Current avg. sd_score: 0.6936483979225159,  
2025-03-25 17:57:01 Vid: 000572.mp4,  Current sd_score: 0.6973198652267456, Current avg. sd_score: 0.6942603091398875,  
2025-03-25 17:57:01 Vid: 000241.mp4,  Current sd_score: 0.614120602607727, Current avg. sd_score: 0.6828117796352932,  
2025-03-25 17:57:01 Vid: 000935.mp4,  Current sd_score: 0.7302613258361816, Current avg. sd_score: 0.6887429729104042,  
2025-03-25 17:57:02 Vid: 000886.mp4,  Current sd_score: 0.6226422190666199, Current avg. sd_score: 0.6813984447055392,  
2025-03-25 17:57:02 Vid: 000711.mp4,  Current sd_score: 0.6196891665458679, Current avg. sd_score: 0.6752275168895722,  
2025-03-25 17:57:03 Vid: 000447.mp4,  Current sd_score: 0.6593617796897888, Current avg. sd_score: 0.6737851771441373,  
2025-03-25 17:57:03 Vid: 000418.mp4,  Current sd_score: 0.6797341704368591, Current avg. sd_score: 0.6742809265851974,  
2025-03-25 17:57:03 Vid: 000482.mp4,  Current sd_score: 0.6220961213111877, Current avg. sd_score: 0.670266710794889,  
2025-03-25 17:57:04 Vid: 000009.mp4,  Current sd_score: 0.7099868655204773, Current avg. sd_score: 0.6731038647038596,  
2025-03-25 17:57:04 Vid: 000568.mp4,  Current sd_score: 0.8053038716316223, Current avg. sd_score: 0.6819171984990438,  
2025-03-25 17:57:05 Vid: 000245.mp4,  Current sd_score: 0.636436402797699, Current avg. sd_score: 0.6790746487677097,  
2025-03-25 17:57:05 Vid: 000628.mp4,  Current sd_score: 0.7138347029685974, Current avg. sd_score: 0.6811193578383502,  
2025-03-25 17:57:05 Vid: 000153.mp4,  Current sd_score: 0.6954160928726196, Current avg. sd_score: 0.6819136208958096,  
2025-03-25 17:57:06 Vid: 000992.mp4,  Current sd_score: 0.6880614757537842, Current avg. sd_score: 0.682237192204124,  
2025-03-25 17:57:06 Vid: 000036.mp4,  Current sd_score: 0.6845710277557373, Current avg. sd_score: 0.6823538839817047,  
2025-03-25 17:57:07 Vid: 000518.mp4,  Current sd_score: 0.6310641765594482, Current avg. sd_score: 0.6799115169615972,  
2025-03-25 17:57:07 Vid: 000993.mp4,  Current sd_score: 0.7838002443313599, Current avg. sd_score: 0.684633731842041,  
2025-03-25 17:57:07 Vid: 000503.mp4,  Current sd_score: 0.6985408663749695, Current avg. sd_score: 0.6852383898652118,  
2025-03-25 17:57:08 Vid: 000475.mp4,  Current sd_score: 0.6312972903251648, Current avg. sd_score: 0.6829908440510432,  
2025-03-25 17:57:08 Vid: 000964.mp4,  Current sd_score: 0.7118971943855286, Current avg. sd_score: 0.6841470980644226,  
2025-03-25 17:57:09 Vid: 000609.mp4,  Current sd_score: 0.7203848958015442, Current avg. sd_score: 0.6855408595158503,  
2025-03-25 17:57:09 Vid: 000303.mp4,  Current sd_score: 0.7913240790367126, Current avg. sd_score: 0.6894587565351415,  
2025-03-25 17:57:10 Vid: 000680.mp4,  Current sd_score: 0.6242058873176575, Current avg. sd_score: 0.6871282969202314,  
2025-03-25 17:57:10 Vid: 000030.mp4,  Current sd_score: 0.6947135329246521, Current avg. sd_score: 0.6873898567824528,  
2025-03-25 17:57:10 Vid: 000653.mp4,  Current sd_score: 0.6723487973213196, Current avg. sd_score: 0.6868884881337484,  
2025-03-25 17:57:11 Vid: 000000.mp4,  Current sd_score: 0.6448466181755066, Current avg. sd_score: 0.6855322987802567,  
2025-03-25 17:57:11 Vid: 000555.mp4,  Current sd_score: 0.7610125541687012, Current avg. sd_score: 0.6878910567611456,  
2025-03-25 17:57:12 Vid: 000223.mp4,  Current sd_score: 0.6518527269363403, Current avg. sd_score: 0.6867989861603939,  
