path, aesthetic score, technical score, overall/final score
000000, 96.958549, 99.387780,98.851910
000001, 97.744430, 99.058435,98.674921
000002, 97.399024, 98.902580,98.461730
000003, 94.801952, 97.539607,96.699199
000004, 96.644036, 99.483532,98.923171
000005, 97.924130, 99.400093,99.024981
000006, 98.418820, 99.073710,98.858689
000007, 93.728598, 96.324950,95.466582
000008, 97.656153, 99.109715,98.699780
000009, 95.374341, 90.871410,92.967606
000010, 86.189125, 92.934367,90.772594
000011, 95.708092, 96.312370,96.087339
000012, 92.146737, 98.251441,96.827814
000013, 94.294050, 95.376708,94.980336
000014, 76.948694, 81.636433,79.903762
000015, 82.764523, 85.718100,84.620929
000016, 84.817464, 98.329804,95.921756
000017, 97.034035, 99.283541,98.749454
000018, 34.870377, 58.823805,49.358083
000019, 94.294513, 97.277802,96.358558
000020, 97.116116, 92.727591,94.901797
000021, 96.345064, 97.539871,97.127987
000022, 94.976214, 61.828639,80.839135
000023, 98.360741, 97.728485,97.999072
000024, 94.948057, 97.948257,97.076073
000025, 83.678869, 98.258159,95.682439
000026, 96.926227, 86.410029,92.227221
000027, 65.453117, 90.689075,83.731479
000028, 98.375463, 98.601619,98.517456
000029, 88.725929, 90.241585,89.673969
000030, 99.131740, 99.270527,99.219287
000031, 98.078257, 98.421384,98.295524
000032, 98.200064, 98.428117,98.342860
000033, 81.451778, 93.940992,90.462006
000034, 96.058260, 95.789983,95.896519
000035, 89.122187, 97.828270,95.865790
000036, 95.443634, 99.014159,98.199294
000037, 86.221094, 98.316768,96.072983
000038, 97.290627, 99.494508,99.023834
000039, 93.499768, 98.810831,97.672124
000040, 99.270662, 99.198266,99.227283
000041, 95.583811, 97.922450,97.207135
000042, 83.926943, 96.286129,93.282623
000043, 50.936758, 64.343162,59.264560
000044, 82.264431, 98.789417,96.390026
000045, 79.837695, 96.585418,92.932354
000046, 88.690101, 96.920105,94.822252
000047, 96.773805, 98.970601,98.388964
000048, 99.066589, 98.025818,98.524090
000049, 84.361482, 65.100621,73.830644
000050, 99.206587, 90.947502,96.406923
000051, 81.741343, 66.722779,73.274969
000052, 98.105127, 98.327781,98.244270
000053, 99.354795, 98.565640,98.948482
000054, 99.402130, 99.497400,99.462225
000055, 97.456449, 98.893751,98.467749
000056, 97.431674, 98.369378,98.052666
000057, 79.232679, 92.638273,88.769993
000058, 92.207763, 98.966479,97.695963
000059, 98.878384, 98.037013,98.420693
000060, 98.668936, 97.936619,98.259885
000061, 93.050955, 98.457332,97.201557
000062, 99.762032, 99.676219,99.712814
000063, 98.810565, 98.808266,98.809162
000064, 98.394290, 98.754896,98.625043
000065, 94.550455, 98.861582,97.888929
000066, 87.669291, 96.384025,94.092872
000067, 86.209521, 91.218923,89.499410
000068, 98.048532, 99.180787,98.849852
000069, 98.711221, 98.670307,98.686397
000071, 93.467243, 96.876143,95.823270
000072, 99.088920, 99.657526,99.498289
000073, 89.677148, 94.950927,93.297218
000074, 92.906049, 94.812574,94.135421
000075, 97.382385, 99.480304,99.020724
000076, 98.831615, 99.587829,99.380900
000077, 99.408586, 99.588891,99.526280
000078, 93.908502, 94.200379,94.088258
000079, 86.543148, 90.725466,89.256019
000080, 68.504241, 73.448010,71.581604
000081, 98.714373, 97.384526,98.014413
000082, 87.345611, 94.643391,92.453302
000083, 96.102056, 98.126085,97.502901
000084, 96.138413, 99.150622,98.460031
000085, 99.718980, 99.523276,99.611942
000086, 97.893057, 99.428632,99.047897
000087, 96.303055, 96.700870,96.551051
000089, 92.566344, 97.906088,96.542735
000090, 98.411541, 99.052598,98.840833
000091, 99.243858, 99.655384,99.531775
000092, 82.356763, 97.268586,94.164094
000093, 96.292236, 97.586971,97.145481
000094, 92.804263, 97.863216,96.546186
000095, 99.353480, 99.541131,99.475519
000096, 97.887759, 97.682761,97.764842
000097, 85.127616, 88.748691,87.439474
000098, 62.114485, 97.241501,91.429005
000099, 97.000939, 98.988198,98.451139
000100, 86.842576, 76.018862,80.836875
000101, 96.967975, 98.349217,97.905924
000102, 98.095832, 99.000762,98.714514
000103, 99.379679, 95.355747,97.859325
000104, 94.443332, 98.189871,97.184230
Avg. scores: 92.07328076258503, 94.87550486209075,94.44036215225047
