path, aesthetic score, technical score, overall/final score
000000, 98.837930, 99.761971,99.557825
000001, 99.212725, 99.672189,99.538612
000002, 97.786326, 99.246813,98.851599
000003, 98.124913, 99.765293,99.470751
000004, 98.202335, 99.797668,99.524455
000005, 99.625805, 99.536625,99.573642
000006, 98.689833, 99.503136,99.274424
000007, 98.555340, 99.101075,98.918243
000008, 97.074158, 99.588394,99.111671
000009, 98.635950, 99.609858,99.363790
000010, 89.865460, 99.307572,97.979388
000011, 98.861754, 98.133598,98.459994
000012, 98.403554, 99.394721,99.115842
000013, 97.794642, 98.212198,98.059646
000014, 99.452721, 97.772773,98.707205
000015, 59.803930, 92.669661,84.597638
000016, 38.180763, 97.178842,87.790207
000017, 96.413138, 99.407988,98.798696
000018, 93.516448, 98.716020,97.564402
000019, 98.404777, 99.634392,99.349658
000020, 99.384569, 99.731649,99.629074
000021, 90.618024, 97.737518,96.015959
000022, 97.960921, 99.369139,99.001745
000023, 99.255626, 99.831177,99.698785
000024, 98.241739, 98.552674,98.438559
000025, 95.090478, 99.796739,99.287448
000026, 99.291467, 99.566944,99.475295
000027, 93.440540, 98.549412,97.365983
000028, 98.805199, 98.862521,98.840519
000029, 96.763229, 98.987267,98.402772
000030, 99.489300, 99.053886,99.255681
000031, 99.372947, 99.816001,99.703151
000032, 98.842348, 99.423380,99.243131
000033, 88.080070, 98.712671,96.857226
000034, 88.990948, 98.495800,96.664858
000035, 96.918046, 98.511783,98.021058
000036, 92.744287, 98.118791,96.790413
000037, 96.649327, 98.815926,98.219654
000038, 81.868325, 98.864941,96.490608
000039, 96.766894, 99.390864,98.827279
000040, 98.766147, 99.834004,99.636534
000041, 96.829301, 99.334779,98.772432
000042, 98.765297, 98.961453,98.888993
000043, 88.412774, 91.244097,90.224070
000044, 97.755681, 99.433463,99.028905
000045, 99.814622, 99.614213,99.709986
000046, 85.948293, 97.439512,94.915705
000047, 98.119999, 99.276240,98.948870
000048, 96.266229, 99.512940,98.915557
000049, 99.801073, 99.565564,99.679478
000050, 99.178835, 99.549189,99.430397
000051, 97.760783, 99.571640,99.181434
000052, 97.432673, 98.224890,97.949722
000053, 98.704482, 99.433616,99.217638
000054, 63.420998, 96.471405,90.324569
000055, 96.628244, 99.601689,99.078555
000056, 99.439987, 99.718266,99.631722
000057, 99.561987, 99.704258,99.655335
000058, 59.828968, 97.880920,92.377066
000059, 98.947553, 99.733522,99.544397
000060, 99.441264, 99.626975,99.563345
000061, 94.372402, 99.417020,98.573113
000062, 99.622104, 99.723464,99.687676
000063, 95.777642, 99.637451,99.047512
000064, 94.920664, 99.378877,98.577709
000065, 97.460601, 99.637887,99.223165
000066, 99.486726, 99.781494,99.695150
000067, 98.872110, 99.473671,99.291323
000068, 98.337797, 99.256613,98.982022
000069, 99.256660, 99.550745,99.453272
000070, 97.932750, 99.219467,98.857610
000071, 41.995328, 82.462920,69.404336
000072, 98.978105, 99.496975,99.336716
000073, 97.887687, 99.616049,99.251594
000074, 90.642373, 97.240063,95.516547
000075, 81.375056, 97.274386,94.028360
000076, 98.815583, 99.381883,99.203303
000077, 99.818405, 99.779743,99.795697
000078, 87.552539, 98.554586,96.568455
000079, 96.522106, 97.791763,97.362438
000080, 92.430094, 95.689317,94.619750
000081, 98.334442, 99.156849,98.900044
000082, 93.125166, 99.041317,97.908597
000083, 99.396737, 99.749822,99.647361
000084, 99.179765, 99.741257,99.594119
000085, 98.728135, 99.374111,99.174527
000086, 96.773704, 99.626198,99.128890
000087, 97.464235, 99.318931,98.860275
000088, 94.868584, 99.134080,98.253725
000089, 99.441479, 99.602398,99.546081
000090, 95.500167, 99.378042,98.644455
000091, 99.601063, 99.755310,99.703952
000092, 98.555006, 99.675248,99.417997
000093, 99.186604, 99.233835,99.215766
000094, 73.405776, 99.221301,96.625086
000095, 98.954025, 99.676794,99.488786
000096, 91.419299, 99.023351,97.682421
000097, 98.585201, 99.798649,99.568569
000098, 93.298165, 99.470794,98.554538
000099, 99.276274, 99.563711,99.468526
000100, 99.029279, 99.638831,99.468755
000101, 99.469680, 99.419780,99.439754
000102, 76.695443, 99.187747,96.761176
000103, 99.010394, 99.662456,99.486350
000104, 99.937219, 99.842952,99.890115
000105, 99.615718, 99.691635,99.664020
000106, 98.935648, 98.967885,98.955442
000107, 50.454840, 94.210629,84.681098
000108, 96.727669, 99.549626,99.018988
000109, 99.678959, 99.837041,99.787743
000110, 99.328371, 99.726853,99.612026
000111, 88.161164, 99.494154,98.212181
000112, 98.518593, 99.476096,99.213651
000113, 97.727154, 99.779915,99.450814
000114, 98.304478, 99.761689,99.486623
000115, 99.814481, 99.759718,99.782748
000116, 99.413166, 99.795950,99.691912
000117, 99.317049, 99.589447,99.499333
000118, 95.511469, 99.229575,98.458324
000119, 99.288954, 99.769523,99.642308
000120, 92.850376, 95.363768,94.504056
000121, 99.752910, 99.818732,99.795475
000122, 92.293136, 98.095249,96.685853
000123, 98.095453, 99.526584,99.183929
000124, 95.589666, 98.810455,98.008562
000125, 93.533151, 98.640989,97.482153
000126, 95.330058, 95.792947,95.618065
000127, 92.630726, 98.642283,97.345948
000128, 96.671157, 99.595948,99.075255
000129, 96.843591, 98.928320,98.363357
000130, 96.075266, 99.339299,98.668958
000131, 98.603979, 99.540584,99.290799
000132, 99.308380, 99.738380,99.617736
000133, 95.004938, 98.866441,97.966914
000134, 98.989012, 99.695181,99.513237
000135, 98.171730, 97.422628,97.744667
000136, 98.508025, 99.568808,99.299614
000137, 97.758045, 99.143732,98.752236
000138, 97.936872, 99.504847,99.134482
000139, 98.733051, 99.672884,99.444841
000140, 81.291307, 99.290523,97.310359
000141, 99.070100, 99.789978,99.624580
000142, 95.723738, 99.525066,98.872256
000143, 9.156847, 96.399823,75.263480
000144, 91.156046, 98.683814,97.191635
000145, 95.095780, 99.193650,98.357706
000146, 96.669928, 98.733518,98.149990
000147, 92.483237, 99.327505,98.248304
000148, 99.149898, 99.450150,99.348321
000149, 96.940859, 98.873272,98.333587
000150, 99.170912, 99.770977,99.621621
000151, 97.477806, 93.744897,95.590254
000152, 98.385800, 99.147815,98.906385
000153, 91.793580, 99.075090,97.798369
000154, 93.130806, 99.270758,98.227566
000155, 78.749797, 99.103200,96.714753
000156, 98.900836, 99.875464,99.708459
000157, 99.503184, 98.784428,99.141523
000158, 97.316720, 99.888827,99.612833
000159, 97.728263, 99.482802,99.076817
000160, 97.588699, 99.632490,99.232066
000161, 96.747833, 98.552305,98.012257
000162, 98.329566, 99.617989,99.319836
000163, 99.455669, 99.362474,99.400533
000164, 58.912687, 99.511932,96.727187
000165, 76.127614, 97.698167,93.932911
000166, 98.659446, 99.415606,99.191834
000167, 99.747041, 99.617375,99.674327
000168, 98.711948, 99.660272,99.428208
000169, 97.920322, 99.576436,99.210411
000170, 96.581104, 99.563503,99.020472
000171, 99.833841, 99.636526,99.732015
000172, 97.855817, 99.699743,99.351722
000173, 82.173326, 97.644015,94.627814
000174, 90.377124, 99.489705,98.355536
000175, 91.142456, 96.272111,94.749103
000176, 94.021452, 90.986870,92.306561
000177, 99.311282, 99.722556,99.604452
000178, 99.736428, 99.476064,99.599019
000179, 98.884833, 99.662783,99.462065
000180, 89.959763, 98.385197,96.652302
000181, 99.889612, 99.856504,99.870443
000182, 95.469699, 99.669839,99.074154
000183, 97.907021, 96.727864,97.248903
000184, 88.643499, 97.559136,95.485944
000185, 97.212841, 98.862072,98.384046
000186, 82.411147, 98.945037,96.686864
000187, 98.582101, 99.650267,99.395647
000188, 96.945260, 99.399822,98.863707
000189, 99.373704, 99.810931,99.698333
000190, 97.325241, 98.610654,98.204972
000191, 99.689629, 99.672064,99.679022
000192, 84.634458, 99.301327,97.564424
000193, 99.675165, 99.884558,99.827211
000194, 98.979106, 99.690011,99.506341
000195, 97.988615, 99.597512,99.244566
000196, 98.383282, 99.435923,99.148772
000197, 95.085416, 98.973852,98.098186
000198, 96.769377, 98.116013,97.673512
000199, 90.731828, 95.939432,94.370078
000200, 98.676383, 99.768479,99.542426
000201, 99.564697, 99.597585,99.585077
000202, 93.537617, 99.622508,98.839328
000203, 98.629953, 99.327152,99.111858
000204, 96.526684, 99.227132,98.605834
000205, 87.797000, 98.641703,96.721785
000206, 88.587224, 98.742705,96.958415
000207, 99.217128, 99.683231,99.549138
000208, 98.667144, 99.248379,99.060073
000209, 98.656186, 99.786793,99.562225
000210, 98.449110, 99.566673,99.286737
000211, 95.379236, 99.366241,98.614212
000212, 95.101623, 99.503464,98.776166
000213, 93.080373, 99.565635,98.700286
000214, 99.802738, 99.856224,99.837366
000215, 98.308723, 98.754956,98.596915
000216, 96.752598, 98.478750,97.952727
000217, 98.469034, 98.991435,98.813042
000218, 99.731417, 99.721114,99.725174
000219, 98.514972, 99.890953,99.697328
000220, 93.461919, 99.362717,98.399005
000221, 97.551090, 99.227055,98.786004
000222, 96.006765, 99.012002,98.289552
000223, 98.004440, 99.159174,98.821187
000224, 98.176278, 99.653275,99.336227
000225, 97.860184, 96.401642,97.058499
000226, 99.555556, 99.634072,99.605276
000227, 94.591823, 99.494962,98.712851
000228, 95.548046, 98.120780,97.363415
000229, 99.461428, 98.686147,99.070991
000230, 99.020259, 97.414790,98.225172
000231, 95.024594, 99.358788,98.562100
000232, 95.745546, 99.465142,98.790496
000233, 99.563139, 99.727051,99.672131
000234, 80.461090, 98.901780,96.437707
000235, 96.509172, 99.105644,98.473697
000236, 95.879760, 98.739703,97.992857
000237, 96.605459, 99.310197,98.710587
000238, 99.504639, 99.846495,99.757594
000239, 99.783175, 99.766628,99.773219
000240, 97.106169, 99.690450,99.256160
000241, 93.944304, 99.249471,98.287151
000242, 85.369507, 99.631342,98.377844
000243, 97.946835, 99.172304,98.819288
000244, 90.242285, 97.935459,96.166932
000245, 93.265967, 99.377674,98.402570
000246, 99.211988, 99.746727,99.605603
000247, 96.535667, 99.439584,98.854021
000248, 99.214042, 99.693556,99.557474
000249, 92.071263, 99.455696,98.423799
000250, 98.038781, 99.597723,99.252293
000251, 98.322759, 99.301949,99.016807
000252, 93.659696, 99.272513,98.287319
000253, 96.995047, 99.003292,98.464015
000254, 95.603348, 99.610952,98.989518
000255, 91.785189, 97.932936,96.426796
000256, 89.881559, 99.544570,98.431490
000257, 99.812666, 99.723041,99.762162
000258, 99.475588, 99.824018,99.730597
000259, 98.151068, 98.343075,98.270718
000260, 98.879574, 99.787213,99.592886
000261, 98.382337, 99.475533,99.185483
000262, 98.693042, 99.741922,99.513569
000263, 99.188364, 99.212036,99.202896
000264, 93.385490, 98.559830,97.368492
000265, 99.384275, 99.731073,99.628519
000266, 95.497261, 99.373869,98.638598
000267, 89.032856, 99.403103,98.088865
000268, 74.277281, 97.957669,94.134642
000269, 93.492496, 99.679313,98.945488
000270, 93.542558, 98.501475,97.330852
000271, 96.953178, 98.770754,98.245913
000272, 23.627137, 96.252201,82.114837
000273, 93.485945, 99.662149,98.911195
000274, 91.858934, 98.676356,97.277041
000275, 78.523580, 98.671856,95.830193
000276, 97.817769, 99.742876,99.405961
000277, 89.342948, 96.332861,94.392841
000278, 95.868691, 97.038692,96.626917
000279, 98.738258, 99.119911,98.987144
000280, 97.554025, 99.447955,99.011029
000281, 92.112968, 99.620873,98.736105
000282, 97.275445, 99.693718,99.278458
000283, 94.612141, 99.669133,99.005362
000284, 94.890244, 99.634334,98.965739
000285, 99.288655, 99.478532,99.411432
000286, 92.865964, 98.602445,97.334890
000287, 99.387432, 98.892615,99.120430
000288, 91.264502, 98.408040,96.867552
000289, 99.785110, 99.740024,99.758614
000290, 86.741503, 97.436193,95.036916
000291, 92.179144, 91.464321,91.749603
000292, 94.292516, 99.188877,98.247565
000293, 98.405410, 99.546416,99.258572
000294, 99.016452, 99.527208,99.370785
000295, 95.396213, 99.029640,98.209045
000296, 99.686689, 99.267212,99.473494
000297, 97.381942, 99.493501,99.035845
000298, 97.119385, 98.811480,98.319060
000299, 99.242504, 99.409580,99.349354
000300, 96.866068, 98.231405,97.787765
000301, 87.748344, 95.020880,92.870886
000302, 75.854690, 97.186184,93.137956
000303, 91.438338, 99.228599,97.991344
000304, 95.875969, 99.360571,98.668957
000305, 88.429105, 98.635096,96.786211
000306, 96.356261, 98.620476,97.980827
000307, 83.439770, 97.077484,94.093864
000308, 94.701770, 99.258793,98.389852
000309, 89.572325, 89.699455,89.650089
000310, 93.570066, 98.367408,97.194136
000311, 58.974842, 88.652402,80.158105
000312, 72.854012, 62.299212,66.623569
000313, 97.750034, 94.139196,95.946243
000314, 88.175222, 98.097273,96.043203
000315, 83.138099, 94.907171,91.736303
000316, 98.819809, 99.688422,99.475846
000317, 93.753883, 98.227166,97.085488
000318, 95.102238, 96.767036,96.195926
000319, 97.372154, 97.388687,97.382258
000320, 93.281175, 94.757052,94.222479
000321, 97.042391, 99.584613,99.102878
000322, 94.524617, 92.872083,93.564582
000323, 72.973487, 95.770174,90.815403
000324, 97.213343, 98.959440,98.469612
000325, 94.915185, 97.485168,96.684313
000326, 93.719588, 97.757894,96.634459
000327, 98.957564, 91.278392,96.110382
000328, 39.939258, 13.954172,21.937110
000329, 93.895381, 99.301403,98.354421
000330, 97.005137, 98.516113,98.046738
