path, aesthetic score, technical score, overall/final score
shot301_1, 98.376335, 96.450701,97.378033
shot301_2, 94.634815, 96.870871,96.133777
shot301_3, 83.397933, 95.486154,92.355720
shot301_4, 89.282660, 92.092805,91.088401
shot301_5, 46.859536, 33.796585,38.712306
shot302_1, 67.206121, 74.654337,71.888510
shot302_2, 85.671599, 84.999149,85.264175
shot302_3, 53.153360, 70.726117,64.282641
shot302_4, 91.838835, 87.920359,89.610470
shot302_5, 96.286842, 96.979361,96.725838
shot303_1, 98.178485, 97.168725,97.614427
shot303_2, 91.938752, 95.519226,94.352611
shot303_3, 97.839061, 95.152534,96.451912
shot303_4, 99.773439, 99.364494,99.574571
shot303_5, 99.018017, 99.269729,99.180342
shot304_1, 99.291945, 98.367071,98.819702
shot304_2, 95.568293, 91.667454,93.463822
shot304_3, 91.075643, 90.585044,90.778991
shot304_4, 94.770781, 94.075270,94.355992
shot304_5, 97.226161, 98.650618,98.211123
shot305_1, 83.963716, 84.190633,84.102538
shot305_2, 97.754205, 96.816698,97.220122
shot305_3, 96.612085, 90.623949,93.643872
shot305_4, 99.150237, 98.585512,98.839801
shot305_5, 99.654557, 98.445984,99.133094
shot306_1, 99.361530, 96.253306,98.107026
shot306_2, 95.548291, 95.398884,95.457652
shot306_3, 94.437253, 94.602437,94.538638
shot306_4, 89.156320, 94.188028,92.560126
shot306_5, 81.849147, 88.705275,86.351828
shot307_1, 73.348582, 75.580633,74.726302
shot307_2, 77.213173, 64.505664,69.848705
shot307_3, 89.515109, 65.242860,77.204147
shot307_4, 98.822608, 98.472772,98.619826
shot307_5, 99.042380, 99.232830,99.163564
shot308_1, 97.338001, 98.420586,98.063070
shot308_2, 95.729728, 97.228876,96.717815
shot308_3, 92.854602, 96.109723,95.057986
shot308_4, 94.254416, 92.226683,93.084795
shot308_5, 91.646720, 95.378623,94.163951
shot309_1, 98.651269, 98.075870,98.324193
shot309_2, 99.395309, 99.183513,99.273606
shot309_3, 98.329654, 98.627001,98.517927
shot309_4, 98.749456, 99.053123,98.944634
shot309_5, 99.002715, 99.638593,99.462897
shot310_1, 97.989475, 99.399138,99.036255
shot310_2, 95.983461, 98.576351,97.860836
shot310_3, 96.350011, 95.858623,96.057176
shot310_4, 96.569705, 64.272305,84.007213
shot310_5, 57.111250, 82.920722,74.574041
Avg. scores: 91.1354716225506, 90.91223599013924,91.3781399364371
